epoch,circular_loss_coa_phase,circular_loss_polarization_angle,kappa_sky_position,loss,mae_coa_phase,mae_inclination,mae_mchirp,mae_merger_time,mae_polarization_angle,mae_snr,r2_coa_phase,r2_inclination,r2_mchirp,r2_merger_time,r2_polarization_angle,r2_snr,std_ratio_coa_phase,std_ratio_inclination,std_ratio_mchirp,std_ratio_merger_time,std_ratio_polarization_angle,std_ratio_snr,val_circular_loss_coa_phase,val_circular_loss_polarization_angle,val_kappa_sky_position,val_loss,val_mae_coa_phase,val_mae_inclination,val_mae_mchirp,val_mae_merger_time,val_mae_polarization_angle,val_mae_snr,val_r2_coa_phase,val_r2_inclination,val_r2_mchirp,val_r2_merger_time,val_r2_polarization_angle,val_r2_snr,val_std_ratio_coa_phase,val_std_ratio_inclination,val_std_ratio_mchirp,val_std_ratio_merger_time,val_std_ratio_polarization_angle,val_std_ratio_snr,val_weight_coa_phase,val_weight_inclination,val_weight_mchirp,val_weight_merger_time,val_weight_polarization_angle,val_weight_sky_position,val_weight_snr,weight_coa_phase,weight_inclination,weight_mchirp,weight_merger_time,weight_polarization_angle,weight_sky_position,weight_snr
0,1.0000100135803223,1.006870985031128,0.10712603479623795,5.002161026000977,2.537609100341797,0.6436662077903748,0.7003049254417419,0.25248804688453674,3.2451412677764893,0.5906941294670105,-17.26128387451172,-0.041352689266204834,0.20376116037368774,-0.021803855895996094,-23.14480972290039,0.4572122097015381,3.572324752807617,0.20295491814613342,0.5767869353294373,0.14892612397670746,1.6086088418960571,0.7227417230606079,1.001920461654663,0.9950052499771118,0.10134603828191757,5.784686088562012,2.5610289573669434,0.6418713331222534,0.9201732873916626,0.24577489495277405,3.544740676879883,1.4996541738510132,-16.810611724853516,-0.03408467769622803,-0.22058165073394775,0.0010836124420166016,-27.131330490112305,-1.882049798965454,3.6215476989746094,0.1620500087738037,0.8240673542022705,0.10777253657579422,1.4661760330200195,0.4228295087814331,0.9993183016777039,1.213850975036621,1.2225027084350586,1.216262698173523,0.9928268194198608,0.8326067924499512,1.2395412921905518,0.9997037053108215,1.1046360731124878,1.1002864837646484,1.1052272319793701,0.9944481253623962,0.9111434817314148,1.1153243780136108
1,0.9978973269462585,1.004357933998108,0.10083630681037903,3.7579100131988525,2.6314680576324463,0.6399155259132385,0.39452001452445984,0.23296822607517242,3.1089560985565186,0.41696470975875854,-15.348441123962402,-0.01763051748275757,0.71384596824646,0.11363089084625244,-26.28327178955078,0.722058117389679,2.5660781860351562,0.13821923732757568,0.8521671891212463,0.21998174488544464,3.5622000694274902,0.86796635389328,1.005254864692688,0.984923243522644,0.10116882622241974,5.153355598449707,2.2348732948303223,0.6519441604614258,0.7027574777603149,0.24518492817878723,3.2100491523742676,1.5430256128311157,-10.586374282836914,-0.09717684984207153,0.2625887393951416,-0.10060381889343262,-22.693151473999023,-2.119442939758301,0.7879225015640259,0.3114683926105499,0.7541056871414185,0.37110066413879395,4.64769172668457,0.3212704658508301,0.9943889379501343,1.4617384672164917,1.531977891921997,1.479198694229126,0.9935706853866577,0.7128357291221619,1.528296709060669,1.0055323839187622,1.3356841802597046,1.373374104499817,1.3438820838928223,0.9966701865196228,0.7692106366157532,1.3802224397659302
2,0.996504545211792,1.0021963119506836,0.10049674659967422,2.835850715637207,2.726513624191284,0.6388964056968689,0.30152952671051025,0.11467478424310684,3.792114019393921,0.3853020668029785,-16.836061477661133,-0.012691915035247803,0.8262416124343872,0.7381425499916077,-41.12340545654297,0.7627007961273193,1.4284157752990723,0.12311811000108719,0.9137006998062134,0.8668270111083984,5.026135444641113,0.886117696762085,1.0075751543045044,0.9925598502159119,0.10084168612957001,3.462805986404419,2.855462074279785,0.6374892592430115,0.3611392378807068,0.1021599993109703,4.448193550109863,1.0471546649932861,-17.63767433166504,-0.004442572593688965,0.7653998136520386,0.7885485291481018,-66.28932189941406,-0.49378645420074463,1.1463236808776855,0.07964601367712021,0.8701042532920837,0.8658077716827393,5.390350818634033,0.6137651801109314,1.0122913122177124,1.7424815893173218,1.9036943912506104,1.8077476024627686,0.9966922998428345,0.6255258321762085,1.8669325113296509,0.9973232746124268,1.6001758575439453,1.7137492895126343,1.6390330791473389,0.9969553351402283,0.6667209267616272,1.6946009397506714
3,0.9928978085517883,0.9972078204154968,0.1010412871837616,2.0456647872924805,2.247122049331665,0.6375732421875,0.25095444917678833,0.08414921164512634,4.311708927154541,0.3682500422000885,-12.96725845336914,-0.008806824684143066,0.8787605166435242,0.8548941612243652,-54.35658645629883,0.783639669418335,2.1592836380004883,0.1185678020119667,0.9398511052131653,0.9334990382194519,4.418404579162598,0.8941250443458557,1.0025718212127686,0.9935263395309448,0.10340925306081772,3.026021718978882,2.8219075202941895,0.6397863626480103,0.2943659722805023,0.11433740705251694,4.953388690948486,1.0971099138259888,-24.932706832885742,-0.0191500186920166,0.8423715233802795,0.7436070442199707,-71.06329345703125,-0.5932306051254272,3.7545344829559326,0.11408666521310806,0.8702747821807861,0.9310449361801147,4.767423629760742,0.6540102362632751,1.0051534175872803,2.051750898361206,2.3524374961853027,2.207763433456421,1.000693917274475,0.5611818432807922,2.2670676708221436,1.0101808309555054,1.895627498626709,2.1241769790649414,2.002530574798584,1.0018723011016846,0.5915808081626892,2.0639615058898926
4,0.9892578721046448,0.993150532245636,0.11027638614177704,1.3889998197555542,2.2889246940612793,0.6372273564338684,0.24343745410442352,0.08636843413114548,3.6833372116088867,0.3683840036392212,-14.870292663574219,-0.00604557991027832,0.88994961977005,0.8462477922439575,-36.26416015625,0.7831851243972778,3.255582571029663,0.10361059755086899,0.9471745491027832,0.9399744272232056,3.578371047973633,0.8997419476509094,1.024137020111084,1.0010545253753662,0.11258424818515778,1.2529008388519287,2.27217435836792,0.638456404209137,0.27896469831466675,0.13667279481887817,2.505650520324707,0.3876873254776001,-14.182741165161133,-0.01002568006515503,0.8392584323883057,0.6536815762519836,-17.212610244750977,0.7475939393043518,3.4300808906555176,0.10737248510122299,0.8607788681983948,0.8681245446205139,3.1398065090179443,0.9618168473243713,1.0092350244522095,2.380317211151123,2.883535146713257,2.6917948722839355,1.0078661441802979,0.5134212970733643,2.7273995876312256,1.0071405172348022,2.2159502506256104,2.6133856773376465,2.4432806968688965,1.0059411525726318,0.5360273122787476,2.494335174560547
5,0.9937458038330078,0.9941627979278564,0.1521291881799698,0.8022188544273376,3.593143939971924,0.6365635991096497,0.23502127826213837,0.09139039367437363,4.051316738128662,0.3633466958999634,-32.595767974853516,-0.004929780960083008,0.8963583707809448,0.8253486156463623,-45.97190475463867,0.7905737161636353,5.572022438049316,0.1122249960899353,0.9497269988059998,0.9247341752052307,4.2634596824646,0.8981314897537231,1.0031338930130005,1.0026826858520508,0.1884811520576477,0.5769361853599548,4.442389011383057,0.6382967233657837,0.24443526566028595,0.08609937876462936,4.456364631652832,0.3659954071044922,-47.60348129272461,-0.009360790252685547,0.8848430514335632,0.8406092524528503,-49.12982940673828,0.7775644659996033,6.528363227844238,0.08995506912469864,0.9764324426651001,0.9357584118843079,3.397151231765747,0.9089663624763489,1.0026129484176636,2.713257312774658,3.5116355419158936,3.2761898040771484,1.0039061307907104,0.47800570726394653,3.259634494781494,1.0095112323760986,2.5481202602386475,3.1874592304229736,2.975048065185547,1.0050671100616455,0.494711697101593,2.9860293865203857
6,0.9947913885116577,0.988957941532135,0.30550581216812134,0.18297044932842255,3.516700029373169,0.6363191604614258,0.21088770031929016,0.07557965070009232,3.370530366897583,0.3474133610725403,-33.00556945800781,-0.0031641721725463867,0.9187886118888855,0.8841733336448669,-29.937725067138672,0.8079590797424316,5.297636032104492,0.10202933102846146,0.9598102569580078,0.9380749464035034,3.621485948562622,0.9045590758323669,1.0104540586471558,1.0008455514907837,0.3352331519126892,0.34937575459480286,3.5240700244903564,0.6397298574447632,0.33498382568359375,0.07475884258747101,3.688798189163208,0.41302770376205444,-37.93706512451172,-0.016088664531707764,0.8060842752456665,0.8746925592422485,-34.656578063964844,0.7146602272987366,4.433311462402344,0.08758721500635147,1.0037450790405273,0.95029217004776,3.6966018676757812,0.9705206155776978,1.0020712614059448,3.0316948890686035,4.280771732330322,3.9899795055389404,1.008436918258667,0.45296674966812134,3.881348133087158,1.0048315525054932,2.8746836185455322,3.8896236419677734,3.623659372329712,1.0109251737594604,0.46462953090667725,3.569077491760254
7,0.9886953234672546,0.9851612448692322,0.4618232846260071,-0.3492378294467926,2.9980602264404297,0.6357895731925964,0.2077561467885971,0.08003493398427963,3.2181572914123535,0.3398783504962921,-25.695425033569336,-0.0008175373077392578,0.9213204383850098,0.8702690601348877,-27.825695037841797,0.8160890936851501,3.797198534011841,0.10003452748060226,0.9627265930175781,0.9332707524299622,4.577963352203369,0.9101178646087646,1.0121697187423706,0.9975699186325073,0.43592891097068787,-0.29734551906585693,3.019284248352051,0.6370015144348145,0.23679299652576447,0.09792109578847885,3.527524471282959,0.3945769965648651,-23.66679573059082,-0.005792796611785889,0.8862251043319702,0.7991470098495483,-33.697452545166016,0.741304337978363,4.4388747215271,0.09915545582771301,0.9797462224960327,0.9540235996246338,4.68655252456665,0.9770669341087341,1.0119338035583496,3.317375898361206,5.187556743621826,4.852675437927246,1.0119129419326782,0.4359740614891052,4.590031623840332,1.0079416036605835,3.1794068813323975,4.722939491271973,4.409328937530518,1.0130727291107178,0.44386011362075806,4.232517719268799
8,0.9856951832771301,0.97501140832901,0.5603858232498169,-0.8629243969917297,2.919051170349121,0.6353840231895447,0.1932343691587448,0.08170033246278763,3.2197699546813965,0.33723053336143494,-22.462404251098633,0.00022292137145996094,0.9307711124420166,0.8640975952148438,-27.34232521057129,0.8197317719459534,4.508439540863037,0.09314286708831787,0.9668194055557251,0.9395661950111389,4.764091968536377,0.9113557934761047,1.0107096433639526,0.994194746017456,0.9486573934555054,0.090572789311409,3.2566375732421875,0.635627269744873,0.23683610558509827,0.0827946811914444,3.448056697845459,0.6181556582450867,-27.45197296142578,-0.007085740566253662,0.891220211982727,0.8502860069274902,-31.810073852539062,0.4189602732658386,5.038687705993652,0.10840000957250595,0.9780466556549072,0.98760586977005,4.451451301574707,0.8211305141448975,1.0151597261428833,3.5535740852355957,6.275132179260254,5.895522117614746,1.0192859172821045,0.4251316487789154,5.369678020477295,1.01343834400177,3.4408934116363525,5.719189643859863,5.359594821929932,1.025398850440979,0.43002012372016907,4.979857444763184
9,0.9834323525428772,0.9738713502883911,0.5611758232116699,-1.2921671867370605,2.7035393714904785,0.6348985433578491,0.19828954339027405,0.07492560893297195,3.1600310802459717,0.3357832431793213,-19.445903778076172,0.0015754997730255127,0.9295862317085266,0.8857576847076416,-26.392515182495117,0.8204411864280701,4.259492874145508,0.09839799255132675,0.9663460850715637,0.9409828782081604,4.96668004989624,0.9107732772827148,1.006118893623352,0.9887853264808655,0.6746643781661987,0.08999303728342056,2.3058249950408936,0.6375030875205994,0.2785724997520447,0.11135808378458023,3.2528960704803467,0.6369250416755676,-13.827350616455078,-0.009295284748077393,0.8562210202217102,0.7423220872879028,-27.910816192626953,0.37780654430389404,3.6787970066070557,0.10016955435276031,1.0047930479049683,0.9066643118858337,4.8492431640625,0.8578892350196838,1.0138128995895386,3.73248291015625,7.524645805358887,7.163784027099609,1.0237250328063965,0.41792798042297363,6.204651355743408,1.0178232192993164,3.6482715606689453,6.888290882110596,6.511822700500488,1.025451421737671,0.42131707072257996,5.795253276824951
