epoch,loss,mae_mchirp,mae_merger_time,mae_q,mae_snr,r2_mchirp,r2_merger_time,r2_q,r2_snr,std_ratio_mchirp,std_ratio_merger_time,std_ratio_q,std_ratio_snr,val_loss,val_mae_mchirp,val_mae_merger_time,val_mae_q,val_mae_snr,val_r2_mchirp,val_r2_merger_time,val_r2_q,val_r2_snr,val_std_ratio_mchirp,val_std_ratio_merger_time,val_std_ratio_q,val_std_ratio_snr,val_weight_mchirp,val_weight_merger_time,val_weight_q,val_weight_snr,weight_mchirp,weight_merger_time,weight_q,weight_snr
0,0.8181938529014587,0.9099584221839905,0.22243569791316986,0.4373384714126587,0.7303398847579956,-0.5103549957275391,0.017502963542938232,-2.7207605838775635,0.07451850175857544,1.0657658576965332,0.7907685041427612,0.2507408857345581,0.9042001366615295,0.1533065289258957,0.6596287488937378,0.17148740589618683,0.4316636025905609,0.5963740944862366,0.3249310851097107,0.3470931053161621,-2.6677212715148926,0.45753562450408936,0.8695464134216309,0.9632436633110046,0.0,0.7681305408477783,1.1317256689071655,1.2216300964355469,1.2150278091430664,1.1808207035064697,1.0440208911895752,1.107561707496643,1.1048640012741089,1.0723106861114502
1,-0.48600295186042786,0.45629897713661194,0.12404314428567886,0.4371512532234192,0.45191776752471924,0.6435424089431763,0.6855894327163696,-2.7188899517059326,0.6730726957321167,0.936547577381134,0.9071320295333862,0.0,0.8993738293647766,1.0002487897872925,0.6138509511947632,0.11266131699085236,0.4316636025905609,1.8133741617202759,0.4366356134414673,0.7237691283226013,-2.6677212715148926,-2.709810256958008,0.8155388236045837,0.8943639397621155,0.0,0.6424654722213745,1.4125224351882935,1.491001844406128,1.470962405204773,1.4611012935638428,1.267035722732544,1.3527268171310425,1.3401151895523071,1.318160057067871
2,-1.3598780632019043,0.3195626139640808,0.10092776268720627,0.43761342763900757,0.3912777006626129,0.8262672424316406,0.789061963558197,-2.7188940048217773,0.7539988160133362,0.9635953307151794,0.9332176446914673,0.0,0.9193626642227173,-1.5546631813049316,0.38416486978530884,0.09580284357070923,0.4316636025905609,0.47371211647987366,0.750706136226654,0.7935302257537842,-2.6677212715148926,0.6368309259414673,0.8628420233726501,1.0065667629241943,0.0,0.8936141133308411,1.7614103555679321,1.8177821636199951,1.773346185684204,1.7946465015411377,1.5853183269500732,1.650051236152649,1.6187546253204346,1.6258248090744019
3,-2.140918731689453,0.28672707080841064,0.09507216513156891,0.43723639845848083,0.3306470215320587,0.8608507513999939,0.8157969117164612,-2.718900680541992,0.8242555260658264,0.9816616177558899,0.9531712532043457,0.0,0.9212597012519836,-2.0272297859191895,0.4160992503166199,0.09414602816104889,0.4316636025905609,0.561658501625061,0.7256903648376465,0.8083081245422363,-2.6677212715148926,0.5135537385940552,0.8674874901771545,0.9813509583473206,0.0,0.9074040055274963,2.174593687057495,2.214050054550171,2.126096248626709,2.2055823802948,1.9639750719070435,2.0106661319732666,1.9461512565612793,1.999307632446289
4,-2.8989834785461426,0.2438650131225586,0.08713634312152863,0.43715277314186096,0.2954097390174866,0.901512622833252,0.8453612327575684,-2.7189154624938965,0.8594495058059692,0.9819332361221313,0.960798978805542,0.0,0.9309900403022766,-2.861189842224121,0.3429853320121765,0.1056252121925354,0.4316636025905609,0.4392819404602051,0.7754222750663757,0.7556162476539612,-2.6677212715148926,0.6914441585540771,0.8598289489746094,0.9464147090911865,0.0,0.8096458911895752,2.6807730197906494,2.695604085922241,2.532895565032959,2.7027361392974854,2.4211366176605225,2.4482107162475586,2.32590389251709,2.4500160217285156
5,-3.561772346496582,0.23425523936748505,0.08566590398550034,0.4372245967388153,0.29375582933425903,0.9101079106330872,0.852111279964447,-2.7189152240753174,0.8630142211914062,0.9835444092750549,0.9630290269851685,0.0,0.9427546858787537,-0.9030617475509644,0.6120113134384155,0.12420270591974258,0.4316636025905609,1.2429494857788086,0.5061522722244263,0.6851162910461426,-2.6677212715148926,-0.8359776735305786,0.7874672412872314,0.8777960538864136,0.0,0.8677120208740234,3.281393527984619,3.279731273651123,2.9930951595306396,3.284006118774414,2.9764564037323,2.979637622833252,2.760399341583252,2.990114688873291
6,-4.121222496032715,0.24691863358020782,0.08123178035020828,0.43716099858283997,0.30921998620033264,0.8983427882194519,0.866234540939331,-2.718886375427246,0.8468152284622192,0.9858885407447815,0.9536228775978088,0.0,0.9445462822914124,1.015387773513794,0.8110405802726746,0.11789437383413315,0.4316636025905609,1.6003042459487915,0.17941027879714966,0.7173618078231812,-2.6677212715148926,-1.9105279445648193,0.7863950729370117,0.7499297261238098,0.0,0.7038023471832275,3.9723362922668457,3.9890034198760986,3.5040500164031982,3.9302306175231934,3.6126840114593506,3.6248116493225098,3.2460975646972656,3.6048378944396973
7,-4.749965190887451,0.22394751012325287,0.07869338989257812,0.43723157048225403,0.2924368679523468,0.9167778491973877,0.8751445412635803,-2.7189111709594727,0.8640103936195374,0.9854045510292053,0.9611528515815735,0.0,0.9426835775375366,-1.9080889225006104,0.3509266972541809,0.07956237345933914,0.4316636025905609,1.1181004047393799,0.7615348100662231,0.8550769686698914,-2.6677212715148926,-0.5302083492279053,0.9148492813110352,0.9723373055458069,0.0,0.9117560386657715,4.8145952224731445,4.849747180938721,4.05575704574585,4.695985317230225,4.376974105834961,4.407531261444092,3.7780494689941406,4.313411235809326
8,-5.36062479019165,0.19915536046028137,0.07675697654485703,0.43714502453804016,0.2760978937149048,0.9328530430793762,0.8817599415779114,-2.7188851833343506,0.8779956102371216,0.9844976663589478,0.9668842554092407,0.0,0.9451184868812561,-3.8735873699188232,0.29994797706604004,0.08291984349489212,0.4316636025905609,0.6910305619239807,0.8432043790817261,0.8442453742027283,-2.6677212715148926,0.28368228673934937,0.8837605714797974,0.9459171295166016,0.0,0.7253526449203491,5.843490123748779,5.893325328826904,4.630977153778076,5.592909812927246,5.313931941986084,5.357832908630371,4.344545841217041,5.139420032501221
9,-5.889725685119629,0.20316755771636963,0.07716712355613708,0.43714845180511475,0.2650236487388611,0.9306004643440247,0.8816598653793335,-2.718895673751831,0.8884915113449097,0.9893578886985779,0.9725355505943298,0.0,0.9496428370475769,-0.3456162214279175,0.49538201093673706,0.08480585366487503,0.4316636025905609,1.2350101470947266,0.6337569952011108,0.8360816240310669,-2.6677212715148926,-0.8776108026504517,0.7772956490516663,0.872221827507019,0.0,0.6309871673583984,7.0255913734436035,7.156036376953125,5.210856914520264,6.656307220458984,6.422675132751465,6.507105827331543,4.921941757202148,6.135263442993164
