epoch,loss,mae_mchirp,mae_merger_time,mae_q,mae_snr,r2_mchirp,r2_merger_time,r2_q,r2_snr,std_ratio_mchirp,std_ratio_merger_time,std_ratio_q,std_ratio_snr,val_loss,val_mae_mchirp,val_mae_merger_time,val_mae_q,val_mae_snr,val_r2_mchirp,val_r2_merger_time,val_r2_q,val_r2_snr,val_std_ratio_mchirp,val_std_ratio_merger_time,val_std_ratio_q,val_std_ratio_snr,val_weight_mchirp,val_weight_merger_time,val_weight_q,val_weight_snr,weight_mchirp,weight_merger_time,weight_q,weight_snr
0,1.4195183515548706,1.2365896701812744,0.28604286909103394,0.2579594850540161,1.0951251983642578,-4.025480270385742,-0.42830514907836914,-0.7960411310195923,-1.308558464050293,2.0088202953338623,0.6455714702606201,0.8769479393959045,1.2434148788452148,0.4056173861026764,0.8011857867240906,0.249349445104599,0.2323094606399536,0.7612249255180359,-0.007751584053039551,-0.03690993785858154,-0.5140873193740845,0.17628765106201172,0.23276111483573914,0.1626594364643097,0.2004750519990921,0.32211706042289734,1.0275436639785767,1.2443708181381226,1.2451283931732178,1.079656958580017,1.0018799304962158,1.1184221506118774,1.1187965869903564,1.0194159746170044
1,0.13792452216148376,0.8103241920471191,0.25732946395874023,0.2224676012992859,0.7484409213066101,-0.020196080207824707,-0.10384142398834229,-0.27325212955474854,0.14745861291885376,0.6505494713783264,0.3873060345649719,0.5465959906578064,0.8126048445701599,-0.3425308167934418,0.6985235810279846,0.2375168353319168,0.21405312418937683,0.6712830066680908,0.23516041040420532,0.048310041427612305,-0.24190592765808105,0.3169247508049011,0.5342751145362854,0.20285196602344513,0.2642653286457062,0.6507998704910278,1.1222072839736938,1.546207308769226,1.5481195449829102,1.285380482673645,1.0709443092346191,1.3906662464141846,1.3918876647949219,1.177590012550354
2,-0.6410431861877441,0.7114570736885071,0.21239477396011353,0.21803857386112213,0.6583370566368103,0.20498645305633545,0.21803641319274902,-0.20576989650726318,0.32617539167404175,0.6621867418289185,0.4861111044883728,0.49938711524009705,0.8382458686828613,-0.9008890390396118,0.6655820608139038,0.13655401766300201,0.19375990331172943,0.7695462107658386,0.2941875457763672,0.6209897994995117,0.035323143005371094,0.1210639476776123,0.6778004169464111,0.6810281872749329,0.3138832747936249,0.787160336971283,1.2671089172363281,1.9239532947540283,1.9210617542266846,1.557796597480774,1.190364122390747,1.7286343574523926,1.7291710376739502,1.417819619178772
3,-1.4432170391082764,0.6164907217025757,0.15505610406398773,0.21281303465366364,0.5939487814903259,0.3864024877548218,0.5371025800704956,-0.13912081718444824,0.4509119987487793,0.7507359981536865,0.7613592147827148,0.4544162154197693,0.8410170674324036,-1.6487226486206055,0.49414125084877014,0.10883753001689911,0.1953432261943817,0.7870835661888123,0.5869637131690979,0.7429120540618896,0.003938198089599609,0.12659037113189697,0.8123725652694702,0.8962119817733765,0.2743304371833801,0.907370924949646,1.470207929611206,2.3988592624664307,2.380249500274658,1.9005285501480103,1.3642491102218628,2.1538197994232178,2.143685817718506,1.7246863842010498
4,-2.216248035430908,0.531753420829773,0.13540880382061005,0.20683906972408295,0.5474444627761841,0.5297738909721375,0.6376078128814697,-0.05805385112762451,0.5280408263206482,0.8289268612861633,0.8521586656570435,0.3878462612628937,0.8642937541007996,-2.733330726623535,0.47889241576194763,0.10385356843471527,0.19186387956142426,0.4409242570400238,0.6144510507583618,0.7711889147758484,0.048993825912475586,0.6898448467254639,0.8270008563995361,0.8831885457038879,0.3301905691623688,0.8136415481567383,1.744685173034668,2.988037347793579,2.718282461166382,2.3085553646087646,1.6023788452148438,2.684302806854248,2.611806631088257,2.0950253009796143
5,-2.864957332611084,0.44786447286605835,0.12366662174463272,0.20443785190582275,0.5032438039779663,0.6563578844070435,0.6954813003540039,-0.033247947692871094,0.59930419921875,0.8736687898635864,0.8811734318733215,0.39663931727409363,0.874848484992981,-3.3096141815185547,0.428428590297699,0.10322009027004242,0.1851232945919037,0.42438530921936035,0.7087714672088623,0.780147135257721,0.10943681001663208,0.7110744714736938,0.9430888891220093,0.9385867118835449,0.2995136082172394,0.816999077796936,2.1077044010162354,3.7180333137512207,2.718282461166382,2.8004002571105957,1.9152956008911133,3.3416314125061035,2.718282699584961,2.553762674331665
6,-3.38733172416687,0.4110383093357086,0.11621804535388947,0.20142920315265656,0.48567408323287964,0.7129565477371216,0.7277942299842834,-0.0028783082962036133,0.6284613013267517,0.9093530178070068,0.8992115259170532,0.38192564249038696,0.8860538601875305,-2.973433256149292,0.3369215428829193,0.094729945063591,0.17965559661388397,0.8164709210395813,0.8015151023864746,0.8156082630157471,0.15937650203704834,0.11226314306259155,0.911259651184082,0.9590647220611572,0.35031795501708984,0.933272659778595,2.5561118125915527,4.620132923126221,2.718282461166382,3.3407301902770996,2.3262295722961426,4.154783248901367,2.718282699584961,3.0687978267669678
7,-3.9300835132598877,0.35543155670166016,0.10717910528182983,0.19828803837299347,0.4674341678619385,0.7779231667518616,0.7686002850532532,0.0283205509185791,0.6552861928939819,0.9182835817337036,0.9023264646530151,0.37700358033180237,0.8942901492118835,-3.436753749847412,0.3369549810886383,0.08740328252315521,0.18577328324317932,0.7609061598777771,0.8087241649627686,0.8381952047348022,0.08258914947509766,0.21518951654434204,0.9179401397705078,0.9666345119476318,0.3448445200920105,0.9367276430130005,3.127610683441162,5.737339019775391,2.718282461166382,3.9175877571105957,2.8364903926849365,5.162045955657959,2.718282699584961,3.625711441040039
8,-4.468453884124756,0.32893678545951843,0.1025748923420906,0.19407831132411957,0.43602049350738525,0.807414174079895,0.7871826887130737,0.07552593946456909,0.7001000046730042,0.9348775744438171,0.9165099859237671,0.3531353771686554,0.8853253126144409,-3.999647617340088,0.2508199214935303,0.09453345835208893,0.18580718338489532,0.7075411081314087,0.8780531883239746,0.8167425394058228,0.0858650803565979,0.30838823318481445,0.9366165995597839,0.971535325050354,0.3278425931930542,0.9554691314697266,3.821629762649536,7.1162590980529785,2.718282461166382,4.601276874542236,3.4606142044067383,6.405805587768555,2.718282699584961,4.2640814781188965
9,-4.8337907791137695,0.32009202241897583,0.09801845252513885,0.19415166974067688,0.44614505767822266,0.817145049571991,0.8056234121322632,0.07047706842422485,0.6857082843780518,0.9408305883407593,0.919844925403595,0.375468909740448,0.9015880227088928,-4.314744472503662,0.4444828927516937,0.08310697972774506,0.18411469459533691,0.6011756658554077,0.7187986969947815,0.8560734987258911,0.10753941535949707,0.4706241488456726,0.9979763627052307,0.985934853553772,0.35667547583580017,0.9141156077384949,4.625575065612793,8.81639575958252,2.718282461166382,5.1695356369018555,4.211292743682861,7.940924644470215,2.718282699584961,4.9196648597717285
