epoch,circular_loss_combo_A,circular_loss_combo_B,kappa_sky_position,loss,mae_inclination,mae_mchirp,mae_merger_time,mae_snr,r2_inclination,r2_mchirp,r2_merger_time,r2_snr,std_ratio_coa_phase,std_ratio_inclination,std_ratio_mchirp,std_ratio_merger_time,std_ratio_polarization_angle,std_ratio_snr,val_circular_loss_combo_A,val_circular_loss_combo_B,val_kappa_sky_position,val_loss,val_mae_inclination,val_mae_mchirp,val_mae_merger_time,val_mae_snr,val_r2_inclination,val_r2_mchirp,val_r2_merger_time,val_r2_snr,val_std_ratio_coa_phase,val_std_ratio_inclination,val_std_ratio_mchirp,val_std_ratio_merger_time,val_std_ratio_polarization_angle,val_std_ratio_snr,val_weight_combo_A,val_weight_combo_B,val_weight_inclination,val_weight_mchirp,val_weight_merger_time,val_weight_sky_position,val_weight_snr,weight_combo_A,weight_combo_B,weight_inclination,weight_mchirp,weight_merger_time,weight_sky_position,weight_snr
0,0.9970471858978271,0.9925426840782166,0.15628965198993683,6.147655963897705,0.9451348185539246,1.3057407140731812,0.2962383031845093,1.0434379577636719,-1.898478627204895,-4.61955451965332,-0.5380996465682983,-0.6877748966217041,4.285726547241211,1.3700602054595947,2.1426472663879395,0.72477126121521,4.184976100921631,0.8608695864677429,0.9919675588607788,0.9998513460159302,0.09999995678663254,4.697193622589111,0.6651492714881897,0.8853116035461426,0.29335495829582214,0.8554361462593079,-0.18184274435043335,-0.18939924240112305,-0.5642064809799194,-0.010204792022705078,0.7706857919692993,0.360321044921875,0.18927715718746185,0.15666835010051727,0.4763341248035431,0.19334149360656738,1.1817104816436768,1.171631932258606,1.1847646236419678,1.0189144611358643,1.218258023262024,0.849626362323761,1.1445692777633667,1.0950031280517578,1.0902202129364014,1.0727665424346924,0.9985969662666321,1.106096863746643,0.923393726348877,1.0555084943771362
1,0.9956295490264893,0.9984330534934998,0.10000019520521164,4.668630599975586,0.7521965503692627,0.870375394821167,0.26866987347602844,0.8544657230377197,-0.6559519171714783,-0.1547393798828125,-0.22032272815704346,-0.06441879272460938,4.029791831970215,0.8044744729995728,0.47254806756973267,0.483043909072876,4.004618167877197,0.5886111259460449,1.000761866569519,0.9916920065879822,0.09999995678663254,4.079399108886719,0.6960039138793945,0.8013232946395874,0.2517073452472687,0.6904760599136353,-0.3387420177459717,0.037661075592041016,-0.05640006065368652,0.26975154876708984,4.555857181549072,0.5285463929176331,0.34872257709503174,0.2268243134021759,1.7987713813781738,0.5808299779891968,1.2916117906570435,1.278793454170227,1.4529354572296143,1.092059850692749,1.4822733402252197,0.7301827669143677,1.3884848356246948,1.242885947227478,1.2343250513076782,1.3164951801300049,1.0527156591415405,1.3468509912490845,0.786683976650238,1.2610387802124023
2,0.9921754598617554,0.9992175698280334,0.10000019520521164,3.8391618728637695,0.7167187333106995,0.814669132232666,0.2611425518989563,0.7567732930183411,-0.45652979612350464,-0.013451695442199707,-0.14295780658721924,0.13988929986953735,3.8244690895080566,0.6683822870254517,0.5488620400428772,0.4300175905227661,2.762402296066284,0.7312545776367188,0.9939613342285156,0.9941984415054321,0.09999995678663254,3.527247190475464,0.8110682368278503,0.8694113492965698,0.24895069003105164,0.6082097291946411,-0.9592460989952087,-0.14257144927978516,-0.053103089332580566,0.42128366231918335,0.6196562051773071,0.5226670503616333,0.45028427243232727,0.20606452226638794,2.229461431503296,0.7134210467338562,1.3361588716506958,1.318755865097046,1.7478487491607666,1.1969759464263916,1.8007192611694336,0.6411986947059631,1.681086540222168,1.3182226419448853,1.3062957525253296,1.6007612943649292,1.1424728631973267,1.6372156143188477,0.6833012104034424,1.5313359498977661
3,0.9954138398170471,0.987694501876831,0.10000019520521164,3.2083585262298584,0.6957212090492249,0.7884977459907532,0.253794401884079,0.6661970019340515,-0.3429473042488098,0.04342752695083618,-0.060675859451293945,0.3280554413795471,3.596571445465088,0.5826611518859863,0.5624707937240601,0.36925071477890015,3.5163674354553223,0.7216150760650635,1.0008201599121094,0.9975136518478394,0.09999995678663254,2.9953346252441406,0.7016046047210693,0.7687659859657288,0.230686753988266,0.7333362698554993,-0.39094728231430054,0.13121235370635986,0.13171803951263428,0.1901465654373169,1.8231351375579834,0.614126980304718,0.5000067353248596,0.21427838504314423,1.084951400756836,0.7292402386665344,1.3434001207351685,1.3461493253707886,2.0632240772247314,1.3268574476242065,2.1849567890167236,0.5745982527732849,2.045712947845459,1.3444279432296753,1.3356443643569946,1.9008926153182983,1.2593590021133423,1.9878419637680054,0.6061381697654724,1.8604099750518799
4,0.996162474155426,0.9945144653320312,0.10000019520521164,2.640296697616577,0.6788968443870544,0.7722302079200745,0.2291344553232193,0.6238542795181274,-0.2485494613647461,0.08691751956939697,0.12718361616134644,0.39724910259246826,3.207824230194092,0.48366934061050415,0.5817716717720032,0.3930782675743103,3.233093738555908,0.7652090191841125,1.0013558864593506,0.9971051812171936,0.09999995678663254,2.444756507873535,0.6471013426780701,0.828218936920166,0.19027982652187347,0.6726152300834656,-0.0624239444732666,-0.026908159255981445,0.3347318768501282,0.28240227699279785,1.9523224830627441,0.2180931121110916,0.4797462224960327,0.3810076117515564,1.3107043504714966,0.7119006514549255,1.3426181077957153,1.3455045223236084,2.3906426429748535,1.4777648448944092,2.653144598007202,0.5245368480682373,2.4382240772247314,1.3434370756149292,1.3409113883972168,2.2298004627227783,1.4019150733947754,2.4122796058654785,0.5482514500617981,2.243832588195801
5,0.9998278021812439,1.0075572729110718,0.10000019520521164,2.0759642124176025,0.6623368263244629,0.734416127204895,0.18745863437652588,0.6015044450759888,-0.1603577733039856,0.1716930866241455,0.36404067277908325,0.43432676792144775,2.560256242752075,0.4043455123901367,0.5817087888717651,0.6016137599945068,2.069105625152588,0.7979674935340881,0.9906700253486633,0.9917359352111816,0.09999995678663254,1.7970365285873413,0.6580806970596313,0.7372618913650513,0.1363534778356552,0.5920756459236145,-0.1409740447998047,0.2181793451309204,0.6281996965408325,0.46389567852020264,2.008500337600708,0.31198254227638245,0.48237112164497375,0.7002784013748169,1.2101032733917236,0.825692892074585,1.342349886894226,1.3267362117767334,2.7310030460357666,1.658757209777832,3.2293925285339355,0.4869072437286377,2.832732915878296,1.3398950099945068,1.3348631858825684,2.5678930282592773,1.5643690824508667,2.932372808456421,0.5047357678413391,2.6217358112335205
6,1.0045745372772217,1.0046162605285645,0.10000019520521164,1.7081767320632935,0.6622045636177063,0.7105136513710022,0.15642447769641876,0.5582614541053772,-0.15809565782546997,0.21682751178741455,0.5361398458480835,0.5118032693862915,3.2495954036712646,0.40398770570755005,0.6355928182601929,0.7374262809753418,3.5169661045074463,0.7914780974388123,1.0103566646575928,0.9946971535682678,0.09999995678663254,1.2587993144989014,0.6430625319480896,0.6487579345703125,0.1433182656764984,0.5452543497085571,-0.04081153869628906,0.34776121377944946,0.5803610682487488,0.5344303846359253,2.537264347076416,0.18703396618366241,0.529039740562439,0.7637513875961304,0.729276180267334,0.7098090052604675,1.3386105298995972,1.3237265348434448,3.016792058944702,1.863006830215454,3.936492443084717,0.458823025226593,3.289896011352539,1.3357263803482056,1.3291642665863037,2.8764495849609375,1.7562272548675537,3.573537826538086,0.47210147976875305,3.068899393081665
7,1.0010584592819214,0.9960147738456726,0.10000019520521164,1.1039726734161377,0.6585161089897156,0.6406860947608948,0.1419098973274231,0.5256072282791138,-0.13601523637771606,0.3508150577545166,0.6077980995178223,0.5635644793510437,2.3312430381774902,0.37722283601760864,0.6478360295295715,0.8250166773796082,2.2604920864105225,0.8073002099990845,1.005761742591858,1.0012627840042114,0.09999995678663254,0.7959147691726685,0.6414867043495178,0.6541576981544495,0.11288124322891235,0.4794906675815582,-0.03606909513473511,0.34243685007095337,0.729999303817749,0.6312872171401978,1.1216135025024414,0.19547253847122192,0.717677652835846,0.8803120851516724,0.9228641986846924,0.8187461495399475,1.3387067317962646,1.3391848802566528,3.247236728668213,2.1258723735809326,4.793834686279297,0.43814462423324585,3.781829357147217,1.3410766124725342,1.3310202360153198,3.1386818885803223,1.9882185459136963,4.353260040283203,0.44789084792137146,3.5372707843780518
8,0.9999675750732422,1.0005145072937012,0.10000019520521164,0.6375381946563721,0.6551761031150818,0.5583319067955017,0.13372819125652313,0.5153720378875732,-0.115817129611969,0.4898601770401001,0.6476031541824341,0.578993558883667,2.2528934478759766,0.347280353307724,0.7384098768234253,0.8663089275360107,2.0039875507354736,0.8459969162940979,1.0073273181915283,0.9959577918052673,0.09999995678663254,0.19634787738323212,0.6740940809249878,0.4424232542514801,0.11524339020252228,0.4533570408821106,-0.23279744386672974,0.6633546352386475,0.7269316911697388,0.6664625406265259,1.9083073139190674,0.4576137661933899,0.7735310792922974,0.9175508618354797,0.34912416338920593,0.8349077105522156,1.3353699445724487,1.3352442979812622,3.4327003955841064,2.48285174369812,5.830291748046875,0.4232046604156494,4.213194847106934,1.3395357131958008,1.337815523147583,3.347222089767456,2.2988131046295166,5.298120021820068,0.43021824955940247,4.004001140594482
9,0.9982635974884033,0.9933104515075684,0.10000019520521164,0.11801791936159134,0.6511363983154297,0.4888248145580292,0.12232096493244171,0.486328125,-0.1064378023147583,0.5969460010528564,0.706521213054657,0.6277798414230347,2.425161123275757,0.3471989631652832,0.8077972531318665,0.902052640914917,1.6962776184082031,0.851874589920044,1.0009257793426514,1.00395667552948,0.09999995678663254,-0.4024789333343506,0.6429040431976318,0.3969274163246155,0.1063462495803833,0.43869319558143616,-0.0420723557472229,0.7332760095596313,0.7613601684570312,0.6960259675979614,2.6118147373199463,0.13675880432128906,0.8522451519966125,0.9364673495292664,0.4468111991882324,0.761789858341217,1.3480042219161987,1.3480074405670166,3.5542209148406982,2.9442906379699707,7.088625907897949,0.4127092957496643,4.747513771057129,1.3415756225585938,1.3322490453720093,3.4882524013519287,2.706704616546631,6.4432172775268555,0.4176065921783447,4.478861331939697
