epoch,subset,n,mae_mchirp,mae_q,mae_merger_time,mae_snr,r2_mchirp,r2_q,r2_merger_time,r2_snr,std_ratio_mchirp,std_ratio_q,std_ratio_merger_time,std_ratio_snr
5,full,5000,10.1266,0.215242,0.0444548,5.83361,-1.36076,-0.618982,0.140381,-5.80302,0.512074,0.236907,0.651479,0.534692
5,snr_low,1667,11.9074,0.231209,0.0496231,7.35624,-2.3198,-0.874357,-0.0931112,-91.3864,0.295475,0.147744,0.562391,0.864571
5,snr_mid,1666,10.0415,0.211402,0.0446083,5.75646,-1.19973,-0.566752,0.163244,-53.7986,0.441936,0.205634,0.656335,0.984349
5,snr_high,1667,8.4309,0.203113,0.0391332,4.38807,-0.590174,-0.424094,0.347648,-31.8486,0.618739,0.300571,0.718982,1.11325
5,mchirp_low,2500,6.34591,0.281043,0.0439519,5.76579,-2.79401,-1.27864,0.128857,-5.69675,0.612857,0.251286,0.631707,0.533613
5,mchirp_high,2500,13.9073,0.149442,0.0449578,5.90142,-9.04873,-0.221539,0.151698,-5.90856,0.763647,0.26287,0.669217,0.533391
5,merger_early,2500,10.0769,0.217763,0.0643291,5.8615,-1.34712,-0.615419,-4.9484,-5.9452,0.519705,0.234635,1.09292,0.544837
5,merger_late,2500,10.1763,0.212722,0.0245805,5.80571,-1.37457,-0.622941,-0.033619,-5.66509,0.504435,0.239051,0.557365,0.524597
5,q_low,1667,7.46158,0.406052,0.0441981,5.82857,-2.57819,-20.8355,0.148264,-5.77349,0.666292,0.564753,0.640817,0.52999
5,q_mid,1666,10.2457,0.165496,0.0440651,5.85805,-1.71336,-6.46554,0.14046,-5.78593,0.570647,0.733503,0.651725,0.530999
5,q_high,1667,12.6726,0.0741485,0.045101,5.81421,-1.65208,-1.02696,0.131261,-5.85784,0.492892,0.718228,0.66192,0.542806
5,q_low_mchirp_low,1241,6.42456,0.430505,0.0437467,5.80592,-4.71911,-23.4745,0.153426,-5.71534,0.751454,0.586883,0.631515,0.530961
5,q_low_mchirp_high,426,10.4826,0.334817,0.0455132,5.89456,-33.3394,-35.7295,0.13145,-5.94382,1.56064,0.765018,0.668371,0.526139
5,q_high_mchirp_low,544,6.10036,0.0781221,0.0454034,5.62397,-1.73263,-1.19064,0.0632307,-5.6344,0.48758,0.80582,0.639358,0.523623
5,q_high_mchirp_high,1123,15.8562,0.0722237,0.0449545,5.90636,-10.6466,-0.943487,0.159289,-5.96183,0.758129,0.664907,0.668694,0.54768
10,full,5000,4.32869,0.170517,0.0221066,2.47765,0.425953,0.0494237,0.75706,-0.528029,0.543593,0.373774,0.874445,0.551787
10,snr_low,1667,5.4065,0.175802,0.0257443,3.91983,0.0919296,-0.000718824,0.669965,-26.3072,0.386336,0.273444,0.760197,1.0834
10,snr_mid,1666,4.16942,0.171553,0.0213363,2.43618,0.502853,0.0421481,0.779921,-9.67575,0.520049,0.366102,0.89609,1.0202
10,snr_high,1667,3.41007,0.164196,0.0192388,1.07691,0.672422,0.103392,0.819993,-1.62818,0.662952,0.455016,0.954304,1.04252
10,mchirp_low,2500,1.83385,0.183755,0.0230844,2.43297,0.559854,-0.00745514,0.729832,-0.496487,0.582993,0.227197,0.850244,0.549162
10,mchirp_high,2500,6.82353,0.157278,0.0211287,2.52232,-1.71416,-0.27504,0.784324,-0.559316,0.676356,0.4573,0.897522,0.553018
10,merger_early,2500,4.31805,0.172111,0.0268494,2.47646,0.421375,0.0544092,-0.372299,-0.548995,0.549476,0.365979,1.19942,0.550425
10,merger_late,2500,4.33934,0.168922,0.0173638,2.47883,0.430408,0.0440794,0.419292,-0.507747,0.537519,0.381764,0.836463,0.553045
10,q_low,1667,2.17856,0.137102,0.0225135,2.50987,0.553045,-2.24355,0.750483,-0.548571,0.60527,0.588752,0.862427,0.552961
10,q_mid,1666,4.46711,0.101232,0.0219752,2.50312,0.387034,-2.446,0.755955,-0.536709,0.585619,1.08472,0.878693,0.544783
10,q_high,1667,6.34048,0.273173,0.021831,2.41996,0.226609,-19.8455,0.764605,-0.499938,0.535597,1.36654,0.882101,0.557934
10,q_low_mchirp_low,1241,1.43552,0.14636,0.0226819,2.4989,0.5919,-2.69059,0.744751,-0.533876,0.675045,0.531547,0.85096,0.549275
10,q_low_mchirp_high,426,4.34316,0.110134,0.0220232,2.54181,-5.32766,-4.05473,0.76724,-0.591619,1.04385,0.912284,0.89605,0.563307
