epoch,kappa_sky_position,loss,mae_coa_phase,mae_mchirp,mae_merger_time,mae_snr,r2_coa_phase,r2_mchirp,r2_merger_time,r2_snr,std_ratio_coa_phase,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,val_kappa_sky_position,val_loss,val_mae_coa_phase,val_mae_mchirp,val_mae_merger_time,val_mae_snr,val_r2_coa_phase,val_r2_mchirp,val_r2_merger_time,val_r2_snr,val_std_ratio_coa_phase,val_std_ratio_mchirp,val_std_ratio_merger_time,val_std_ratio_snr,val_weight_coa_phase,val_weight_mchirp,val_weight_merger_time,val_weight_sky_position,val_weight_snr,weight_coa_phase,weight_mchirp,weight_merger_time,weight_sky_position,weight_snr
0,0.10826075822114944,3.0029923915863037,0.6424457430839539,0.7191785573959351,0.250304251909256,0.580064058303833,-0.03881567716598511,0.1734752655029297,-0.008034467697143555,0.4699723720550537,0.19762977957725525,0.5409429669380188,0.1810271143913269,0.7350150942802429,0.10219228267669678,3.188563823699951,0.6379364728927612,0.6228135824203491,0.232641339302063,1.2660863399505615,-0.012066066265106201,0.3904939889907837,0.08492010831832886,-1.0289208889007568,0.09545915573835373,0.7713219523429871,0.11934935301542282,0.711046576499939,1.2142829895019531,1.2189509868621826,1.2163455486297607,0.8325803875923157,1.239518165588379,1.1049165725708008,1.0986984968185425,1.1052135229110718,0.9111238718032837,1.1154214143753052
1,0.10150238126516342,1.7330514192581177,0.6388195753097534,0.3964250385761261,0.1479806751012802,0.4173925220966339,-0.020543158054351807,0.711485743522644,0.5710049867630005,0.7203060388565063,0.15283362567424774,0.8463498950004578,0.7220003604888916,0.87027907371521,0.10154422372579575,2.8914883136749268,0.6366625428199768,0.7721453905105591,0.1787092238664627,1.3372012376785278,-0.013648271560668945,0.09395110607147217,0.41270017623901367,-1.3432657718658447,0.13126832246780396,0.94020015001297,0.6303120851516724,0.4344911277294159,1.4620283842086792,1.5326049327850342,1.4845075607299805,0.7128143906593323,1.526358723640442,1.3359295129776,1.3715205192565918,1.3461345434188843,0.7691751718521118,1.3792214393615723
2,0.10076478123664856,0.8277539610862732,0.6371169686317444,0.29891735315322876,0.08925096690654755,0.3889232277870178,-0.008545517921447754,0.828998863697052,0.8357433080673218,0.7583901286125183,0.1061379685997963,0.9142152667045593,0.9238393306732178,0.8876050710678101,0.10166696459054947,1.3928191661834717,0.6388992071151733,0.36441126465797424,0.12467391788959503,0.9721687436103821,-0.027089297771453857,0.734081506729126,0.6970221996307373,-0.3263981342315674,0.10920627415180206,0.9758716225624084,0.8796942234039307,0.5794427990913391,1.7433691024780273,1.9076507091522217,1.8121370077133179,0.6254922151565552,1.862616777420044,1.600869059562683,1.7162973880767822,1.643979549407959,0.6666977405548096,1.6912997961044312
3,0.10131317377090454,0.043525151908397675,0.6363532543182373,0.2462441772222519,0.08165271580219269,0.3653832674026489,-0.00820237398147583,0.8833417296409607,0.8628093004226685,0.7867978811264038,0.11254352331161499,0.9418243765830994,0.9317815899848938,0.8955100178718567,0.10339070856571198,0.27103161811828613,0.6366155743598938,0.26648470759391785,0.10998274385929108,0.7139109373092651,-0.012866437435150146,0.8659620881080627,0.7613990306854248,0.265821635723114,0.08647989481687546,0.9174715280532837,0.9188423156738281,0.8512447476387024,2.0525505542755127,2.360869884490967,2.2091519832611084,0.5611348748207092,2.2630391120910645,1.896732211112976,2.1300392150878906,2.0052974224090576,0.5915313363075256,2.059526205062866
4,0.1725887954235077,-0.6377966403961182,0.6363510489463806,0.23248817026615143,0.0784502923488617,0.35288259387016296,-0.005625307559967041,0.9005066752433777,0.8736562132835388,0.8007069230079651,0.098126120865345,0.9513621926307678,0.9385636448860168,0.905396044254303,0.21452203392982483,-0.8687312006950378,0.6367666125297546,0.2560473382472992,0.10910427570343018,0.37008965015411377,-0.007640719413757324,0.8764564990997314,0.751020073890686,0.7736955881118774,0.06358058005571365,1.0401902198791504,0.9249190092086792,0.9335163235664368,2.3810067176818848,2.900794506072998,2.690847635269165,0.5136235952377319,2.7337706089019775,2.2165799140930176,2.6259255409240723,2.443502902984619,0.5360345840454102,2.495504379272461
5,0.4671170115470886,-1.2708992958068848,0.6360557079315186,0.21398277580738068,0.07964383810758591,0.35166141390800476,-0.003899812698364258,0.9165470600128174,0.8704397678375244,0.8040182590484619,0.09427844732999802,0.9588956832885742,0.9404833912849426,0.9049281477928162,0.3545633852481842,-1.46034574508667,0.6365855932235718,0.22531799972057343,0.07057637721300125,0.38036760687828064,-0.009459137916564941,0.9004645943641663,0.8876099586486816,0.7598605751991272,0.0607331283390522,0.9414539933204651,0.9171596169471741,0.9573696851730347,2.7139432430267334,3.5499472618103027,3.2745747566223145,0.48039498925209045,3.2768168449401855,2.548768997192383,3.2168142795562744,2.974802017211914,0.49591264128685,2.997807502746582
6,0.5705938935279846,-1.8693954944610596,0.6354111433029175,0.19891628623008728,0.07081061601638794,0.33749812841415405,-0.002277374267578125,0.9286161065101624,0.8982064127922058,0.8172835111618042,0.08639168739318848,0.9652325510978699,0.9476343393325806,0.9110612273216248,0.512330949306488,-1.9524328708648682,0.6365593075752258,0.22046014666557312,0.07530085742473602,0.38519683480262756,-0.007034957408905029,0.9003825783729553,0.8703604936599731,0.7488096356391907,0.06794214993715286,0.9977422952651978,0.9176685810089111,0.9464530944824219,3.032860279083252,4.333191394805908,3.9852442741394043,0.45701223611831665,3.9070897102355957,2.8764424324035645,3.934523820877075,3.62031626701355,0.46800145506858826,3.5921528339385986
7,0.6119530200958252,-2.401940107345581,0.6356221437454224,0.19640006124973297,0.07151833176612854,0.3308509588241577,-0.0017303228378295898,0.9319235682487488,0.8956423997879028,0.826313853263855,0.08316611498594284,0.9669007062911987,0.949448823928833,0.9150388836860657,0.6694521307945251,-2.3963451385498047,0.6370598673820496,0.23891277611255646,0.07139153778553009,0.38067764043807983,-0.008453845977783203,0.8901733160018921,0.8824897408485413,0.7610489130020142,0.05771125853061676,1.025994896888733,0.9858114123344421,0.9380831718444824,3.3172836303710938,5.260941505432129,4.846390724182129,0.44061875343322754,4.6290178298950195,3.1798501014709473,4.786678314208984,4.403972625732422,0.44830599427223206,4.264984607696533
8,0.6291390657424927,-2.938072443008423,0.6351206302642822,0.18066024780273438,0.06727270036935806,0.3188552260398865,-0.0003025233745574951,0.9427615404129028,0.908514142036438,0.8385137319564819,0.08250270783901215,0.9720296263694763,0.95142662525177,0.9211128354072571,0.7294234037399292,-2.859454393386841,0.6365718841552734,0.20639395713806152,0.0670280009508133,0.3849408030509949,-0.00844883918762207,0.9090856909751892,0.8926542401313782,0.7599637508392334,0.06075568124651909,0.9654250741004944,0.9625239372253418,0.9056929349899292,3.5525760650634766,6.383449554443359,5.892697334289551,0.42951974272727966,5.458668231964111,3.440497636795044,5.811177730560303,5.355592727661133,0.4346819221973419,5.043468475341797
9,0.6526174545288086,-3.4246411323547363,0.6349301934242249,0.1736368089914322,0.06471802294254303,0.3126995265483856,0.00022619962692260742,0.9477506279945374,0.9162481427192688,0.8446745872497559,0.0831737220287323,0.9747864603996277,0.9544593691825867,0.923198938369751,0.6315608024597168,-3.2076709270477295,0.6370905041694641,0.2032984495162964,0.06694061309099197,0.3874329924583435,-0.009527385234832764,0.9128067493438721,0.8957562446594238,0.7466500401496887,0.08625056594610214,0.9582905769348145,0.9921271800994873,0.980751633644104,3.7294058799743652,7.721117973327637,7.162720680236816,0.42227739095687866,6.384091377258301,3.646096706390381,7.0402960777282715,6.510613441467285,0.4257242679595947,5.921527862548828
10,0.6770289540290833,-3.935006618499756,0.6343008875846863,0.16354401409626007,0.06436244398355484,0.29551947116851807,0.0021500587463378906,0.9537957906723022,0.9177982211112976,0.8608563542366028,0.08647185564041138,0.9772485494613647,0.9595083594322205,0.9322141408920288,0.8957322835922241,-3.371190309524536,0.637047529220581,0.22125764191150665,0.06633444130420685,0.4153093695640564,-0.010546863079071045,0.9008066654205322,0.8969315886497498,0.7172696590423584,0.0886053517460823,0.9485337734222412,0.9562864899635315,0.895249605178833,3.8531041145324707,9.325472831726074,8.70129108428955,0.41805845499038696,7.4609479904174805,3.7964744567871094,8.50776481628418,7.911734580993652,0.41995832324028015,6.92623233795166
11,0.6923924684524536,-4.362979412078857,0.633573055267334,0.1621975302696228,0.06549457460641861,0.29307031631469727,0.004039108753204346,0.9552118182182312,0.9141375422477722,0.8637096285820007,0.0855044350028038,0.9780261516571045,0.9580024480819702,0.9334684610366821,0.5645045042037964,-3.823928117752075,0.6364709138870239,0.21632201969623566,0.07542665302753448,0.3802013695240021,-0.007893025875091553,0.9054232835769653,0.8714358806610107,0.7647400498390198,0.08219659328460693,0.9719014167785645,0.9560798406600952,0.9179050922393799,3.9335007667541504,11.200226783752441,10.560243606567383,0.4156056046485901,8.60858154296875,3.8969595432281494,10.242961883544922,9.606261253356934,0.4168042540550232,8.034634590148926
12,0.7115916013717651,-4.843255519866943,0.6329114437103271,0.15880687534809113,0.062044333666563034,0.2749089300632477,0.0061532557010650635,0.9572964906692505,0.9228979349136353,0.8805897235870361,0.0880279541015625,0.979280412197113,0.9602780342102051,0.9410264492034912,0.5817416906356812,-3.8445420265197754,0.6364363431930542,0.2430473119020462,0.06771446764469147,0.3973625600337982,-0.009130239486694336,0.8782370686531067,0.8872115612030029,0.7400729656219482,0.07998757064342499,1.0990047454833984,0.9904158115386963,0.9410540461540222,3.983337879180908,13.387327194213867,12.813199996948242,0.41490358114242554,9.967916488647461,3.9601898193359375,12.298564910888672,11.656959533691406,0.4151078462600708,9.31374740600586
13,0.7259564399719238,-5.303918838500977,0.632209837436676,0.14745919406414032,0.060364980250597,0.2648560106754303,0.006821483373641968,0.9626582860946655,0.9282752871513367,0.8890394568443298,0.10024893283843994,0.9824860692024231,0.9632906317710876,0.9446694254875183,0.6483756899833679,-3.3476169109344482,0.6360103487968445,0.24413812160491943,0.06973834335803986,0.4926570951938629,-0.00880509614944458,0.8945348262786865,0.8840550780296326,0.6071444749832153,0.08914656937122345,0.9752327799797058,0.9805842638015747,0.8580372929573059,4.010299205780029,15.998173713684082,15.543292045593262,0.41479963064193726,11.447394371032715,3.9988045692443848,14.672832489013672,14.143131256103516,0.4151695668697357,10.737696647644043
14,0.7261537313461304,-5.766534805297852,0.6310272216796875,0.1420428454875946,0.06013793870806694,0.24996905028820038,0.009783238172531128,0.9659780859947205,0.9287809133529663,0.9004002213478088,0.11027946323156357,0.9837567806243896,0.9670459032058716,0.9517862200737,0.7284826040267944,-4.449527263641357,0.6380397081375122,0.21811851859092712,0.06985518336296082,0.37311679124832153,-0.017228245735168457,0.9008692502975464,0.8792815804481506,0.7707669734954834,0.11220557987689972,0.999158501625061,0.9507976770401001,0.9390546083450317,4.029160022735596,19.074522018432617,18.834735870361328,0.4151524603366852,13.157869338989258,4.021147727966309,17.50349235534668,17.144760131835938,0.41485974192619324,12.317503929138184
15,0.7500818967819214,-6.211071491241455,0.6297302842140198,0.13235633075237274,0.05688970908522606,0.23224423825740814,0.012147486209869385,0.9709123373031616,0.9372948408126831,0.9149734973907471,0.12318703532218933,0.9859797358512878,0.9668017625808716,0.9574645757675171,1.0863909721374512,-4.420294284820557,0.636820375919342,0.19943451881408691,0.0710587427020073,0.3853181004524231,-0.01528090238571167,0.9146717190742493,0.8793807625770569,0.7541990876197815,0.11649488657712936,0.9544616937637329,0.9826186299324036,0.9726718068122864,4.043656826019287,20.085529327392578,20.085529327392578,0.4159891605377197,15.2591552734375,4.039546012878418,19.940414428710938,19.877458572387695,0.4155869483947754,14.26302433013916
16,0.7675377726554871,-6.405455112457275,0.6281359791755676,0.12394532561302185,0.056513719260692596,0.2170056253671646,0.016103118658065796,0.9743033647537231,0.9379395246505737,0.9255940318107605,0.13553370535373688,0.987358808517456,0.9701095819473267,0.9634193181991577,0.757879912853241,-3.8468899726867676,0.638077974319458,0.2012559175491333,0.06230601668357849,0.4252690374851227,-0.018781185150146484,0.9146329760551453,0.9056317806243896,0.7027531266212463,0.14115320146083832,0.9596676826477051,0.957166314125061,0.9491779804229736,4.061295032501221,20.085529327392578,20.085529327392578,0.4169766902923584,17.757246017456055,4.05422306060791,20.085500717163086,20.085500717163086,0.41646724939346313,16.560890197753906
17,0.7794553637504578,-6.501527786254883,0.6256605386734009,0.12461560219526291,0.055573560297489166,0.2104017436504364,0.021936237812042236,0.9741789698600769,0.9407765865325928,0.9292932748794556,0.14959046244621277,0.9872510433197021,0.9707349538803101,0.9657105207443237,0.8218544721603394,-3.9798264503479004,0.6393170952796936,0.21088866889476776,0.06409373879432678,0.39315417408943176,-0.02318185567855835,0.9103544354438782,0.8992832899093628,0.7448734045028687,0.14746052026748657,0.9732261896133423,0.9509750604629517,0.9893853068351746,4.0854692459106445,20.085529327392578,20.085529327392578,0.4176981449127197,20.085529327392578,4.0761003494262695,20.085500717163086,20.085500717163086,0.41745835542678833,18.978601455688477
18,0.7970056533813477,-6.746461391448975,0.6219293475151062,0.11411962658166885,0.054694417864084244,0.1841396540403366,0.029960662126541138,0.9785445928573608,0.9429016709327698,0.9462597370147705,0.17481346428394318,0.9892725348472595,0.9715254306793213,0.9739883542060852,0.6733071208000183,-3.7724273204803467,0.6398082375526428,0.20470218360424042,0.06372028589248657,0.4123689532279968,-0.030579686164855957,0.9163705706596375,0.9005836248397827,0.7124232649803162,0.17437422275543213,0.9563192129135132,0.9696544408798218,0.9465712308883667,4.118783950805664,20.085529327392578,20.085529327392578,0.4188683032989502,20.085529327392578,4.109364032745361,20.085500717163086,20.085500717163086,0.4183316230773926,20.085500717163086
19,0.8334632515907288,-6.923725128173828,0.6160211563110352,0.10435666143894196,0.052469272166490555,0.1619810163974762,0.0417231023311615,0.9820541739463806,0.9481125473976135,0.9581655859947205,0.20720551908016205,0.9909380078315735,0.9740672707557678,0.9789855480194092,0.7075389623641968,-4.095799446105957,0.6416202783584595,0.19516415894031525,0.06133120134472847,0.39216387271881104,-0.045855164527893066,0.9196673631668091,0.9083229303359985,0.7441418170928955,0.19434379041194916,0.9697494506835938,0.9696118831634521,0.9883643984794617,4.167887210845947,20.085529327392578,20.085529327392578,0.4206560254096985,20.085529327392578,4.151347637176514,20.085500717163086,20.085500717163086,0.4199790954589844,20.085500717163086
20,0.8470547795295715,-7.1613383293151855,0.6045026183128357,0.08984455466270447,0.050425559282302856,0.12963727116584778,0.0713030993938446,0.98689204454422,0.9523953795433044,0.9730849266052246,0.23543038964271545,0.9929141402244568,0.9756668210029602,0.986811637878418,0.8465250730514526,-4.072321891784668,0.6456927061080933,0.20019006729125977,0.06000911071896553,0.3906724750995636,-0.07007795572280884,0.9181284308433533,0.9087578058242798,0.746354341506958,0.2598115801811218,1.0084381103515625,0.9795189499855042,0.9670042395591736,4.253042221069336,20.085529327392578,20.085529327392578,0.421791136264801,20.085529327392578,4.207634449005127,20.085500717163086,20.085500717163086,0.4212452173233032,20.085500717163086
21,0.8973200917243958,-7.312920570373535,0.5899838805198669,0.07993997633457184,0.04944232106208801,0.10780635476112366,0.10126617550849915,0.9898226261138916,0.9548692107200623,0.9812130331993103,0.29639390110969543,0.9955957531929016,0.9772943258285522,0.990470826625824,0.9761334657669067,-4.028769493103027,0.6493183970451355,0.1969362050294876,0.06011711433529854,0.3928512632846832,-0.093234121799469,0.9179664850234985,0.9099828004837036,0.7463418245315552,0.2801600694656372,0.9615941047668457,0.9890773892402649,0.9802109599113464,4.383011341094971,20.085529327392578,20.085529327392578,0.4237498641014099,20.085529327392578,4.325429439544678,20.085500717163086,20.085500717163086,0.42296069860458374,20.085500717163086
22,0.9217231273651123,-7.379228115081787,0.574300229549408,0.07709948718547821,0.049174945801496506,0.10286121815443039,0.13381829857826233,0.9905239939689636,0.9551175832748413,0.9829264283180237,0.34762030839920044,0.9951241612434387,0.9773300290107727,0.9914765357971191,0.89897620677948,-3.9044272899627686,0.6604052782058716,0.19399769604206085,0.06036776304244995,0.39815717935562134,-0.15256673097610474,0.9204826354980469,0.9067530632019043,0.7356273531913757,0.35583803057670593,0.9751690626144409,0.9779998064041138,0.9873064160346985,4.54607629776001,20.085529327392578,20.085529327392578,0.4253520369529724,20.085529327392578,4.469839572906494,20.085500717163086,20.085500717163086,0.42490777373313904,20.085500717163086
23,0.9413468241691589,-7.451364517211914,0.5512848496437073,0.07622692734003067,0.04875382035970688,0.10015789419412613,0.18091276288032532,0.9907101988792419,0.9558414220809937,0.9838610291481018,0.40933066606521606,0.9950692057609558,0.9770482778549194,0.9918825626373291,0.8360992670059204,-3.8697638511657715,0.6575459241867065,0.20207634568214417,0.06009574607014656,0.3964775502681732,-0.1404780149459839,0.9143943786621094,0.9071721434593201,0.739075779914856,0.38118135929107666,1.0019793510437012,0.9771243929862976,1.0102765560150146,4.774494647979736,20.085529327392578,20.085529327392578,0.42700281739234924,20.085529327392578,4.681879043579102,20.085500717163086,20.085500717163086,0.4264616370201111,20.085500717163086
24,0.9685361981391907,-7.542048454284668,0.5250808000564575,0.0763603001832962,0.04850180819630623,0.0948973298072815,0.23535409569740295,0.9906205534934998,0.9564535021781921,0.9856086373329163,0.4762335419654846,0.9953256845474243,0.9789169430732727,0.9928690791130066,0.802498459815979,-3.6621451377868652,0.6676446199417114,0.2047542780637741,0.06056974455714226,0.40417414903640747,-0.20100677013397217,0.9131230115890503,0.904505729675293,0.7280038595199585,0.45301252603530884,0.9964584112167358,0.9633395075798035,0.9653550982475281,5.0815935134887695,20.085529327392578,20.085529327392578,0.42880892753601074,20.085529327392578,4.973143100738525,20.085500717163086,20.085500717163086,0.42825326323509216,20.085500717163086
25,1.0122969150543213,-7.734349250793457,0.47813406586647034,0.07059593498706818,0.047606468200683594,0.08373785018920898,0.3407333493232727,0.9919527769088745,0.9581973552703857,0.9887221455574036,0.5481365323066711,0.9965702891349792,0.9776946306228638,0.9943729043006897,1.0771453380584717,-3.6121792793273926,0.6849376559257507,0.20044834911823273,0.06063921004533768,0.39950764179229736,-0.28218579292297363,0.9151087999343872,0.9046040177345276,0.7357726097106934,0.5262959003448486,0.9694904685020447,0.9826239347457886,0.9947781562805176,5.434449195861816,20.085529327392578,20.085529327392578,0.43049344420433044,20.085529327392578,5.264187335968018,20.085500717163086,20.085500717163086,0.42961955070495605,20.085500717163086
26,1.041571021080017,-7.858288288116455,0.44356846809387207,0.06873393803834915,0.047301240265369415,0.07906733453273773,0.40705806016921997,0.9924986362457275,0.9585473537445068,0.9899897575378418,0.6150798201560974,0.9962060451507568,0.9783735275268555,0.995027482509613,1.110914945602417,-3.390199661254883,0.692599892616272,0.2052316665649414,0.060607027262449265,0.4043859541416168,-0.33908432722091675,0.9117740988731384,0.9052940011024475,0.7282004356384277,0.5878868699073792,0.9863768219947815,0.9766179323196411,0.9795625805854797,5.838104724884033,20.085529327392578,20.085529327392578,0.43238645792007446,20.085529327392578,5.655441761016846,20.085500717163086,20.085500717163086,0.43133828043937683,20.085500717163086
27,1.0607980489730835,-7.96298360824585,0.4133932590484619,0.06852857768535614,0.04720766842365265,0.07907480001449585,0.4669570028781891,0.9925451874732971,0.9589344263076782,0.9899881482124329,0.6681129336357117,0.9960402250289917,0.979920506477356,0.9948282241821289,1.0528762340545654,-3.3073554039001465,0.7009163498878479,0.20566657185554504,0.061162810772657394,0.40122729539871216,-0.38172245025634766,0.9108269214630127,0.9036669135093689,0.7340807914733887,0.6230200529098511,0.9788715839385986,0.9780678749084473,0.9821447730064392,6.271910667419434,20.085529327392578,20.085529327392578,0.4337798058986664,20.085529327392578,6.073004245758057,20.085500717163086,20.085500717163086,0.4332675039768219,20.085500717163086
28,1.0850909948349,-8.074458122253418,0.381939560174942,0.06971621513366699,0.04718167334794998,0.07931642234325409,0.5292391777038574,0.9922575354576111,0.9587827324867249,0.9899471402168274,0.717793345451355,0.9961962699890137,0.9790077209472656,0.9945908784866333,1.2851226329803467,-3.0400073528289795,0.710085928440094,0.2068379819393158,0.0623064748942852,0.40716418623924255,-0.4391414523124695,0.9097844362258911,0.9004784822463989,0.7264049053192139,0.6585707068443298,0.9681782126426697,0.9960302114486694,0.9824245572090149,6.757432460784912,20.085529327392578,20.085529327392578,0.43515652418136597,20.085529327392578,6.535293102264404,20.085500717163086,20.085500717163086,0.434618204832077,20.085500717163086
29,1.0948684215545654,-8.196579933166504,0.3521517217159271,0.07002254575490952,0.04737484082579613,0.07876227051019669,0.5882585644721985,0.992222785949707,0.9586087465286255,0.9901235103607178,0.7591037154197693,0.9959507584571838,0.9789659976959229,0.995231568813324,1.1521029472351074,-2.9905142784118652,0.7144416570663452,0.20656852424144745,0.0614594891667366,0.40199971199035645,-0.4661421775817871,0.9097417593002319,0.9028512239456177,0.7345138788223267,0.6850978136062622,0.9704045653343201,0.9739785194396973,0.9809589385986328,7.2787275314331055,20.085529327392578,20.085529327392578,0.4363650381565094,20.085529327392578,7.038397312164307,20.085500717163086,20.085500717163086,0.4361412227153778,20.085500717163086
30,1.1368157863616943,-8.403048515319824,0.3055911362171173,0.06659761816263199,0.04669731482863426,0.07422588020563126,0.678557276725769,0.9929608702659607,0.9597773551940918,0.9911722540855408,0.8065091371536255,0.9964560270309448,0.9792699813842773,0.9957058429718018,1.073636531829834,-2.7411913871765137,0.7275426387786865,0.20820970833301544,0.06191898509860039,0.4050564169883728,-0.5399608612060547,0.90834641456604,0.9002538919448853,0.728298544883728,0.7381455898284912,0.9683560132980347,0.9805458784103394,0.9853880405426025,7.603697776794434,20.085529327392578,20.085529327392578,0.43768495321273804,20.085529327392578,7.444583892822266,20.085500717163086,20.085500717163086,0.43707698583602905,20.085500717163086
31,1.1518704891204834,-8.511075019836426,0.28120261430740356,0.06567246466875076,0.04638959839940071,0.07151298969984055,0.7196445465087891,0.9931458830833435,0.9601938128471375,0.9918738007545471,0.83793044090271,0.9964954257011414,0.9797028303146362,0.995710551738739,1.173659086227417,-2.634291410446167,0.7321552038192749,0.20899124443531036,0.062030334025621414,0.40408992767333984,-0.567787766456604,0.9079018235206604,0.9006955027580261,0.7303153276443481,0.7556799650192261,0.9668036699295044,0.9810735583305359,0.9820473194122314,7.920184135437012,20.085529327392578,20.085529327392578,0.4391240179538727,20.085529327392578,7.769261360168457,20.085500717163086,20.085500717163086,0.43834593892097473,20.085500717163086
