epoch,subset,n,mae_mchirp,mae_q,mae_merger_time,mae_snr,r2_mchirp,r2_q,r2_merger_time,r2_snr,std_ratio_mchirp,std_ratio_q,std_ratio_merger_time,std_ratio_snr
5,full,5000,1.94272,0.158973,0.0261477,0.903884,0.868395,0.192144,0.679655,0.743403,1.03042,0.476127,0.933938,1.06158
5,snr_low,1667,2.73784,0.16261,0.0236041,0.847887,0.747918,0.134686,0.698905,-1.06533,0.948995,0.450061,0.948425,1.54856
5,snr_mid,1666,1.73194,0.157216,0.0248605,1.14948,0.907799,0.214352,0.723888,-2.21319,1.04014,0.493629,0.956446,2.12177
5,snr_high,1667,1.35826,0.157092,0.0299776,0.714433,0.944966,0.224415,0.6156,-0.46223,1.09093,0.480586,0.882524,1.38095
5,mchirp_low,2500,1.81252,0.187759,0.023337,0.908321,0.400097,0.0210184,0.725409,0.740534,1.09486,0.258392,0.936711,1.05916
5,mchirp_high,2500,2.07292,0.130187,0.0289584,0.899447,0.657746,0.123676,0.633628,0.746217,1.15605,0.578672,0.920894,1.05962
5,merger_early,2500,1.80039,0.159769,0.0308197,0.939071,0.888981,0.207571,-0.73189,0.723877,1.01556,0.455847,1.31746,1.07171
5,merger_late,2500,2.08505,0.158177,0.0214757,0.868696,0.847995,0.175923,0.161693,0.76242,1.04354,0.493945,0.849651,1.05148
5,q_low,1667,1.75168,0.212178,0.0241219,0.871098,0.62785,-5.58841,0.729553,0.766726,1.13635,0.663242,0.930758,1.05148
5,q_mid,1666,2.05029,0.0893329,0.026462,0.899194,0.835033,-1.63483,0.6694,0.744301,1.09127,1.37108,0.935626,1.05805
5,q_high,1667,2.02625,0.175368,0.0278593,0.941357,0.901256,-9.58046,0.638631,0.718518,1.01494,1.75868,0.935071,1.07528
5,q_low_mchirp_low,1241,1.66305,0.215938,0.0233199,0.860774,0.184888,-5.90951,0.741591,0.774316,1.24841,0.52436,0.928721,1.04308
5,q_low_mchirp_high,426,2.00989,0.201224,0.0264583,0.90117,-1.10538,-13.5467,0.693092,0.74449,1.70475,1.13104,0.936443,1.07343
5,q_high_mchirp_low,544,2.02671,0.263949,0.0233199,0.997049,0.479237,-16.8575,0.699023,0.683327,0.916664,0.973212,0.940296,1.07395
5,q_high_mchirp_high,1123,2.02604,0.132457,0.0300583,0.914379,0.706385,-5.72593,0.608596,0.73486,1.15401,1.61371,0.911714,1.069
10,full,5000,1.72093,0.155575,0.0139722,1.23745,0.883438,0.218521,0.880924,0.53718,0.942055,0.440266,1.00432,0.877515
10,snr_low,1667,2.52983,0.158121,0.0172374,1.63898,0.75207,0.184087,0.784751,-5.62582,0.907162,0.406779,1.01006,1.74437
10,snr_mid,1666,1.46022,0.153691,0.0128068,1.43603,0.934302,0.2371,0.921475,-3.54733,0.943266,0.467745,1.01642,1.69523
10,snr_high,1667,1.1726,0.154912,0.0118716,0.637458,0.958566,0.231826,0.935127,-0.0699698,0.966588,0.444292,0.98623,0.97005
10,mchirp_low,2500,1.23587,0.178659,0.0153527,1.40098,0.760483,0.0952092,0.84598,0.421974,0.922215,0.298686,0.986569,0.863651
10,mchirp_high,2500,2.20599,0.132491,0.0125916,1.07392,0.533126,0.0810052,0.91597,0.650962,1.07592,0.549797,1.02182,0.880495
10,merger_early,2500,1.71247,0.157323,0.0148051,1.21377,0.884374,0.223998,0.425708,0.542424,0.945296,0.433908,1.17793,0.900508
10,merger_late,2500,1.7294,0.153827,0.0131392,1.26113,0.882495,0.212689,0.623466,0.532014,0.938743,0.446595,1.02897,0.853855
10,q_low,1667,1.23371,0.175093,0.014209,1.29636,0.818617,-3.71415,0.880355,0.504421,1.00387,0.589185,0.997748,0.860901
10,q_mid,1666,1.77818,0.0835589,0.0138539,1.24092,0.861188,-1.32386,0.881369,0.534886,0.987273,1.21975,1.00786,0.880568
10,q_high,1667,2.15095,0.208029,0.0138534,1.17508,0.873156,-12.7083,0.880921,0.572298,0.941292,1.64661,1.00712,0.89046
10,q_low_mchirp_low,1241,1.08833,0.184513,0.0146224,1.37318,0.701741,-4.2447,0.869093,0.458117,1.0309,0.533744,0.988376,0.846111
10,q_low_mchirp_high,426,1.65723,0.147651,0.0130048,1.07255,-0.685138,-7.21543,0.913868,0.640064,1.58896,0.931243,1.02489,0.891283
10,q_high_mchirp_low,544,1.38341,0.278623,0.0170064,1.38721,0.787914,-19.1142,0.796164,0.401787,0.800004,1.22762,0.971163,0.873696
10,q_high_mchirp_high,1123,2.52275,0.173833,0.0123261,1.07232,0.470162,-9.32315,0.920224,0.651502,1.0893,1.57484,1.02274,0.890055
15,full,5000,1.38528,0.152451,0.0130536,0.866657,0.922901,0.235487,0.899,0.76698,0.979118,0.53687,0.974701,0.930432
15,snr_low,1667,1.98533,0.154496,0.0158832,0.785552,0.844764,0.205769,0.821198,-0.726842,0.937528,0.481636,0.952832,1.25106
15,snr_mid,1666,1.22394,0.152163,0.01204,0.986944,0.949236,0.23956,0.930874,-1.39215,0.991061,0.558485,0.977877,1.8574
15,snr_high,1667,0.946487,0.150695,0.011237,0.827547,0.971741,0.258604,0.943785,-1.00709,1.00487,0.564769,0.992776,1.41859
15,mchirp_low,2500,1.19065,0.177671,0.0144526,0.886708,0.728081,0.089633,0.864737,0.75229,1.03977,0.287422,0.959678,0.931048
15,mchirp_high,2500,1.57992,0.127231,0.0116546,0.846606,0.754874,0.14353,0.933368,0.781476,1.04146,0.634216,0.989661,0.928863
15,merger_early,2500,1.35029,0.154522,0.0136304,0.880312,0.9315,0.239571,0.531931,0.753738,0.974632,0.511546,1.09854,0.940522
15,merger_late,2500,1.42028,0.15038,0.0124769,0.853002,0.914378,0.231111,0.662829,0.779872,0.983487,0.562035,1.05007,0.920529
15,q_low,1667,1.31839,0.168442,0.0129575,0.834797,0.815502,-3.39918,0.903003,0.78081,1.06931,0.691708,0.971837,0.929964
15,q_mid,1666,1.31266,0.0939114,0.0131898,0.867737,0.915727,-1.88887,0.8971,0.772807,1.02354,1.49132,0.974698,0.924671
15,q_high,1667,1.52476,0.194966,0.0130137,0.897437,0.926614,-12.1536,0.896705,0.746722,0.975902,1.99427,0.976956,0.937225
15,q_low_mchirp_low,1241,1.25287,0.168674,0.013457,0.842367,0.611064,-3.52951,0.890848,0.77782,1.14874,0.52903,0.965023,0.922957
15,q_low_mchirp_high,426,1.50926,0.167765,0.0115022,0.812745,-0.144694,-9.32595,0.939224,0.789569,1.4083,1.05758,0.991264,0.949652
15,q_high_mchirp_low,544,1.215,0.299231,0.0162715,0.951806,0.747835,-21.7287,0.81348,0.701914,0.918934,1.16711,0.942896,0.935109
15,q_high_mchirp_high,1123,1.67481,0.144458,0.0114355,0.8711,0.736722,-7.08049,0.93536,0.767533,1.06784,1.79593,0.992038,0.935668
20,full,5000,1.38714,0.153026,0.0130168,0.921931,0.921317,0.236687,0.89635,0.736262,0.976967,0.535799,0.969229,0.997741
20,snr_low,1667,2.06521,0.158212,0.0160799,0.923677,0.834995,0.182436,0.806375,-1.43697,0.956843,0.477347,0.948183,1.55134
