epoch,subset,n,mae_mchirp,mae_q,mae_merger_time,mae_snr,r2_mchirp,r2_q,r2_merger_time,r2_snr,std_ratio_mchirp,std_ratio_q,std_ratio_merger_time,std_ratio_snr
15,q_high,1667,2.69534,0.193902,0.0490638,1.38077,0.818216,-11.4262,-0.00195053,0.444301,0.866785,1.74368,0.0202517,0.834959
15,q_low_mchirp_low,1241,0.904954,0.197377,0.0495526,1.27109,0.79026,-4.94682,0.00163238,0.533615,1.01762,0.593556,0.0204126,0.813696
15,q_low_mchirp_high,426,1.51106,0.151856,0.0495921,1.32745,-0.518476,-7.46532,-0.00307104,0.49406,1.33046,0.826058,0.00978863,0.829615
15,q_high_mchirp_low,544,1.48203,0.267891,0.0486201,1.38349,0.764514,-17.7738,-0.013732,0.41377,0.789965,1.16812,0.0264087,0.839026
15,q_high_mchirp_high,1123,3.28309,0.158061,0.0492787,1.37946,0.2178,-8.06967,-0.000972078,0.45847,0.985792,1.70403,0.0158524,0.832867
20,full,5000,1.37545,0.156958,0.0493097,0.91161,0.919807,0.205349,9.19766e-05,0.745465,0.961441,0.449635,0.0118733,0.937848
20,snr_low,1667,2.07457,0.160681,0.0491561,0.947435,0.831787,0.158074,-0.000181976,-1.43546,0.902831,0.399935,0.00420784,1.4079
20,snr_mid,1666,1.22257,0.154549,0.0498205,0.985199,0.945222,0.229872,-0.000436282,-1.45432,0.970813,0.470577,0.00937652,1.83427
20,snr_high,1667,0.829113,0.155642,0.0489528,0.802241,0.979339,0.225342,-0.000181808,-0.816833,1.00653,0.474367,0.0141666,1.46501
20,mchirp_low,2500,1.33384,0.18973,0.0493246,0.918213,0.658703,-0.00182049,0.000360534,0.736147,0.951717,0.279248,0.0131492,0.942636
20,mchirp_high,2500,1.41705,0.124185,0.0492947,0.905007,0.777841,0.203569,-0.000470055,0.75465,1.05123,0.558423,0.0102363,0.932829
20,merger_early,2500,1.38678,0.159536,0.0488251,0.933054,0.917656,0.207027,-3.00749,0.734064,0.963214,0.442876,0.0239568,0.944172
20,merger_late,2500,1.36411,0.154379,0.0497942,0.890167,0.921926,0.203479,-2.9235,0.756557,0.959706,0.45659,0.0233414,0.931599
20,q_low,1667,1.37933,0.227242,0.0495129,0.887817,0.805432,-6.3625,0.000513347,0.756478,1.01313,0.589881,0.00965788,0.929564
20,q_mid,1666,1.32039,0.0837596,0.0493828,0.91744,0.906801,-1.31363,-0.00102307,0.744433,0.999581,1.2171,0.0115758,0.938762
20,q_high,1667,1.42659,0.159828,0.0490334,0.929576,0.927725,-7.99501,-0.000372844,0.73506,0.959658,1.69636,0.0137435,0.945737
20,q_low_mchirp_low,1241,1.36938,0.235954,0.0495131,0.879447,0.569825,-7.02438,0.000464884,0.761132,1.05928,0.549321,0.0105032,0.922731
20,q_low_mchirp_high,426,1.40831,0.201861,0.0495122,0.9122,-0.0739994,-13.0463,-0.000941213,0.742841,1.37987,0.835942,0.00432893,0.949042
