iota_rad,cos_iota_sign,winner,ratio,corr_A,corr_B
0.1,+,combo_B,1.65468401028213,0.28454868278388024,0.4708381555493287
0.30297090382784236,+,combo_B,1.5928160528682678,0.2823964058157844,0.4498055284556832
0.5059418076556847,+,combo_B,1.603858805630501,0.2841133415869786,0.45567768470138204
0.7089127114835271,+,combo_B,1.2224587690901518,0.36629856765939484,0.4477848961403895
0.9118836153113694,+,combo_B,1.0890887458495442,0.4221803421672481,0.4597918593732596
1.1148545191392119,+,combo_B,1.180017124728763,0.39393856224216106,0.46485424953677773
1.3178254229670543,+,combo_B,1.135003287545797,0.3980607880058022,0.451800303029656
1.5207963267948965,+,combo_B,1.1822260228117893,0.3639398578932628,0.4302591707398399
1.6207963267948966,−,combo_A,1.0661475372746507,0.42087783567542547,0.39476509672507265
1.823767230622739,−,combo_A,1.2124268595208019,0.45643102373057,0.37646066659309185
2.0267381344505813,−,combo_A,1.195229797202412,0.4623008845818759,0.38678828595467596
2.2297090382784237,−,combo_A,1.1208801806017032,0.4668774037667601,0.4165274860298932
2.432679942106266,−,combo_A,1.1363532869527424,0.4609410266388453,0.4056317977263126
2.6356508459341086,−,combo_A,1.4214901494927366,0.46391597581820687,0.3263589100380026
2.838621749761951,−,combo_A,1.5984122041637203,0.45528504724778934,0.28483581773325595
3.041592653589793,−,combo_A,1.607706816231797,0.4574600206144721,0.28454194259540677
# bootstrap cos_ι_>_0,,combo_B,1.228,"CI=[1.107,1.380]",
# bootstrap cos_ι_<_0,,combo_A,1.190,"CI=[1.076,1.328]",
