epoch,loss,mae_coa_phase,mae_declination,mae_mchirp,mae_merger_time,mae_ra,mae_snr,r2_coa_phase,r2_declination,r2_mchirp,r2_merger_time,r2_ra,r2_snr,std_ratio_coa_phase,std_ratio_declination,std_ratio_mchirp,std_ratio_merger_time,std_ratio_ra,std_ratio_snr,val_loss,val_mae_coa_phase,val_mae_declination,val_mae_mchirp,val_mae_merger_time,val_mae_ra,val_mae_snr,val_r2_coa_phase,val_r2_declination,val_r2_mchirp,val_r2_merger_time,val_r2_ra,val_r2_snr,val_std_ratio_coa_phase,val_std_ratio_declination,val_std_ratio_mchirp,val_std_ratio_merger_time,val_std_ratio_ra,val_std_ratio_snr,val_weight_coa_phase,val_weight_declination,val_weight_mchirp,val_weight_merger_time,val_weight_ra,val_weight_snr,weight_coa_phase,weight_declination,weight_mchirp,weight_merger_time,weight_ra,weight_snr
0,2.4817936420440674,0.9854016304016113,0.2560350298881531,1.284769058227539,0.29772233963012695,0.9517796635627747,0.9768621325492859,-1.9183109998703003,-1.1223175525665283,-4.489620208740234,-0.5709985494613647,-1.7404773235321045,-0.5195069313049316,0.6213675141334534,1.0607737302780151,2.1278135776519775,0.7614054083824158,1.085196852684021,0.888373076915741,1.5332106351852417,0.9939227104187012,0.19175806641578674,0.8442326784133911,0.262645959854126,0.9853584170341492,0.7411580085754395,-1.9856513738632202,-0.1795191764831543,-0.063934326171875,-0.2034461498260498,-1.9549821615219116,0.2060355544090271,0.0,0.27665287256240845,0.22917354106903076,0.18638496100902557,1.405996322631836,0.3460603356361389,1.1864012479782104,1.218644380569458,1.020279049873352,1.218570590019226,1.2105798721313477,1.1636083126068115,1.0959060192108154,1.1064304113388062,0.9992192983627319,1.1062661409378052,1.106108546257019,1.0609970092773438
1,1.2247344255447388,1.0028712749481201,0.21247540414333344,0.8160135746002197,0.25837159156799316,1.0032331943511963,0.706878662109375,-2.011399507522583,-0.4474372863769531,-0.020627975463867188,-0.1319509744644165,-2.011569023132324,0.229606032371521,0.0003452697128523141,0.6627359390258789,0.6172555685043335,0.4794996976852417,1.3687858581542969,0.812056839466095,0.807742714881897,0.993923008441925,0.23024627566337585,0.7627760767936707,0.23260712623596191,1.0114929676055908,0.6435636878013611,-1.9856529235839844,-0.6645427942276001,0.14115548133850098,0.08906292915344238,-2.0098953247070312,0.3635985851287842,0.0,0.24004650115966797,0.4687856435775757,0.24657732248306274,0.0,0.683212399482727,1.3563730716705322,1.4841500520706177,1.1007882356643677,1.4839582443237305,1.36369788646698,1.4415847063064575,1.2728880643844604,1.3478033542633057,1.057732105255127,1.3476547002792358,1.289438247680664,1.298439383506775
2,0.4891689121723175,1.0027397871017456,0.20589135587215424,0.7509272694587708,0.21271160244941711,0.9991412162780762,0.6345033645629883,-2.011399507522583,-0.3610861301422119,0.12467873096466064,0.19863605499267578,-1.996519684791565,0.372805118560791,0.0,0.610332190990448,0.6585496068000793,0.5575800538063049,0.0,0.8279553651809692,0.3503531217575073,0.9939231872558594,0.1919357180595398,0.6352168321609497,0.1577085256576538,1.0114929676055908,0.841666579246521,-1.9856542348861694,-0.16413402557373047,0.38642972707748413,0.5001928806304932,-2.0098953247070312,0.010525882244110107,0.0,0.2672351598739624,0.5371069312095642,0.643121063709259,0.0,0.8446259498596191,1.4788177013397217,1.8048127889633179,1.2175076007843018,1.8089673519134521,1.4825937747955322,1.7589061260223389,1.4255253076553345,1.6400965452194214,1.1559683084487915,1.641543984413147,1.4274156093597412,1.5989495515823364
3,-0.27288568019866943,1.0024529695510864,0.2027493119239807,0.6394737362861633,0.16210614144802094,0.9992480874061584,0.5786360502243042,-2.011399269104004,-0.3099418878555298,0.3419703245162964,0.4991256594657898,-1.9965194463729858,0.4768807888031006,0.0,0.5833678841590881,0.729491651058197,0.7803729772567749,0.0,0.8393301367759705,-0.532924473285675,0.9939231872558594,0.2835043668746948,0.47405844926834106,0.1311263144016266,1.0114929676055908,0.6644749045372009,-1.9856542348861694,-1.4358673095703125,0.6232013702392578,0.6512817144393921,-2.0098953247070312,0.34317755699157715,0.0,0.22290922701358795,0.7899258732795715,0.8312365412712097,0.0,0.9303725957870483,1.5485029220581055,2.191565752029419,1.3847283124923706,2.2080862522125244,1.5542069673538208,2.134291887283325,1.5181920528411865,1.9934734106063843,1.2961848974227905,2.0031347274780273,1.5223966836929321,1.9412164688110352
4,-1.0238922834396362,1.0026013851165771,0.1922394335269928,0.5426242351531982,0.14471828937530518,0.9990208745002747,0.531644880771637,-2.011399507522583,-0.15894627571105957,0.5156415700912476,0.5914206504821777,-1.9965187311172485,0.5563783645629883,0.0,0.4705076515674591,0.8300825357437134,0.8507633805274963,0.0,0.8538746237754822,-1.4574100971221924,0.9939231872558594,0.19599004089832306,0.5670018792152405,0.11342908442020416,1.0114929676055908,0.43248963356018066,-1.9856542348861694,-0.20767343044281006,0.49205994606018066,0.7341408729553223,-2.0098953247070312,0.6951686143875122,0.0,0.23516680300235748,0.8034287095069885,0.8816139101982117,0.0,0.8709526658058167,1.5804365873336792,2.660799026489258,1.6111681461334229,2.6925604343414307,1.586379885673523,2.575849771499634,1.5681620836257935,2.419752597808838,1.493330717086792,2.443614959716797,1.5741199254989624,2.345000982284546
5,-1.7311491966247559,1.0024410486221313,0.19448155164718628,0.4762115180492401,0.13338766992092133,0.998875617980957,0.4962640106678009,-2.0113987922668457,-0.187721848487854,0.6214063167572021,0.6486197113990784,-1.9965192079544067,0.612673819065094,0.0,0.5121933221817017,0.8753167986869812,0.8898574709892273,0.0,0.8642901182174683,-2.0312588214874268,0.9939231872558594,0.20476099848747253,0.552271842956543,0.12880727648735046,1.0114929676055908,0.4498351514339447,-1.9856542348861694,-0.35964930057525635,0.5665794610977173,0.6678358316421509,-2.0098953247070312,0.680803656578064,0.0,0.2431972175836563,0.9225151538848877,0.9015810489654541,0.0,0.8796443343162537,1.5913991928100586,3.222992420196533,1.9032514095306396,3.2801194190979004,1.5995073318481445,3.0795435905456543,1.5858968496322632,2.9343199729919434,1.7528187036514282,2.97823166847229,1.5917398929595947,2.829008102416992
6,-2.425537586212158,1.0029646158218384,0.18691259622573853,0.4307713806629181,0.12380541861057281,0.9991076588630676,0.46397390961647034,-2.011399984359741,-0.08881258964538574,0.6861567497253418,0.6965134739875793,-1.9965194463729858,0.65972900390625,0.0,0.4442906081676483,0.9027132391929626,0.9165388941764832,0.0,0.8668137192726135,-2.2496962547302246,0.9939231872558594,0.17538805305957794,0.6651773452758789,0.10260699689388275,1.0114929676055908,0.5514642000198364,-1.9856542348861694,0.053994834423065186,0.45610785484313965,0.7805339097976685,-2.0098953247070312,0.536801815032959,0.0,0.2910364270210266,0.8504923582077026,0.9363293647766113,0.0,0.9097033143043518,1.591507077217102,3.9017481803894043,2.258270740509033,3.9929184913635254,1.6003427505493164,3.6590561866760254,1.5924474000930786,3.5538737773895264,2.073641300201416,3.6266679763793945,1.6031286716461182,3.366732597351074
7,-3.0554563999176025,1.0027471780776978,0.18704357743263245,0.38419103622436523,0.11373355239629745,0.9986993670463562,0.45827165246009827,-2.011399269104004,-0.0960160493850708,0.7456321716308594,0.7425276041030884,-1.9965194463729858,0.6699972748756409,0.0,0.47406911849975586,0.91569983959198,0.917063295841217,0.0,0.8779195547103882,-3.2628142833709717,0.9939231872558594,0.17432691156864166,0.3103276193141937,0.08920155465602875,1.0114929676055908,0.5261797308921814,-1.9856539964675903,0.06280303001403809,0.8239345550537109,0.8273632526397705,-2.0098953247070312,0.5718966722488403,0.0,0.2575846016407013,0.8901124000549316,0.9503864645957947,0.0,0.8715124130249023,1.5961683988571167,4.711192607879639,2.6977999210357666,4.8586530685424805,1.6015748977661133,4.225770473480225,1.5936208963394165,4.297013759613037,2.4698729515075684,4.414201259613037,1.600600004196167,3.962031841278076
8,-3.6941511631011963,1.0028918981552124,0.18842805922031403,0.3505454659461975,0.10992956161499023,0.9986696243286133,0.4349023401737213,-2.0113983154296875,-0.10752356052398682,0.7846999764442444,0.7583931088447571,-1.9965192079544067,0.7010648250579834,0.0,0.49620887637138367,0.9244639873504639,0.925757110118866,0.0,0.8803644776344299,-4.182394981384277,0.9939231872558594,0.2105417251586914,0.2557176947593689,0.09093862771987915,1.0114929676055908,0.39225733280181885,-1.9856539964675903,-0.4360840320587158,0.875718355178833,0.8231305480003357,-2.0098953247070312,0.7527707815170288,0.0,0.2782355844974518,0.9510551691055298,1.0168144702911377,0.0,0.8947300910949707,1.596027135848999,5.672425270080566,3.232736587524414,5.904419422149658,1.5995633602142334,4.85421895980835,1.593679666519165,5.180218696594238,2.9563300609588623,5.367543697357178,1.6033371686935425,4.5543999671936035
9,-4.284092426300049,1.002741813659668,0.1844230741262436,0.3233935236930847,0.10387639701366425,0.9994532465934753,0.4258945882320404,-2.011399745941162,-0.0617598295211792,0.8135213255882263,0.7832682728767395,-1.9965189695358276,0.714164674282074,0.0,0.4790407121181488,0.9346950650215149,0.9426171779632568,0.0,0.8778980374336243,-4.7549848556518555,0.9939231872558594,0.17164412140846252,0.2604063153266907,0.0832037627696991,1.0114929676055908,0.4018476903438568,-1.9856539964675903,0.10099047422409058,0.8736355304718018,0.8503742218017578,-2.0098953247070312,0.7399348616600037,0.0,0.3258507549762726,0.9336377382278442,0.9845100045204163,0.0,0.9038563370704651,1.593222737312317,6.815837860107422,3.8690733909606934,7.170594215393066,1.6003305912017822,5.492007732391357,1.594902515411377,6.230533123016357,3.544740676879883,6.519916534423828,1.6032140254974365,5.176156997680664
