epoch,subset,n,mae_mchirp,mae_q,mae_merger_time,mae_snr,r2_mchirp,r2_q,r2_merger_time,r2_snr,std_ratio_mchirp,std_ratio_q,std_ratio_merger_time,std_ratio_snr
5,full,5000,3.10325,0.170314,0.0502415,3.2952,0.592946,0.0408847,-0.047096,-1.33565,0.859144,0.374985,0.0589997,0.878368
5,snr_low,1667,5.14787,0.178275,0.0496618,3.96479,0.0956908,-0.0677091,-0.0306052,-28.2978,0.712246,0.312616,0.042486,1.80811
5,snr_mid,1666,2.58611,0.166485,0.0508221,3.35949,0.758598,0.0877536,-0.0551058,-19.162,0.833815,0.374032,0.0455807,1.58159
5,snr_high,1667,1.57547,0.16618,0.0502409,2.56138,0.905874,0.0985422,-0.0564752,-11.2748,0.916699,0.425481,0.0448138,1.39327
5,mchirp_low,2500,1.64104,0.211548,0.0503412,3.52699,0.582179,-0.272944,-0.0456154,-1.63767,0.931352,0.348215,0.0610614,0.900445
5,mchirp_high,2500,4.56546,0.129079,0.0501417,3.06342,-0.865278,0.146411,-0.0488886,-1.03746,1.21016,0.455417,0.0558476,0.845494
5,merger_early,2500,3.15181,0.173362,0.0613815,3.3033,0.577229,0.0364813,-4.76524,-1.38001,0.862332,0.372744,0.120221,0.897586
5,merger_late,2500,3.05469,0.167266,0.0391014,3.28711,0.608453,0.0453379,-1.64265,-1.29264,0.855819,0.377337,0.11484,0.859237
5,q_low,1667,1.99087,0.280765,0.050595,3.44759,0.534911,-10.0738,-0.0420127,-1.50472,0.923359,0.731506,0.0568882,0.88327
5,q_mid,1666,3.1124,0.0929907,0.0497896,3.29348,0.542762,-1.8772,-0.0355974,-1.3122,0.909577,1.10949,0.0590782,0.877871
5,q_high,1667,4.20649,0.137139,0.0503395,3.14454,0.500419,-5.50807,-0.0650361,-1.19044,0.880018,1.24742,0.058728,0.87186
5,q_low_mchirp_low,1241,1.59337,0.299831,0.0504503,3.52125,0.424286,-11.5446,-0.0330729,-1.59808,1.04873,0.765381,0.0580262,0.883761
5,q_low_mchirp_high,426,3.14884,0.225226,0.0510168,3.233,-4.57911,-16.6614,-0.0704351,-1.23125,1.93881,0.995172,0.0533577,0.874957
5,q_high_mchirp_low,544,1.68015,0.16375,0.0505933,3.48006,0.666379,-7.16236,-0.104692,-1.68186,0.813064,1.20151,0.0625285,0.887902
5,q_high_mchirp_high,1123,5.4303,0.124248,0.0502165,2.98201,-1.25443,-4.63923,-0.0512404,-0.962193,1.26829,1.22502,0.0561903,0.854459
10,full,5000,4.19032,0.157211,0.0494115,0.991551,0.442249,0.186395,-0.00218106,0.694883,0.941271,0.540096,0.0332233,1.01982
10,snr_low,1667,6.45944,0.162636,0.0492076,0.984067,-0.213932,0.136833,-0.00167322,-1.75433,0.810179,0.460964,0.0208206,1.69015
10,snr_mid,1666,3.54993,0.152861,0.0499477,1.09725,0.675693,0.218631,-0.00489533,-2.07024,0.923965,0.565181,0.0292025,2.04497
10,snr_high,1667,2.56121,0.156135,0.0490795,0.893396,0.839418,0.200928,-0.00102546,-1.20907,0.992769,0.573407,0.0377831,1.62235
10,mchirp_low,2500,3.02469,0.181344,0.0495061,1.03453,-0.0486911,0.0528543,-0.00340574,0.663265,1.09205,0.475196,0.0364636,1.04567
10,mchirp_high,2500,5.35595,0.133079,0.0493168,0.94857,-1.28864,0.0519369,-0.0012447,0.726097,1.23372,0.633348,0.0183273,0.974974
10,merger_early,2500,4.26723,0.158631,0.051248,0.995056,0.408059,0.194505,-3.31292,0.685246,0.943636,0.532791,0.0671918,1.0306
10,merger_late,2500,4.11341,0.155791,0.0475749,0.988046,0.476024,0.177811,-2.65548,0.70425,0.938683,0.547654,0.0651446,1.00925
10,q_low,1667,2.90923,0.171285,0.049664,0.947611,0.202379,-3.79733,0.000203664,0.72011,1.04092,0.889716,0.0316529,1.00838
10,q_mid,1666,4.39955,0.0980718,0.0493681,0.989609,0.335114,-2.12333,-0.00119557,0.699468,0.991371,1.56021,0.0337042,1.02246
10,q_high,1667,5.2623,0.202242,0.0492023,1.03743,0.376926,-12.7198,-0.00676151,0.664242,0.962288,1.89834,0.0340331,1.02758
10,q_low_mchirp_low,1241,2.55469,0.183481,0.0496679,0.958327,-0.290483,-4.4815,0.00114768,0.710827,1.21757,0.937395,0.0318849,1.01408
10,q_low_mchirp_high,426,3.94205,0.135757,0.0496527,0.916395,-6.55066,-6.30855,-0.00422169,0.747306,1.91996,1.05195,0.0154805,0.974315
10,q_high_mchirp_low,544,3.52159,0.264368,0.0489336,1.14397,0.0715333,-18.6121,-0.0259386,0.581157,0.954759,1.79193,0.0419028,1.07533
10,q_high_mchirp_high,1123,6.10553,0.172146,0.0493324,0.985823,-1.64049,-9.60809,-0.00232815,0.702832,1.30343,1.77873,0.0195145,0.988179
15,full,5000,2.07224,0.156247,0.0493483,1.66295,0.84973,0.213465,-0.001357,0.243733,1.13116,0.571112,0.0286933,0.792837
15,snr_low,1667,2.48284,0.158586,0.0491769,2.37134,0.773533,0.180795,-0.000777039,-10.5411,0.963073,0.489725,0.0163994,1.52832
15,snr_mid,1666,1.87317,0.154657,0.0498715,1.8158,0.884415,0.230725,-0.00271143,-5.89216,1.15306,0.598425,0.0279598,1.64709
15,snr_high,1667,1.8606,0.155496,0.048997,0.801797,0.88775,0.22633,-0.00164433,-0.596973,1.25362,0.615819,0.0357518,0.867671
15,mchirp_low,2500,1.4977,0.182914,0.0493765,1.68568,0.578816,0.0573684,-0.00165862,0.22477,0.989242,0.319756,0.0375096,0.813994
15,mchirp_high,2500,2.64679,0.129579,0.0493202,1.64021,0.461184,0.129057,-0.00134705,0.262406,1.32627,0.657764,0.0135955,0.771399
15,merger_early,2500,2.10022,0.157998,0.0487248,1.66584,0.842016,0.217176,-2.99651,0.229311,1.12814,0.56337,0.0573936,0.802594
15,merger_late,2500,2.04427,0.154496,0.0499719,1.66005,0.857347,0.209474,-2.94488,0.257717,1.13408,0.579103,0.0568783,0.783193
15,q_low,1667,1.43043,0.199668,0.049514,1.71239,0.755113,-4.90728,-0.000166003,0.21604,1.15086,0.762838,0.0233614,0.792643
15,q_mid,1666,2.17889,0.100045,0.0494362,1.65483,0.817862,-2.26504,-0.00273383,0.261559,1.16463,1.6126,0.0298847,0.79368
15,q_high,1667,2.60747,0.168993,0.0490948,1.62162,0.841044,-9.52548,-0.00234651,0.252809,1.13571,2.09384,0.0316571,0.792477
15,q_low_mchirp_low,1241,1.23706,0.198509,0.0495202,1.71599,0.55047,-4.9947,-0.00043503,0.21714,1.11674,0.616311,0.0262507,0.804889
15,q_low_mchirp_high,426,1.99373,0.203044,0.0494959,1.70189,-0.963354,-13.5045,-0.000961548,0.212819,1.78486,1.10075,0.00856438,0.755622
15,q_high_mchirp_low,544,1.8809,0.270715,0.0485868,1.60033,0.558283,-18.1908,-0.0112732,0.246742,0.855745,1.26697,0.048934,0.817178
15,q_high_mchirp_high,1123,2.95943,0.119717,0.0493409,1.63194,0.39482,-4.93187,-0.00271192,0.255607,1.36129,1.83322,0.0151234,0.780539
20,full,5000,1.75505,0.157035,0.0493091,1.31063,0.886088,0.204725,0.000158055,0.503793,1.11311,0.575115,0.0198144,0.973638
20,snr_low,1667,2.34135,0.159818,0.0491425,0.947352,0.781996,0.166865,0.000165108,-1.33248,1.07804,0.523173,0.0157267,1.33319
