epoch,loss,mae_mchirp,mae_merger_time,mae_q,mae_snr,r2_mchirp,r2_merger_time,r2_q,r2_snr,std_ratio_mchirp,std_ratio_merger_time,std_ratio_q,std_ratio_snr,val_loss,val_mae_mchirp,val_mae_merger_time,val_mae_q,val_mae_snr,val_r2_mchirp,val_r2_merger_time,val_r2_q,val_r2_snr,val_std_ratio_mchirp,val_std_ratio_merger_time,val_std_ratio_q,val_std_ratio_snr,val_weight_mchirp,val_weight_merger_time,val_weight_q,val_weight_snr,weight_mchirp,weight_merger_time,weight_q,weight_snr
0,0.04165223240852356,0.4555678963661194,0.25247958302497864,0.18940278887748718,0.45272156596183777,0.5976866483688354,-0.018930792808532715,0.09957617521286011,0.6660338640213013,0.751093864440918,0.13496004045009613,0.304569810628891,0.8294253349304199,10.0143404006958,3.5575573444366455,0.25977131724357605,0.23323972523212433,6.132758617401123,-12.891552925109863,-0.1635289192199707,-0.5255537033081055,-38.2318000793457,1.426967740058899,0.13236244022846222,0.39346811175346375,1.339239239692688,1.2410008907318115,1.2163097858428955,1.2165882587432861,1.2294501066207886,1.1156818866729736,1.1052910089492798,1.10530424118042,1.1120660305023193
1,-0.8816447854042053,0.2635676860809326,0.25119900703430176,0.1776900589466095,0.37141498923301697,0.8483272194862366,-0.006658196449279785,0.18592023849487305,0.7802799344062805,0.9128365516662598,0.09225927293300629,0.45827069878578186,0.8918400406837463,3.0688562393188477,1.0798609256744385,0.25488001108169556,0.2779597342014313,2.8692803382873535,-0.49879491329193115,-0.09012532234191895,-1.1056644916534424,-7.689401626586914,0.8993557691574097,0.05524730309844017,0.28693509101867676,0.8806905746459961,1.5295943021774292,1.4777257442474365,1.4793931245803833,1.5006954669952393,1.3821483850479126,1.3435856103897095,1.3444875478744507,1.3620874881744385
2,-1.634909749031067,0.2337476909160614,0.2514042258262634,0.1739116758108139,0.36134541034698486,0.881299614906311,-0.00914764404296875,0.21708685159683228,0.7915328741073608,0.9342912435531616,0.0901271179318428,0.4754905700683594,0.8996979594230652,3.988029956817627,1.7434415817260742,0.2611207365989685,0.3060443699359894,2.580437183380127,-2.988370180130005,-0.16517341136932373,-1.5197112560272217,-6.327072620391846,1.3513164520263672,0.05196785926818848,0.29807248711586,0.6599121689796448,1.8736495971679688,1.7930629253387451,1.7979352474212646,1.8210475444793701,1.6975866556167603,1.631272792816162,1.6343514919281006,1.657441258430481
3,-2.3687620162963867,0.20610733330249786,0.2512354850769043,0.1733265519142151,0.3543380796909332,0.9068678617477417,-0.007114052772521973,0.21836650371551514,0.8003674745559692,0.9475060105323792,0.09684920310974121,0.4981774091720581,0.9034686088562012,-1.8036556243896484,0.3026861548423767,0.24693751335144043,0.1724041998386383,0.8898980021476746,0.8074761629104614,-0.002600431442260742,0.22212547063827515,-0.02278459072113037,0.7163576483726501,0.036056894809007645,0.41158053278923035,0.8847090005874634,2.290351629257202,2.1722919940948486,2.183245897293091,2.200357675552368,2.077194929122925,1.977965235710144,1.9854400157928467,2.006800889968872
4,-3.0644214153289795,0.20365186035633087,0.25121644139289856,0.17184512317180634,0.3500673770904541,0.9136914014816284,-0.004813551902770996,0.23084962368011475,0.8063843846321106,0.955554723739624,0.08104653656482697,0.49106109142303467,0.9084891080856323,-0.7942930459976196,0.4217084050178528,0.2511442303657532,0.1880815327167511,1.4267204999923706,0.6243525147438049,-0.047112226486206055,0.040800511837005615,-1.3368206024169922,0.9074839353561401,0.05901438370347023,0.3749915659427643,0.8782860636711121,2.787900686264038,2.6270010471343994,2.648729085922241,2.645803451538086,2.534440755844116,2.3939385414123535,2.409824848175049,2.4202277660369873
5,-3.692920207977295,0.18649229407310486,0.2515980005264282,0.17104516923427582,0.339511901140213,0.928400993347168,-0.009232163429260254,0.24223381280899048,0.8166356086730957,0.9603820443153381,0.09771457314491272,0.4944365322589874,0.9114407896995544,2.9722800254821777,1.7291481494903564,0.2478933036327362,0.23526529967784882,1.4004547595977783,-3.0371971130371094,-0.010569095611572266,-0.5650808811187744,-1.5260825157165527,1.354791522026062,0.08408371359109879,0.4277094304561615,0.8426661491394043,3.3914859294891357,3.1694722175598145,2.718282461166382,3.1676273345947266,3.08197021484375,2.891697883605957,2.7137672901153564,2.902982711791992
6,-4.19648551940918,0.17505495250225067,0.2512229084968567,0.17024734616279602,0.3270149528980255,0.9384450912475586,-0.006123900413513184,0.24545985460281372,0.8302372694015503,0.9657105803489685,0.08613284677267075,0.4973887503147125,0.9158505201339722,24.303089141845703,5.085490703582764,0.24724142253398895,0.3910593092441559,3.157130718231201,-27.16773796081543,-0.004705071449279785,-2.715970277786255,-10.05183219909668,2.10776424407959,0.04892629012465477,0.16119776666164398,0.9464431405067444,4.122564315795898,3.813828945159912,2.718282461166382,3.7814183235168457,3.749096393585205,3.4841408729553223,2.718285083770752,3.4704437255859375
7,-4.6670613288879395,0.1675805002450943,0.25095751881599426,0.1701900064945221,0.3217846155166626,0.9458246827125549,-0.004730820655822754,0.2448992133140564,0.835942268371582,0.970872700214386,0.08387281000614166,0.5019806027412415,0.9196228384971619,-2.0001282691955566,0.6670133471488953,0.24671921133995056,0.2227390706539154,0.77828049659729,0.34970611333847046,-0.00019633769989013672,-0.32293474674224854,0.08868592977523804,0.6497589349746704,0.033445682376623154,0.33948057889938354,0.6187120676040649,5.003154754638672,4.574310779571533,2.718282461166382,4.487226963043213,4.551632404327393,4.185330867767334,2.718285083770752,4.130518913269043
8,-5.116729259490967,0.1643313765525818,0.251289039850235,0.16928927600383759,0.31292828917503357,0.9496304988861084,-0.0048302412033081055,0.2518344521522522,0.8444849252700806,0.9741162657737732,0.0704205185174942,0.5053743720054626,0.9223880767822266,4.493651866912842,1.1500964164733887,0.24696651101112366,0.2726261615753174,1.6503632068634033,-0.553941011428833,-0.0017898082733154297,-1.0099501609802246,-2.2767488956451416,0.8804580569267273,0.027919046580791473,0.32935354113578796,0.41824600100517273,6.055998802185059,5.464405536651611,2.718282461166382,5.294402599334717,5.517998695373535,5.009869575500488,2.718285083770752,4.88795804977417
9,-5.557003498077393,0.16031427681446075,0.2510416507720947,0.16885726153850555,0.2999385595321655,0.9531422257423401,-0.0025892257690429688,0.2546740174293518,0.8571656942367554,0.9762396812438965,0.04676425829529762,0.511457085609436,0.9290643334388733,-3.331677198410034,0.6363020539283752,0.24727261066436768,0.1734001785516739,0.42683500051498413,0.3171355128288269,-0.0021802186965942383,0.18637913465499878,0.6949071884155273,1.1359776258468628,0.03323674574494362,0.540119469165802,1.0198014974594116,7.310820579528809,6.495636940002441,2.718282461166382,6.229674339294434,6.673046112060547,5.970975875854492,2.718285083770752,5.762308120727539
