epoch,circular_loss_coa_phase,circular_loss_polarization_angle,kappa_sky_position,loss,mae_coa_phase,mae_inclination,mae_mchirp,mae_merger_time,mae_polarization_angle,mae_snr,r2_coa_phase,r2_inclination,r2_mchirp,r2_merger_time,r2_polarization_angle,r2_snr,std_ratio_coa_phase,std_ratio_inclination,std_ratio_mchirp,std_ratio_merger_time,std_ratio_polarization_angle,std_ratio_snr,val_circular_loss_coa_phase,val_circular_loss_polarization_angle,val_kappa_sky_position,val_loss,val_mae_coa_phase,val_mae_inclination,val_mae_mchirp,val_mae_merger_time,val_mae_polarization_angle,val_mae_snr,val_r2_coa_phase,val_r2_inclination,val_r2_mchirp,val_r2_merger_time,val_r2_polarization_angle,val_r2_snr,val_std_ratio_coa_phase,val_std_ratio_inclination,val_std_ratio_mchirp,val_std_ratio_merger_time,val_std_ratio_polarization_angle,val_std_ratio_snr,val_weight_coa_phase,val_weight_inclination,val_weight_mchirp,val_weight_merger_time,val_weight_polarization_angle,val_weight_sky_position,val_weight_snr,weight_coa_phase,weight_inclination,weight_mchirp,weight_merger_time,weight_polarization_angle,weight_sky_position,weight_snr
0,0.9955136179924011,0.9995399117469788,0.15634599328041077,6.263635158538818,0.9959833025932312,0.8103048205375671,1.30620276927948,0.2962963283061981,0.9991854429244995,0.9806477427482605,-1.9838495254516602,-0.9994356036186218,-4.591970920562744,-0.5408860445022583,-1.9991756677627563,-0.518724799156189,1.4128390550613403,0.994701623916626,2.140286684036255,0.735077977180481,1.4141805171966553,0.8541792035102844,1.0024924278259277,0.9873486161231995,0.09999995678663254,5.1503496170043945,1.0070059299468994,0.7559627890586853,0.8272809982299805,0.2751253843307495,0.9839432835578918,0.7444047331809998,-2.0071640014648438,-0.726127564907074,0.0288773775100708,-0.3403524160385132,-1.964748501777649,0.22204279899597168,1.4142318964004517,0.3555217981338501,0.21577005088329315,0.1840660721063614,1.4142162799835205,0.3275657296180725,1.0032970905303955,1.2146073579788208,1.0190428495407104,1.2183153629302979,1.0024722814559937,0.8496593236923218,1.164723515510559,1.0043244361877441,1.105562686920166,0.9986178278923035,1.1061584949493408,0.9994979500770569,0.923412024974823,1.0623133182525635
1,0.9960401058197021,0.9995346069335938,0.10000019520521164,4.828155040740967,0.9970649480819702,0.7600244283676147,0.8196452260017395,0.26079270243644714,0.999285101890564,0.7094483375549316,-1.9888808727264404,-0.7078676223754883,-0.03142595291137695,-0.15448999404907227,-1.999233365058899,0.22457832098007202,1.4142247438430786,0.8284839391708374,0.6033874750137329,0.4772024154663086,1.4142221212387085,0.7890090942382812,1.0024924278259277,0.9873486161231995,0.09999995678663254,4.204507350921631,1.0070059299468994,0.6674051284790039,0.762441873550415,0.24575264751911163,0.9839432835578918,0.5980597734451294,-2.0071640014648438,-0.18931299448013306,0.12803757190704346,-0.06201493740081787,-1.9647486209869385,0.44864964485168457,1.4142318964004517,0.43653425574302673,0.41045254468917847,0.2380419224500656,1.4142162799835205,0.7224342226982117,0.9978636503219604,1.4672956466674805,1.0985461473464966,1.483173131942749,0.9979549646377563,0.7302193641662598,1.4458132982254028,1.0064764022827148,1.3350392580032349,1.055930495262146,1.3472059965133667,1.002823829650879,0.7867199778556824,1.3008906841278076
2,0.9960399866104126,0.999534010887146,0.10000019520521164,4.044101715087891,0.9969685673713684,0.7054731249809265,0.7675119638442993,0.2304876446723938,0.9996483325958252,0.6346710920333862,-1.9888815879821777,-0.4047432541847229,0.09039849042892456,0.08923608064651489,-1.9992330074310303,0.3725566864013672,1.4142247438430786,0.6269269585609436,0.617990255355835,0.4795960783958435,1.4142221212387085,0.8031976819038391,1.0024924278259277,0.9873486161231995,0.09999995678663254,4.3142547607421875,1.0070059299468994,0.6928727030754089,0.816200852394104,0.17830850183963776,0.9839432835578918,1.0093252658843994,-2.0071640014648438,-0.3408251404762268,-0.010969281196594238,0.4105678200721741,-1.9647486209869385,-0.3927420377731323,1.4142318964004517,0.5701828002929688,0.5337123870849609,0.4914308786392212,1.4142162799835205,0.7774657011032104,1.0022622346878052,1.765380859375,1.2116470336914062,1.8058769702911377,0.9981800317764282,0.6412354111671448,1.7663342952728271,1.0023654699325562,1.6158549785614014,1.152632236480713,1.639777660369873,1.0006752014160156,0.6833394765853882,1.6048178672790527
3,0.9960402250289917,0.9995343089103699,0.10000019520521164,3.4039323329925537,0.996727466583252,0.6900520920753479,0.725379228591919,0.17232142388820648,0.9996045827865601,0.5971436500549316,-1.9888805150985718,-0.33397507667541504,0.17905426025390625,0.446311354637146,-1.999232292175293,0.44292765855789185,1.4142247438430786,0.5874007940292358,0.6679832935333252,0.682278573513031,1.4142221212387085,0.8244757056236267,1.0024924278259277,0.9873486161231995,0.09999995678663254,3.2603187561035156,1.0070059299468994,0.6612356901168823,0.6034418344497681,0.12173870950937271,0.9839432835578918,0.7979888319969177,-2.0071640014648438,-0.15405559539794922,0.4246453642845154,0.6874701976776123,-1.9647486209869385,0.09586489200592041,1.4142318964004517,0.32273250818252563,0.6830363869667053,0.8204390406608582,1.4142162799835205,0.8577123284339905,1.0043895244598389,2.079016923904419,1.3574979305267334,2.2038955688476562,0.9971119165420532,0.5746293663978577,2.1292951107025146,1.0048623085021973,1.9209305047988892,1.2803020477294922,1.9991847276687622,1.000775933265686,0.6061725616455078,1.9421687126159668
4,0.9960402846336365,0.9993414878845215,0.10000019520521164,2.700021743774414,0.9973664283752441,0.6774836182594299,0.6073782444000244,0.1447727084159851,0.9990750551223755,0.5477538704872131,-1.988881230354309,-0.2466699481010437,0.40637636184692383,0.5893077850341797,-1.9978184700012207,0.5291914939880371,1.4142247438430786,0.49623292684555054,0.7464295625686646,0.8239811062812805,1.1767594814300537,0.8294230103492737,1.0024924278259277,1.001969575881958,0.09999995678663254,2.1211447715759277,1.0070059299468994,0.6628564596176147,0.4558766782283783,0.11200693994760513,0.996045708656311,0.4597133696079254,-2.0071640014648438,-0.15167737007141113,0.6371115446090698,0.7312847375869751,-2.0059595108032227,0.6636121869087219,1.4142318964004517,0.2959967851638794,0.7409288287162781,0.8444675207138062,0.0,0.8498874306678772,0.9974365234375,2.404111385345459,1.5635175704956055,2.6889822483062744,1.000076174736023,0.5245634913444519,2.5560131072998047,1.0054988861083984,2.2428717613220215,1.455541968345642,2.4398727416992188,1.0003920793533325,0.548280656337738,2.333435535430908
5,0.9960399866104126,0.9965027570724487,0.10000019520521164,2.0343337059020996,0.9974243640899658,0.6657299995422363,0.507466197013855,0.13364946842193604,0.9972348809242249,0.5043917894363403,-1.9888806343078613,-0.18647778034210205,0.5683120489120483,0.6427075862884521,-1.9905399084091187,0.600114107131958,1.4142247438430786,0.4419497847557068,0.8173375725746155,0.8756623864173889,0.0,0.8515291213989258,1.0024924278259277,1.001969575881958,0.09999995678663254,1.60781991481781,1.0070059299468994,0.6548380255699158,0.45229560136795044,0.12019221484661102,0.996045708656311,0.44857722520828247,-2.0071640014648438,-0.10728096961975098,0.6481307744979858,0.6967787742614746,-2.0059595108032227,0.676293671131134,1.4142318964004517,0.3091188669204712,0.8420522809028625,0.9025265574455261,0.0,0.8895731568336487,1.000900149345398,2.7253668308258057,1.8417240381240845,3.276787281036377,1.0023802518844604,0.4869283139705658,3.0593113899230957,1.004263162612915,2.5709421634674072,1.6975226402282715,2.9747531414031982,1.002003788948059,0.504758894443512,2.8059074878692627
6,0.9960401058197021,0.9965030550956726,0.10000019520521164,1.4789434671401978,0.9970158934593201,0.6625065207481384,0.46076804399490356,0.12318257242441177,0.9971545338630676,0.4773176908493042,-1.9888807535171509,-0.158724844455719,0.6427092552185059,0.6967487335205078,-1.9905403852462769,0.6404215097427368,1.4142247438430786,0.40896672010421753,0.8748367428779602,0.8814908862113953,0.0,0.8609899282455444,1.0024924278259277,1.001969575881958,0.09999995678663254,1.5010268688201904,1.0070059299468994,0.7053816318511963,0.3628092110157013,0.13598906993865967,0.996045708656311,0.5555233955383301,-2.0071640014648438,-0.41452836990356445,0.7801766991615295,0.6443358659744263,-2.0059595108032227,0.5275431871414185,1.4142318964004517,0.3832175135612488,0.8840707540512085,0.8872284889221191,0.0,0.8863577842712402,1.0004388093948364,3.0131969451904297,2.184051752090454,3.990504026412964,1.0015946626663208,0.4588363766670227,3.6178524494171143,1.0023800134658813,2.871868133544922,2.006582498550415,3.6239864826202393,1.0049511194229126,0.4721216857433319,3.3375205993652344
7,0.9960399866104126,0.9965030550956726,0.10000019520521164,0.9724465012550354,0.996924877166748,0.6584897637367249,0.39957645535469055,0.1170993521809578,0.9976340532302856,0.4684934914112091,-1.9888801574707031,-0.13940012454986572,0.7232892513275146,0.7263416051864624,-1.9905402660369873,0.6549721360206604,1.4142247438430786,0.38434314727783203,0.8917135000228882,0.8984209299087524,0.0,0.8764910697937012,1.0024924278259277,1.001969575881958,0.09999995678663254,0.71113121509552,1.0070059299468994,0.6642125248908997,0.31652921438217163,0.09337644279003143,0.996045708656311,0.4721752107143402,-2.0071640014648438,-0.1812964677810669,0.8189055919647217,0.8111823797225952,-2.0059595108032227,0.6433916091918945,1.4142318964004517,0.24671566486358643,0.891933023929596,0.9816691875457764,0.0,0.8529185056686401,1.0086863040924072,3.242774486541748,2.616563558578491,4.85470724105835,1.0022350549697876,0.438147634267807,4.171677112579346,1.0018624067306519,3.134385824203491,2.394120216369629,4.410610198974609,1.0029091835021973,0.4478980004787445,3.904876947402954
8,0.9960401058197021,0.9965031743049622,0.10000019520521164,0.4663848876953125,0.9968897700309753,0.6531906723976135,0.37040039896965027,0.11516664177179337,0.9974663257598877,0.43992796540260315,-1.9888794422149658,-0.11374640464782715,0.7613717317581177,0.7322835326194763,-1.990539789199829,0.6923205852508545,1.4142247438430786,0.35556092858314514,0.9101908206939697,0.9319917559623718,0.0,0.8759489059448242,1.0024924278259277,1.001969575881958,0.09999995678663254,0.2916995882987976,1.0070059299468994,0.7014802694320679,0.28929635882377625,0.14253035187721252,0.996045708656311,0.4028104245662689,-2.0071640014648438,-0.3979160189628601,0.8457337617874146,0.6198345422744751,-2.0059595108032227,0.7380145788192749,1.4142318964004517,0.599298357963562,0.9187886714935303,0.9575701355934143,0.0,0.8587568402290344,1.0047340393066406,3.4319405555725098,3.136742115020752,5.895569801330566,1.0045876502990723,0.42320042848587036,4.799586296081543,1.005699872970581,3.3408265113830566,2.8688600063323975,5.361569881439209,1.0041087865829468,0.4302200675010681,4.4924821853637695
9,0.9960402846336365,0.9965030550956726,0.10000019520521164,0.07197005301713943,0.9974576830863953,0.6556233167648315,0.3427484929561615,0.10691175609827042,0.9977890253067017,0.4374338984489441,-1.9888807535171509,-0.12425631284713745,0.7915909290313721,0.7677396535873413,-1.9905388355255127,0.6963400840759277,1.4142247438430786,0.3630947172641754,0.9220463633537292,0.9316571354866028,0.0,0.8811106085777283,1.0024924278259277,1.001969575881958,0.09999995678663254,-0.45497193932533264,1.0070059299468994,0.6382409334182739,0.2584565579891205,0.1006244570016861,0.996045708656311,0.39405015110969543,-2.0071640014648438,-0.01662999391555786,0.872548520565033,0.7873573303222656,-2.0059595108032227,0.7502242922782898,1.4142318964004517,0.13519245386123657,0.928447425365448,0.9667661190032959,0.0,0.8487557172775269,1.0093532800674438,3.539397716522217,3.751253128051758,7.157376289367676,1.0040485858917236,0.4127015173435211,5.382492542266846,1.0022296905517578,3.4667181968688965,3.4386279582977295,6.510049819946289,1.0029399394989014,0.41760003566741943,5.094269752502441
