epoch,loss,mae_mchirp,mae_merger_time,mae_q,mae_snr,r2_mchirp,r2_merger_time,r2_q,r2_snr,std_ratio_mchirp,std_ratio_merger_time,std_ratio_q,std_ratio_snr,val_loss,val_mae_mchirp,val_mae_merger_time,val_mae_q,val_mae_snr,val_r2_mchirp,val_r2_merger_time,val_r2_q,val_r2_snr,val_std_ratio_mchirp,val_std_ratio_merger_time,val_std_ratio_q,val_std_ratio_snr,val_weight_mchirp,val_weight_merger_time,val_weight_q,val_weight_snr,weight_mchirp,weight_merger_time,weight_q,weight_snr
0,0.17805787920951843,0.5681047439575195,0.18886777758598328,0.22187775373458862,0.5365512371063232,0.43957728147506714,0.3512965440750122,0.03170400857925415,0.528749942779541,0.6320560574531555,0.44287076592445374,0.22392871975898743,0.7804577946662903,0.05809697508811951,0.8683829307556152,0.12963011860847473,0.23757044970989227,0.5079649090766907,0.00040924549102783203,0.6655954718589783,-0.16421902179718018,0.6030467748641968,0.4491193890571594,0.5928733348846436,0.16955618560314178,0.6321324706077576,1.2379045486450195,1.218565821647644,1.2165555953979492,1.2269099950790405,1.111910343170166,1.105940818786621,1.105325698852539,1.107279658317566
1,-0.8423162698745728,0.35576310753822327,0.10443359613418579,0.20734019577503204,0.3982424736022949,0.765069842338562,0.7779883146286011,0.1443806290626526,0.747620701789856,0.8539919853210449,0.8096320629119873,0.33479630947113037,0.8724400401115417,0.1649954915046692,0.6492621898651123,0.21140173077583313,0.20991361141204834,1.288690209388733,0.3937525749206543,0.20164692401885986,0.09554517269134521,-1.0678040981292725,0.5412133932113647,0.6190866827964783,0.3173810839653015,0.6464236974716187,1.5319902896881104,1.4855577945709229,1.4793205261230469,1.505340337753296,1.3818233013153076,1.3485060930252075,1.3444575071334839,1.3631300926208496
2,-1.6492081880569458,0.296853631734848,0.0957450345158577,0.19997425377368927,0.3685126006603241,0.834752082824707,0.8106950521469116,0.19227313995361328,0.7837836742401123,0.9021491408348083,0.88688063621521,0.4095763564109802,0.8896032571792603,-0.3165542185306549,0.8452997207641602,0.11501474678516388,0.20700371265411377,1.1089421510696411,0.09103494882583618,0.7111219167709351,0.12461870908737183,-0.5770729780197144,0.653131365776062,0.7987381815910339,0.3113454282283783,0.7131681442260742,1.8850891590118408,1.8090794086456299,1.7975695133209229,1.835754632949829,1.7047175168991089,1.6429126262664795,1.6341781616210938,1.667420506477356
3,-2.43346905708313,0.2540437579154968,0.08836600929498672,0.19699878990650177,0.3472449779510498,0.8808991312980652,0.8396918773651123,0.21192169189453125,0.8085404634475708,0.9277864694595337,0.9061314463615417,0.4543786346912384,0.9033981561660767,-2.3123130798339844,0.44088879227638245,0.11576700210571289,0.19771690666675568,0.5358525514602661,0.6837737560272217,0.722379207611084,0.19249796867370605,0.570991575717926,0.8127283453941345,0.8514976501464844,0.44297659397125244,1.0240918397903442,2.3149971961975098,2.2020695209503174,2.182210683822632,2.230529546737671,2.095914125442505,2.000298500061035,1.9848443269729614,2.02939510345459
4,-3.1848347187042236,0.24225157499313354,0.08676569908857346,0.19381728768348694,0.32334965467453003,0.8968897461891174,0.8468793630599976,0.2316197156906128,0.8328312635421753,0.9461055994033813,0.9164285659790039,0.469915509223938,0.9159243106842041,6.919783592224121,1.6456575393676758,0.1340462863445282,0.35085317492485046,3.2232089042663574,-2.0435969829559326,0.660843551158905,-1.6419503688812256,-9.860119819641113,0.8395271897315979,0.7718207240104675,0.10368312150239944,0.6413910388946533,2.829437732696533,2.6789698600769043,2.6461164951324463,2.7038960456848145,2.5669500827789307,2.4340035915374756,2.40813946723938,2.464250326156616
5,-3.9501535892486572,0.2159697413444519,0.0861152932047844,0.19150479137897491,0.2975023090839386,0.9195038080215454,0.8507310748100281,0.2510764002799988,0.8583150506019592,0.95963454246521,0.9204882383346558,0.48649993538856506,0.9266985654830933,-3.5001747608184814,0.4367896616458893,0.14414028823375702,0.24196076393127441,0.4419856071472168,0.6270229816436768,0.6029419898986816,-0.2587937116622925,0.6830431818962097,0.9332486987113953,0.796045184135437,0.417308509349823,0.973495602607727,3.4560909271240234,3.2575526237487793,3.2048192024230957,3.2760143280029297,3.135530710220337,2.960259199142456,2.9185335636138916,2.9843311309814453
6,-4.7134270668029785,0.1941380798816681,0.08238811790943146,0.18915177881717682,0.2718471884727478,0.9359346032142639,0.863254964351654,0.2637544274330139,0.8827646970748901,0.9669974446296692,0.9298928380012512,0.5048487782478333,0.9391956925392151,1.4747413396835327,1.4886938333511353,0.17387598752975464,0.2560729682445526,1.080153226852417,-1.4946942329406738,0.4484054446220398,-0.3910006284713745,-0.5059149265289307,0.8666457533836365,0.7695163488388062,0.3354640305042267,0.6756892800331116,4.220994472503662,3.960184097290039,3.8753764629364014,3.971200466156006,3.831244945526123,3.5996124744415283,3.5314247608184814,3.6171698570251465
7,-5.454476356506348,0.17783963680267334,0.08250150084495544,0.18675097823143005,0.2552480399608612,0.9476534128189087,0.8634915351867676,0.27879148721694946,0.8970454931259155,0.972084641456604,0.9353055357933044,0.5206422209739685,0.9515810608863831,3.264572858810425,0.618484616279602,0.2898446321487427,0.2642771601676941,2.0951380729675293,0.4124367833137512,-0.3482464551925659,-0.5643621683120728,-3.753762722015381,1.085064172744751,0.7088391780853271,0.4829765558242798,0.9723227620124817,5.147983551025391,4.811310291290283,4.677973747253418,4.802525520324707,4.670810699462891,4.37418794631958,4.26694393157959,4.3835859298706055
8,-6.193049430847168,0.16239210963249207,0.07991111278533936,0.18314272165298462,0.23526281118392944,0.9558745622634888,0.872897744178772,0.3031107187271118,0.9120723605155945,0.9770110845565796,0.9367800951004028,0.5395271182060242,0.9575217962265015,-1.2472238540649414,0.7698096036911011,0.2020840346813202,0.29788142442703247,0.9262089729309082,0.20134490728378296,0.297088623046875,-0.9022039175033569,-0.17101073265075684,1.1241393089294434,0.7370414733886719,0.31612706184387207,1.0421689748764038,6.271330833435059,5.843807220458984,5.637073993682861,5.80521821975708,5.698720455169678,5.313504695892334,5.146602153778076,5.294754505157471
9,-6.891395568847656,0.1617894023656845,0.07659769803285599,0.17973530292510986,0.2213420867919922,0.9564887285232544,0.8853851556777954,0.32600313425064087,0.922130823135376,0.9807611107826233,0.9366559982299805,0.5547532439231873,0.9644879102706909,-3.7927467823028564,0.6663770079612732,0.08089128881692886,0.30182236433029175,0.499767005443573,0.38695502281188965,0.8538171052932739,-0.9574055671691895,0.579646110534668,0.8154609203338623,0.9042248725891113,0.40646684169769287,1.0331315994262695,7.600817680358887,7.096982002258301,6.778106689453125,7.0015130043029785,6.919120788574219,6.4539384841918945,6.1945929527282715,6.407769203186035
