epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_sky_position,mae_coa_phase,r2_mchirp,r2_merger_time,r2_snr,r2_sky_position,r2_coa_phase,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_sky_position,std_ratio_coa_phase
15,mchirp_low,2500,1.2223,0.0140369,1.19881,1.55868,1.57779,0.759476,0.880264,0.565867,0.11893,-0.0220569,1.03166,0.947486,0.935607,1.11879,1.36146
15,mchirp_high,2500,1.73621,0.012826,1.12721,1.49675,1.56717,0.716895,0.91868,0.62167,0.193651,0.00500874,1.05141,0.965304,0.944529,1.09836,1.23752
15,merger_early,2500,1.42361,0.0146747,1.20452,1.50445,1.5719,0.923658,0.519507,0.561318,0.207388,0.00181032,0.982143,1.11448,0.942447,1.03598,1.31754
15,merger_late,2500,1.5349,0.0121882,1.12149,1.55098,1.57307,0.914285,0.677881,0.625741,0.102655,-0.0185193,0.985376,0.977307,0.937717,1.18051,1.32637
15,q_low,1667,1.4675,0.0130378,1.19549,1.57646,1.55949,0.784885,0.909023,0.583045,0.0852086,0.0103242,1.06272,0.956259,0.929117,1.16295,1.31694
15,q_mid,1666,1.46716,0.0133224,1.15989,1.52457,1.56542,0.904535,0.900298,0.596421,0.162308,-0.00902932,1.03702,0.959256,0.943224,1.09827,1.33685
15,q_high,1667,1.5031,0.0139341,1.13364,1.48211,1.59253,0.932091,0.888706,0.602071,0.22037,-0.026657,0.979147,0.957236,0.948542,1.06328,1.31447
15,q_low_mchirp_low,1241,1.3612,0.0130123,1.20414,1.6128,1.57934,0.573118,0.906156,0.576461,0.0618291,-0.0198599,1.13476,0.95043,0.92062,1.16216,1.34043
15,q_low_mchirp_high,426,1.77714,0.0131121,1.1703,1.47057,1.50166,-0.511661,0.917457,0.602334,0.156894,0.0934551,1.52342,0.974225,0.953363,1.16448,1.19588
15,q_high_mchirp_low,544,1.12521,0.016265,1.13632,1.4828,1.56467,0.847743,0.824196,0.578316,0.222134,0.00577691,0.906742,0.923778,0.948662,1.04743,1.38058
15,q_high_mchirp_high,1123,1.68615,0.012805,1.13234,1.48178,1.60603,0.729275,0.918527,0.613096,0.219504,-0.04269,1.05127,0.964731,0.948493,1.0687,1.24699
20,full,5000,1.44173,0.0121941,0.919026,1.70537,1.57583,0.921074,0.908006,0.737702,-0.10555,-0.0124552,0.987901,0.966533,1.00194,1.23682,0.623609
20,snr_low,1667,2.08893,0.0151257,0.886144,1.71008,1.55607,0.83907,0.836103,-1.20569,-0.10327,-0.0524783,0.962684,0.961064,1.55356,1.21104,0.727322
20,snr_mid,1666,1.29102,0.0113942,1.08503,1.68013,1.57978,0.948223,0.933791,-1.88747,-0.0760385,0.00555343,0.999735,0.968676,2.02201,1.26716,0.531428
20,snr_high,1667,0.945147,0.0100618,0.786006,1.72589,1.59164,0.972853,0.953103,-0.805596,-0.137117,0.00635861,0.999814,0.969626,1.48868,1.22976,0.598096
20,mchirp_low,2500,1.22473,0.0135534,0.927739,1.74485,1.57137,0.743414,0.878092,0.731676,-0.153188,-0.0104209,1.03952,0.953792,0.994256,1.21204,0.563347
20,mchirp_high,2500,1.65872,0.0108347,0.910314,1.66588,1.58028,0.736847,0.93801,0.743634,-0.057284,-0.014974,1.05436,0.979102,1.00904,1.26113,0.667985
20,merger_early,2500,1.42284,0.0125729,0.930827,1.74232,1.57448,0.924101,0.617552,0.726705,-0.134163,-0.00871126,0.994405,1.09973,1.00342,1.20617,0.650298
20,merger_late,2500,1.46061,0.0118152,0.907226,1.66842,1.57717,0.918067,0.651882,0.748399,-0.0758197,-0.0163701,0.981465,1.03599,1.00053,1.2633,0.593841
20,q_low,1667,1.38919,0.0120858,0.891526,1.73217,1.56107,0.792424,0.915197,0.755553,-0.165899,0.0165361,1.07085,0.959404,0.991982,1.27674,0.540007
20,q_mid,1666,1.43643,0.0121793,0.899573,1.72476,1.55152,0.906753,0.908245,0.747349,-0.117624,0.00521279,1.03509,0.967528,0.998065,1.23489,0.654242
20,q_high,1667,1.49956,0.012317,0.965968,1.65919,1.61488,0.933592,0.900319,0.70942,-0.0335809,-0.0598973,0.984923,0.972202,1.01634,1.19685,0.665338
20,q_low_mchirp_low,1241,1.29008,0.0123933,0.899878,1.75738,1.5625,0.595409,0.907364,0.753184,-0.178946,0.0059819,1.15218,0.955121,0.983461,1.25996,0.494195
20,q_low_mchirp_high,426,1.6779,0.01119,0.867196,1.65875,1.5569,-0.507476,0.938505,0.762493,-0.127015,0.0449563,1.51768,0.972537,1.01645,1.32802,0.63731
20,q_high_mchirp_low,544,1.19815,0.0156747,0.981566,1.72324,1.62678,0.799109,0.826801,0.689189,-0.100073,-0.0703756,0.918758,0.941393,1.01218,1.13189,0.566299
20,q_high_mchirp_high,1123,1.64556,0.0106905,0.958412,1.62815,1.60912,0.752633,0.934428,0.718811,-0.00099634,-0.0550359,1.06528,0.985864,1.01673,1.22729,0.695292
25,full,5000,1.4893,0.0119963,0.996848,1.60973,1.58145,0.915184,0.908727,0.695118,0.00684971,-0.014422,0.996258,0.968788,0.964925,1.20622,0.933126
25,snr_low,1667,2.17087,0.0147765,0.756756,1.60264,1.55294,0.826262,0.838217,-0.566392,0.0229025,-0.0343183,0.943458,0.967208,1.29835,1.11617,0.977538
25,snr_mid,1666,1.29807,0.0111376,1.1411,1.59624,1.57714,0.946442,0.933608,-2.18734,0.0175192,0.0132349,1.00699,0.96981,1.94295,1.24138,0.888574
25,snr_high,1667,0.998856,0.0100743,1.09278,1.63029,1.61426,0.969399,0.953356,-2.24503,-0.0197233,-0.0236001,1.0327,0.96956,1.64658,1.24656,0.900572
25,mchirp_low,2500,1.22655,0.013229,1.01306,1.60402,1.57351,0.740071,0.877925,0.680657,0.0280838,-0.0176021,1.02483,0.960742,0.968729,1.14121,0.937942
25,mchirp_high,2500,1.75205,0.0107637,0.980634,1.61543,1.58938,0.708336,0.939623,0.70938,-0.0147911,-0.0117722,1.08709,0.976458,0.960877,1.26602,0.928129
25,merger_early,2500,1.45878,0.0121166,1.00491,1.6194,1.60712,0.917492,0.62026,0.684608,0.0172499,-0.0305761,0.99691,1.08068,0.967287,1.15898,0.944788
25,merger_late,2500,1.51982,0.0118761,0.988784,1.60005,1.55578,0.912887,0.654878,0.705335,-0.00397645,0.00190644,0.99548,1.04922,0.962665,1.25315,0.921149
25,q_low,1667,1.37506,0.0117456,0.96553,1.62962,1.56972,0.795479,0.917823,0.715297,-0.0326639,0.0103247,1.07363,0.966503,0.96227,1.22357,0.907935
25,q_mid,1666,1.49333,0.0120045,0.968294,1.61819,1.54274,0.899696,0.910307,0.711135,0.00565915,0.00571571,1.03897,0.966969,0.962411,1.20562,0.942752
25,q_high,1667,1.59953,0.0122389,1.0567,1.58137,1.63186,0.924332,0.897748,0.657909,0.0473178,-0.059989,0.995054,0.972737,0.970648,1.18902,0.948341
25,q_low_mchirp_low,1241,1.24513,0.0119937,0.969399,1.62504,1.55586,0.620289,0.909565,0.709841,-0.00101795,0.0114518,1.13771,0.963773,0.956395,1.19495,0.914178
25,q_low_mchirp_high,426,1.75357,0.0110228,0.954262,1.64295,1.61009,-0.611235,0.942406,0.731283,-0.133577,0.0061774,1.56824,0.975085,0.979278,1.30755,0.886829
25,q_high_mchirp_low,544,1.28807,0.0156997,1.12162,1.56693,1.64305,0.760173,0.81077,0.603234,0.0970381,-0.0787855,0.908364,0.949531,0.981416,1.05496,0.965566
25,q_high_mchirp_high,1123,1.7504,0.0105624,1.02526,1.58837,1.62643,0.721794,0.938173,0.6833,0.0229511,-0.0510759,1.10061,0.981741,0.964073,1.24677,0.939845
30,full,5000,1.53203,0.0123292,0.933454,1.60008,1.5813,0.908955,0.903813,0.730601,0.0107028,-0.0190308,0.988431,0.994214,0.98604,1.17193,0.939063
30,snr_low,1667,2.24968,0.0152201,0.850778,1.60626,1.55455,0.81254,0.830513,-1.02702,0.0161314,-0.0469628,0.942493,0.992538,1.49295,1.10418,0.965037
30,snr_mid,1666,1.33437,0.0114692,1.06457,1.59141,1.58365,0.942964,0.929934,-1.81208,0.0148607,-0.00670881,0.998555,0.997967,1.98109,1.20752,0.908375
30,snr_high,1667,1.0119,0.0102979,0.885095,1.60256,1.60571,0.967615,0.949949,-1.24339,0.00115217,-0.00571083,1.01826,0.992194,1.57514,1.19795,0.943938
30,mchirp_low,2500,1.25155,0.0135317,0.941384,1.63242,1.56558,0.737312,0.873136,0.723261,-0.01335,-0.0110604,1.05079,0.991066,0.98097,1.13957,0.928914
30,mchirp_high,2500,1.8125,0.0111268,0.925524,1.56774,1.59702,0.677753,0.934581,0.73783,0.0350365,-0.0274383,1.0736,0.997384,0.990678,1.20183,0.949053
30,merger_early,2500,1.50612,0.0124441,0.949679,1.62776,1.59785,0.91226,0.588098,0.716219,-0.00361952,-0.0242399,0.994907,1.09233,0.989724,1.12632,0.949063
30,merger_late,2500,1.55793,0.0122144,0.917229,1.5724,1.56475,0.90567,0.647246,0.744599,0.0255791,-0.0138381,0.981865,1.08904,0.98248,1.21753,0.928391
30,q_low,1667,1.43842,0.0120525,0.905794,1.64896,1.55506,0.777461,0.914339,0.747932,-0.0652139,0.0258266,1.08169,0.991967,0.977382,1.20001,0.916961
30,q_mid,1666,1.51843,0.0123294,0.901357,1.60313,1.5546,0.892075,0.903357,0.746685,0.0134905,-0.0124062,1.03577,0.993403,0.981752,1.16331,0.949234
30,q_high,1667,1.63922,0.0126059,0.993191,1.54815,1.63423,0.919638,0.893413,0.696254,0.0835121,-0.0716891,0.986167,0.996819,0.999509,1.15192,0.950831
30,q_low_mchirp_low,1241,1.31471,0.0123126,0.90957,1.66652,1.54722,0.584053,0.905973,0.743756,-0.0624885,0.0227542,1.16751,0.991926,0.967042,1.18481,0.925463
30,q_low_mchirp_high,426,1.79883,0.0112945,0.894793,1.59782,1.5779,-0.734663,0.939237,0.760166,-0.0755732,0.0334008,1.58129,0.992313,1.00699,1.24681,0.892614
30,q_high_mchirp_low,544,1.25018,0.0157995,1.02251,1.58222,1.66106,0.789479,0.815048,0.667606,0.0831384,-0.0984472,0.919775,0.976085,1.00285,1.07624,0.926872
