iota_rad,cos_iota_sign,winner,ratio,corr_A,corr_B
0.05,+,combo_B,1.6214626605213158,0.19494371312983982,0.31609395174341426
0.08062849646520197,+,combo_B,1.6106837016668045,0.19494361969081297,0.3139925109799244
0.11125699293040395,+,combo_B,1.613981131016062,0.19493428981640282,0.31462026555169065
0.1418854893956059,+,combo_B,1.617515149773853,0.19493075733534482,0.31530345314681085
0.17251398586080788,+,combo_B,1.6187729231621812,0.19499583905549855,0.3156539843923316
0.20314248232600984,+,combo_B,1.637216340855846,0.19491315413461074,0.3191150009969389
0.23377097879121184,+,combo_B,1.635340334185864,0.19473846915099202,0.3184636732202269
0.2643994752564138,+,combo_B,1.6132001908144213,0.19575466524111867,0.3157914633197858
0.29502797172161577,+,combo_B,1.605818857254186,0.19538547296759592,0.31375367692489353
0.3256564681868177,+,combo_B,1.601523389864444,0.19539046201250623,0.31292239506944886
0.3562849646520197,+,combo_B,1.6454244588716385,0.1919484871656626,0.31583673562579
0.38691346111722164,+,combo_B,1.6290952025920802,0.19278621664447648,0.3140671006613941
0.41754195758242363,+,combo_B,1.6083327522397974,0.19602655485101161,0.31527592847561314
0.44817045404762557,+,combo_B,1.607345755703813,0.19691642643593898,0.31651278226016866
0.47879895051282756,+,combo_B,1.5872916381093174,0.19822618915138257,0.3146427724942654
0.5094274469780296,+,combo_B,1.5880298588727204,0.1971782442140455,0.3131249393320015
0.5400559434432315,+,combo_B,1.4767646037196824,0.21304200786667382,0.31461289632287404
0.5706844399084335,+,combo_B,1.4257255915486335,0.21941873158521352,0.3128309008861794
0.6013129363736355,+,combo_B,1.354359076720367,0.23037201507097005,0.3120064296337295
0.6319414328388374,+,combo_B,1.2977686605427414,0.24344596359170734,0.31593654208494704
0.6625699293040395,+,combo_B,1.2342540797506094,0.2547242688123399,0.31439446799312143
0.6931984257692414,+,combo_B,1.1958703358595542,0.2629466759866801,0.3144501297253445
0.7238269222344433,+,combo_B,1.1387771014428179,0.2747332108939337,0.3128598895718722
0.7544554186996453,+,combo_B,1.185025232919779,0.266678417049579,0.3160206532788553
0.7850839151648473,+,combo_B,1.1446285154575206,0.2765396717560477,0.31653519394723495
0.8157124116300493,+,combo_B,1.1864890223065172,0.2663554825030945,0.31602785602107725
0.8463409080952512,+,combo_B,1.1378491804958384,0.2780510441788429,0.31638015275490855
