epoch,loss,mae_coa_phase,mae_declination,mae_mchirp,mae_merger_time,mae_ra,mae_snr,r2_coa_phase,r2_declination,r2_mchirp,r2_merger_time,r2_ra,r2_snr,std_ratio_coa_phase,std_ratio_declination,std_ratio_mchirp,std_ratio_merger_time,std_ratio_ra,std_ratio_snr,val_loss,val_mae_coa_phase,val_mae_declination,val_mae_mchirp,val_mae_merger_time,val_mae_ra,val_mae_snr,val_r2_coa_phase,val_r2_declination,val_r2_mchirp,val_r2_merger_time,val_r2_ra,val_r2_snr,val_std_ratio_coa_phase,val_std_ratio_declination,val_std_ratio_mchirp,val_std_ratio_merger_time,val_std_ratio_ra,val_std_ratio_snr,val_weight_coa_phase,val_weight_declination,val_weight_mchirp,val_weight_merger_time,val_weight_ra,val_weight_snr,weight_coa_phase,weight_declination,weight_mchirp,weight_merger_time,weight_ra,weight_snr
0,0.6920400857925415,0.6457871198654175,0.18371687829494476,0.6871402263641357,0.25296515226364136,0.643316924571991,0.5790705680847168,-0.0626147985458374,-0.03927159309387207,0.22791332006454468,-0.029813647270202637,-0.03572380542755127,0.47365933656692505,0.25170305371284485,0.2147904932498932,0.5921193957328796,0.17847676575183868,0.17691518366336823,0.7344849109649658,1.2122209072113037,0.6433789730072021,0.18444816768169403,0.7384141683578491,0.24480485916137695,0.6384875774383545,1.4650506973266602,-0.056977808475494385,-0.07360339164733887,0.11264413595199585,0.009145259857177734,-0.027982771396636963,-1.6492531299591064,0.08754957467317581,0.07732225209474564,1.0108532905578613,0.06356378644704819,0.08551337569952011,0.521461009979248,1.21511709690094,1.2164040803909302,1.226619839668274,1.2164028882980347,1.2144434452056885,1.238906741142273,1.1051585674285889,1.105259895324707,1.1028021574020386,1.1052879095077515,1.1050233840942383,1.1153100728988647
1,-0.6733585000038147,0.639498233795166,0.17965705692768097,0.38901352882385254,0.22937476634979248,0.6399630904197693,0.4165459871292114,-0.024445950984954834,0.018791913986206055,0.7221238017082214,0.13281673192977905,-0.01834547519683838,0.7217574119567871,0.16517022252082825,0.2184712141752243,0.8598082065582275,0.24875925481319427,0.13583306968212128,0.8686275482177734,0.5037853717803955,0.6376989483833313,0.19980892539024353,0.6681265830993652,0.20112046599388123,0.6380555629730225,1.497253179550171,-0.01763981580734253,-0.2489711046218872,0.3165624141693115,0.2513701915740967,-0.014209926128387451,-1.9178004264831543,0.10511225461959839,0.2219703644514084,0.8265050053596497,0.4848921597003937,0.08893882483243942,0.3452061116695404,1.4638299942016602,1.4789931774139404,1.5356872081756592,1.4797093868255615,1.46233069896698,1.5255775451660156,1.3374327421188354,1.344141960144043,1.3772658109664917,1.3441129922866821,1.3360058069229126,1.3782845735549927
2,-1.7962065935134888,0.6376842856407166,0.17441807687282562,0.29066208004951477,0.10135634988546371,0.6386542916297913,0.3802921772003174,-0.01086348295211792,0.08037412166595459,0.8370413780212402,0.7909762263298035,-0.009514331817626953,0.7689903974533081,0.11368687450885773,0.32754552364349365,0.9198103547096252,0.8903067111968994,0.09716488420963287,0.887745201587677,-1.06766939163208,0.6382278203964233,0.1717327982187271,0.3580063581466675,0.09897275269031525,0.6361078023910522,1.1451361179351807,-0.018685519695281982,0.10676169395446777,0.7463763952255249,0.784538745880127,-0.004327297210693359,-0.7481660842895508,0.1305590569972992,0.3055819272994995,0.9005698561668396,0.8711032271385193,0.060594718903303146,0.535767138004303,1.7460241317749023,1.7975542545318604,1.908455491065979,1.8093640804290771,1.7433903217315674,1.8641746044158936,1.6029794216156006,1.633997917175293,1.718420386314392,1.6399354934692383,1.600966453552246,1.6917463541030884
3,-2.7829995155334473,0.6375100016593933,0.1715640276670456,0.2445305436849594,0.0823943242430687,0.6377763748168945,0.36362797021865845,-0.014149367809295654,0.10678941011428833,0.8858401775360107,0.8590160608291626,-0.006610095500946045,0.7889084815979004,0.13410775363445282,0.36765220761299133,0.9440987706184387,0.9349302053451538,0.09753363579511642,0.8956173658370972,-2.220930337905884,0.6356452107429504,0.1701813042163849,0.274291068315506,0.07873349636793137,0.6355219483375549,0.9606350660324097,-0.012018144130706787,0.12121838331222534,0.8595862984657288,0.8593025207519531,-0.006229698657989502,-0.21824300289154053,0.06890255212783813,0.35511842370033264,0.8686518669128418,0.9375936985015869,0.07701190561056137,0.7688219547271729,2.0549700260162354,2.1831886768341064,2.357994556427002,2.209258794784546,2.052832841873169,2.2642617225646973,1.8994742631912231,1.9852110147476196,2.1291770935058594,2.003905773162842,1.8967878818511963,2.060619354248047
4,-3.686199903488159,0.6366698741912842,0.17046228051185608,0.22494392096996307,0.08128740638494492,0.6378495097160339,0.3512759804725647,-0.00865107774734497,0.1186751127243042,0.9061940312385559,0.8638466596603394,-0.006216585636138916,0.8025582432746887,0.11219976097345352,0.3735393285751343,0.9540061354637146,0.9395386576652527,0.09133759140968323,0.9038559198379517,-3.9198756217956543,0.6367035508155823,0.17052440345287323,0.25652581453323364,0.13214515149593353,0.6373559832572937,0.41545701026916504,-0.009841561317443848,0.11997777223587036,0.8762887716293335,0.6586499214172363,-0.008405029773712158,0.7123454809188843,0.0702853575348854,0.39210090041160583,0.9863952398300171,0.9072396159172058,0.0818205401301384,0.9629859924316406,2.383575201034546,2.6492159366607666,2.8968751430511475,2.693549633026123,2.380737781524658,2.734923839569092,2.2191483974456787,2.410047769546509,2.6213996410369873,2.444918155670166,2.216663122177124,2.4961915016174316
5,-4.5283403396606445,0.6364879608154297,0.17008639872074127,0.20269328355789185,0.08111671358346939,0.637638509273529,0.3459300696849823,-0.006870150566101074,0.12224936485290527,0.9243132472038269,0.8659789562225342,-0.004798948764801025,0.8090692758560181,0.1113303080201149,0.38494282960891724,0.9630476832389832,0.942015528678894,0.08400970697402954,0.9054004549980164,-4.655394554138184,0.6387894153594971,0.16904930770397186,0.23779471218585968,0.0748804360628128,0.6350633502006531,0.4360324442386627,-0.020995140075683594,0.1347382664680481,0.8872716426849365,0.8723428249359131,-0.001748502254486084,0.6852275133132935,0.12944501638412476,0.38054338097572327,0.9741189479827881,0.9559967517852783,0.046595387160778046,0.9053285121917725,2.7162623405456543,3.2111668586730957,3.548743486404419,3.280332565307617,2.713167428970337,3.280305862426758,2.551384210586548,2.9229347705841064,3.215538501739502,2.97880482673645,2.548325777053833,3.000720977783203
6,-5.305729389190674,0.6362811923027039,0.1690361648797989,0.1960739642381668,0.0782092958688736,0.6370787620544434,0.3370741903781891,-0.007472991943359375,0.13215303421020508,0.9310282468795776,0.8763007521629333,-0.002807438373565674,0.817257285118103,0.10977035015821457,0.39516252279281616,0.9663653373718262,0.9412152171134949,0.07481975108385086,0.9101173877716064,-5.329889297485352,0.6374351382255554,0.16968655586242676,0.2604202628135681,0.09776317328214645,0.6354973912239075,0.4075954556465149,-0.013917982578277588,0.12071865797042847,0.8595771789550781,0.7907359004020691,-0.004959166049957275,0.7203502058982849,0.10569867491722107,0.3843822777271271,1.0953831672668457,0.9107620120048523,0.06813879311084747,0.9075301289558411,3.0325450897216797,3.887446641921997,4.327834606170654,3.9926295280456543,3.0317559242248535,3.907853603363037,2.8777830600738525,3.5405800342559814,3.9319515228271484,3.6273200511932373,2.875370979309082,3.5931928157806396
7,-6.050832748413086,0.6361668109893799,0.16779594123363495,0.18432380259037018,0.07003243267536163,0.6373001337051392,0.32861992716789246,-0.0049779415130615234,0.14041811227798462,0.9392159581184387,0.9016106724739075,-0.0017378926277160645,0.8283464908599854,0.09911507368087769,0.40152689814567566,0.9709243774414062,0.9456795454025269,0.05715986341238022,0.9149338006973267,-5.937889575958252,0.6373329758644104,0.1705358624458313,0.2842312455177307,0.08483940362930298,0.6354163885116577,0.40876126289367676,-0.011526942253112793,0.11268025636672974,0.8630147576332092,0.8427020311355591,-0.0016379356384277344,0.7228585481643677,0.07738808542490005,0.35927215218544006,0.913712203502655,0.940511167049408,0.03946702927350998,0.9533414840698242,3.3155601024627686,4.699202537536621,5.26478910446167,4.858948230743408,3.316133499145508,4.633909702301025,3.178370952606201,4.2831573486328125,4.788303375244141,4.413771629333496,3.178344964981079,4.268163204193115
8,-6.737057209014893,0.6362194418907166,0.16780371963977814,0.17632737755775452,0.07211000472307205,0.6370987892150879,0.3212506175041199,-0.006234347820281982,0.1407182812690735,0.944736123085022,0.8958625197410583,-0.0021297335624694824,0.8359464406967163,0.10867088288068771,0.40979111194610596,0.973013699054718,0.9506158828735352,0.06473881751298904,0.9189333319664001,-5.837064743041992,0.6354781985282898,0.1670628786087036,0.22391879558563232,0.07135027647018433,0.636447012424469,0.6294297575950623,-0.0031875967979431152,0.1468130350112915,0.9001085758209229,0.878781795501709,-0.004439949989318848,0.40319883823394775,0.058093421161174774,0.4238641560077667,1.0015276670455933,0.9775910973548889,0.04398660734295845,0.8796554803848267,3.545685291290283,5.669447898864746,6.383243560791016,5.908054351806641,3.5491738319396973,5.451115608215332,3.43647837638855,5.172525405883789,5.810731410980225,5.3693342208862305,3.4379656314849854,5.0403265953063965
9,-7.389742374420166,0.63584303855896,0.16582132875919342,0.17211079597473145,0.07195065170526505,0.6369742751121521,0.3142908215522766,-0.004057884216308594,0.16145914793014526,0.9485135078430176,0.8960521817207336,-0.0008601546287536621,0.84256511926651,0.0954456701874733,0.41448286175727844,0.9766857624053955,0.951376736164093,0.058222346007823944,0.9221788644790649,-6.4365105628967285,0.6378155946731567,0.166739359498024,0.22906947135925293,0.08381771296262741,0.6355119347572327,0.5683290362358093,-0.012768924236297607,0.15278291702270508,0.8993280529975891,0.843068540096283,-0.002592742443084717,0.49721312522888184,0.09541253745555878,0.39701583981513977,0.9571439027786255,0.9572040438652039,0.034416936337947845,0.8558709025382996,3.720337390899658,6.827436923980713,7.711215019226074,7.1773810386657715,3.7254691123962402,6.362914085388184,3.6369447708129883,6.235197067260742,7.037644863128662,6.526895523071289,3.642986297607422,5.918026447296143
