epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_ra,mae_declination,mae_coa_phase,r2_mchirp,r2_merger_time,r2_snr,r2_ra,r2_declination,r2_coa_phase,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_ra,std_ratio_declination,std_ratio_coa_phase
10,q_high_mchirp_low,544,1.27928,0.0188545,1.35521,1.5794,0.552759,1.58981,0.763649,0.771369,0.440855,0.0203911,0.0874871,-0.0395021,0.921784,0.909613,0.884915,0.466304,0.380653,0.64731
10,q_high_mchirp_high,1123,1.76746,0.0164165,1.19818,1.56023,0.526028,1.60509,0.718961,0.863945,0.569231,0.0081285,0.164403,-0.0475407,1.01345,0.99031,0.850665,0.517562,0.379097,0.288764
15,full,5000,1.42476,0.0132231,1.0107,1.57036,0.531573,1.58533,0.921883,0.898486,0.687914,-0.0136665,0.106257,-0.0180833,0.944788,0.962122,0.950396,0.854933,0.397539,1.26559
15,snr_low,1667,2.02925,0.0156631,1.16835,1.57319,0.539143,1.63506,0.842223,0.834163,-2.68552,-0.00662029,0.0658154,-0.12489,0.90185,0.954159,1.58717,0.938976,0.366377,1.31161
15,snr_mid,1666,1.29496,0.0126971,1.20246,1.56405,0.527472,1.55486,0.94823,0.919258,-2.373,-0.0247235,0.0932343,0.0276513,0.956815,0.973186,1.88323,0.781026,0.405162,1.18176
15,snr_high,1667,0.949979,0.0113088,0.66139,1.57384,0.528103,1.56605,0.972206,0.941122,-0.174734,-0.00986515,0.155308,0.0346988,0.970039,0.959055,1.15421,0.567344,0.416597,1.24038
15,mchirp_low,2500,1.18298,0.0143918,1.02952,1.58061,0.524483,1.57385,0.767099,0.86864,0.677186,-0.00625151,0.121522,-0.0143945,0.943918,0.939012,0.944384,0.887859,0.397834,1.14406
15,mchirp_high,2500,1.66653,0.0120544,0.991873,1.56011,0.538664,1.59681,0.727727,0.928418,0.698488,-0.0214939,0.0908564,-0.0222453,1.03006,0.98426,0.956162,0.798871,0.394076,1.20364
15,merger_early,2500,1.41052,0.0137835,1.02137,1.58614,0.541826,1.5699,0.922196,0.537606,0.674886,-0.0185301,0.0715795,0.0122815,0.953926,1.07859,0.964133,0.879365,0.394244,1.31419
15,merger_late,2500,1.43899,0.0126627,1.00003,1.55458,0.521321,1.60076,0.921562,0.653576,0.700587,-0.0091678,0.140445,-0.0490819,0.935586,1.03173,0.936828,0.827858,0.395415,1.20538
15,q_low,1667,1.23505,0.0129564,1.02265,1.5818,0.520537,1.60655,0.841386,0.905643,0.68691,0.000206879,0.137753,-0.0235767,1.01744,0.952964,0.945246,0.873384,0.409277,1.25361
15,q_mid,1666,1.36125,0.0134519,1.00097,1.56132,0.527359,1.5674,0.914991,0.895948,0.693877,-0.043175,0.104873,-0.0057783,0.98981,0.964124,0.946618,0.854467,0.39717,1.26277
15,q_high,1667,1.67793,0.0132612,1.00847,1.56796,0.546821,1.58204,0.918749,0.893607,0.682497,0.000234263,0.0760527,-0.0250515,0.940738,0.969291,0.959875,0.835781,0.385608,1.24701
15,q_low_mchirp_low,1241,1.17774,0.0131891,1.03006,1.59804,0.512067,1.59851,0.687187,0.900738,0.685736,0.00550836,0.13959,-0.0288368,1.05345,0.945162,0.932747,0.887475,0.408677,1.19826
15,q_low_mchirp_high,426,1.40199,0.0122785,1.00105,1.53447,0.545213,1.62999,-0.12758,0.920173,0.690349,-0.0224338,0.130633,-0.0099543,1.45946,0.976372,0.980898,0.805792,0.406397,1.26305
15,q_high_mchirp_low,544,1.29381,0.0163343,1.0039,1.57061,0.564322,1.52088,0.765925,0.811592,0.68363,-0.000484162,0.027737,0.0248218,0.813592,0.91633,0.956825,0.869657,0.370817,1.10028
15,q_high_mchirp_high,1123,1.86401,0.0117725,1.01068,1.56668,0.538344,1.61166,0.693428,0.93168,0.681963,0.000554403,0.0995449,-0.0495787,1.04248,0.990474,0.960192,0.797376,0.390114,1.15726
20,full,5000,1.41779,0.0126932,1.01611,1.55669,0.509138,1.56229,0.920022,0.903104,0.679628,0.00617875,0.162287,0.00158902,0.966869,0.941392,0.986412,1.01136,0.489654,0.634413
20,snr_low,1667,2.04911,0.0153029,0.742968,1.5503,0.527001,1.53716,0.831075,0.837008,-0.529185,0.0240343,0.103049,-0.0224795,0.935768,0.927389,1.23682,1.03452,0.445061,0.621896
20,snr_mid,1666,1.24819,0.0122196,1.20816,1.57144,0.498626,1.58254,0.954005,0.923221,-2.54572,-0.0187428,0.163449,-8.31855e-05,0.976129,0.946603,1.96199,0.995278,0.483574,0.593869
20,snr_high,1667,0.955966,0.0105568,1.09731,1.54833,0.501778,1.56719,0.971376,0.948162,-2.32459,0.0127743,0.216066,0.0251657,0.985586,0.949929,1.64883,0.959927,0.515232,0.541973
20,mchirp_low,2500,1.13225,0.0141427,1.06301,1.57604,0.507607,1.54375,0.789414,0.868539,0.648106,0.00500559,0.157303,0.011869,1.01391,0.93552,0.977999,0.930401,0.471478,0.611453
20,mchirp_high,2500,1.70332,0.0112437,0.969207,1.53733,0.510668,1.58084,0.705609,0.937775,0.710744,0.00722827,0.166745,-0.00909789,1.03867,0.947377,0.992667,1.0863,0.505048,0.652733
20,merger_early,2500,1.42914,0.0132301,1.03171,1.55619,0.512699,1.56162,0.918236,0.546952,0.665997,0.0195081,0.152085,0.00587882,0.972666,1.06669,0.997172,0.901742,0.471381,0.696215
20,merger_late,2500,1.40644,0.0121563,1.0005,1.55718,0.505576,1.56297,0.92178,0.680262,0.692888,-0.00784304,0.171699,-0.00287982,0.961057,1.02176,0.975836,1.08871,0.505292,0.5559
20,q_low,1667,1.15186,0.0123,0.99518,1.57368,0.499899,1.56311,0.85028,0.912932,0.689868,0.00795762,0.185598,0.0132021,1.05032,0.939177,0.979108,0.965671,0.492845,0.59454
20,q_mid,1666,1.391,0.0131673,0.993609,1.55135,0.506549,1.56808,0.914494,0.893987,0.697355,-0.0170388,0.163366,-0.0145834,1.01795,0.940112,0.982386,1.03021,0.480886,0.649771
20,q_high,1667,1.71049,0.0126126,1.05952,1.54503,0.520962,1.5557,0.912887,0.902109,0.650748,0.0263325,0.137791,0.00545219,0.961981,0.944169,0.997821,1.03736,0.493504,0.657654
20,q_low_mchirp_low,1241,1.07909,0.0125577,1.01165,1.59208,0.49115,1.53356,0.714602,0.90611,0.681072,0.0128794,0.181163,0.0293165,1.11727,0.936942,0.968254,0.940629,0.489552,0.58
20,q_low_mchirp_high,426,1.36384,0.0115492,0.947206,1.52006,0.525389,1.64918,-0.130057,0.933208,0.715633,-0.0134205,0.19533,-0.0327186,1.43707,0.945028,1.00916,1.03894,0.501997,0.625817
20,q_high_mchirp_low,544,1.26599,0.016212,1.17843,1.55952,0.552089,1.54852,0.783988,0.818187,0.560609,0.0165702,0.0536389,0.015355,0.891521,0.924542,0.986184,0.87035,0.445965,0.644165
20,q_high_mchirp_high,1123,1.92582,0.010869,1.00191,1.53801,0.505884,1.55918,0.659633,0.941117,0.692615,0.031048,0.178767,0.000401191,1.06135,0.953439,0.998953,1.10891,0.513759,0.661633
25,full,5000,1.44306,0.0126952,0.942517,1.54865,0.525194,1.57412,0.915428,0.900509,0.7241,0.00952213,0.070855,-0.00637755,0.988003,0.968644,0.978166,0.895852,0.645484,1.00312
25,snr_low,1667,2.11006,0.0153653,0.794045,1.54314,0.555562,1.55857,0.820983,0.831553,-0.781133,0.029014,-0.0384606,-0.0489925,0.940933,0.964465,1.42758,0.88983,0.630898,1.07468
25,snr_mid,1666,1.27206,0.0119567,1.06433,1.54877,0.515195,1.56489,0.950812,0.923583,-1.8556,-0.00345104,0.0615339,0.0221907,0.99871,0.972132,1.90995,0.886241,0.648678,0.974075
25,snr_high,1667,0.94697,0.0107631,0.969246,1.55403,0.50482,1.59889,0.970697,0.945414,-1.61035,0.00267078,0.180893,0.00440362,1.01819,0.969483,1.58396,0.909822,0.655888,0.959961
