epoch,loss,mae_coa_phase,mae_declination,mae_mchirp,mae_merger_time,mae_ra,mae_snr,r2_coa_phase,r2_declination,r2_mchirp,r2_merger_time,r2_ra,r2_snr,std_ratio_coa_phase,std_ratio_declination,std_ratio_mchirp,std_ratio_merger_time,std_ratio_ra,std_ratio_snr,val_loss,val_mae_coa_phase,val_mae_declination,val_mae_mchirp,val_mae_merger_time,val_mae_ra,val_mae_snr,val_r2_coa_phase,val_r2_declination,val_r2_mchirp,val_r2_merger_time,val_r2_ra,val_r2_snr,val_std_ratio_coa_phase,val_std_ratio_declination,val_std_ratio_mchirp,val_std_ratio_merger_time,val_std_ratio_ra,val_std_ratio_snr,val_weight_coa_phase,val_weight_declination,val_weight_mchirp,val_weight_merger_time,val_weight_ra,val_weight_snr,weight_coa_phase,weight_declination,weight_mchirp,weight_merger_time,weight_ra,weight_snr
0,0.4217390716075897,0.6400048732757568,0.1829318255186081,0.46132326126098633,0.2519459128379822,0.6415026783943176,0.4653497338294983,-0.020439088344573975,-0.028634309768676758,0.5885957479476929,-0.013330817222595215,-0.02740246057510376,0.6440302133560181,0.1322108656167984,0.2069089710712433,0.7447450160980225,0.10669831186532974,0.16507741808891296,0.8200578689575195,6.465324401855469,0.6572592258453369,0.2175019532442093,0.728023886680603,0.28429141640663147,0.6880117654800415,5.683272838592529,-0.12572848796844482,-0.5350415706634521,0.21714961528778076,-0.44938886165618896,-0.35539710521698,-32.18830108642578,0.20601633191108704,0.2612915337085724,0.8729526996612549,0.12796694040298462,0.17273016273975372,1.170257568359375,1.2133245468139648,1.216749906539917,1.24160635471344,1.2160760164260864,1.2149593830108643,1.2322843074798584,1.104373574256897,1.1054668426513672,1.1158771514892578,1.105149269104004,1.1053467988967896,1.1132469177246094
1,-0.7814862132072449,0.6377308368682861,0.17871025204658508,0.2700858414173126,0.2512379586696625,0.6384965777397156,0.369552344083786,-0.013283252716064453,0.029595911502838135,0.8425814509391785,-0.0073223114013671875,-0.00974273681640625,0.7821229696273804,0.12300305813550949,0.12526509165763855,0.9099034070968628,0.09659463167190552,0.10318174958229065,0.8909635543823242,2.7893857955932617,0.637169599533081,0.18905964493751526,1.4532591104507446,0.2547755539417267,0.6378254294395447,2.3616137504577637,-0.01907426118850708,-0.11292421817779541,-1.6177754402160645,-0.087685227394104,-0.018583059310913086,-4.954197883605957,0.13503776490688324,0.17677634954452515,1.2570948600769043,0.09102963656187057,0.13853685557842255,0.8305957317352295,1.4603548049926758,1.4793882369995117,1.5303832292556763,1.4773950576782227,1.4628790616989136,1.505711555480957,1.3347870111465454,1.3445428609848022,1.3828283548355103,1.3433020114898682,1.336695909500122,1.3660526275634766
2,-1.7666624784469604,0.6370224356651306,0.1756444126367569,0.2397148609161377,0.2513068616390228,0.6383898258209229,0.35961490869522095,-0.007044374942779541,0.06575179100036621,0.876510500907898,-0.007714033126831055,-0.008398890495300293,0.7936394214630127,0.09897300601005554,0.20007629692554474,0.9331430792808533,0.08179132640361786,0.09713179618120193,0.8995945453643799,2.0240323543548584,0.6444671750068665,0.1910480558872223,0.9666337966918945,0.24892859160900116,0.6394380331039429,2.3677890300750732,-0.06782430410385132,-0.1388334035873413,-0.4931293725967407,-0.019669532775878906,-0.044216036796569824,-5.250058650970459,0.15069635212421417,0.2778722941875458,1.295532464981079,0.0637049451470375,0.16870498657226562,0.5861818790435791,1.740695595741272,1.797787070274353,1.8748371601104736,1.7926642894744873,1.7433395385742188,1.8283418416976929,1.5986084938049316,1.6343120336532593,1.6985797882080078,1.6309128999710083,1.6012457609176636,1.6635798215866089
3,-2.6878700256347656,0.6369892358779907,0.17382611334323883,0.21408994495868683,0.25119397044181824,0.6379977464675903,0.3527792692184448,-0.0108259916305542,0.08734643459320068,0.900471568107605,-0.0066214799880981445,-0.006482183933258057,0.8013485670089722,0.11815426498651505,0.277539998292923,0.9448394179344177,0.09871358424425125,0.09739485383033752,0.9019049406051636,-1.4889662265777588,0.646774411201477,0.21726104617118835,0.34422141313552856,0.2471577227115631,0.63649582862854,1.2105294466018677,-0.08523106575012207,-0.48860180377960205,0.7694742679595947,-0.003050565719604492,-0.014114141464233398,-0.7573229074478149,0.21836990118026733,0.27671507000923157,0.9632784128189087,0.053432319313287735,0.10332285612821579,0.7492828369140625,2.0482101440429688,2.1831583976745605,2.2905962467193604,2.1717982292175293,2.052189826965332,2.2095792293548584,1.893259048461914,1.9853252172470093,2.0781280994415283,1.977521300315857,1.8965307474136353,2.0151588916778564
4,-3.534898042678833,0.6359360218048096,0.17349225282669067,0.21203754842281342,0.2510548532009125,0.6380811929702759,0.34872129559516907,-0.005782663822174072,0.09178733825683594,0.9076451659202576,-0.0030144453048706055,-0.008516550064086914,0.8073904514312744,0.10273075848817825,0.30185896158218384,0.952314555644989,0.07335589081048965,0.10693860799074173,0.9069358110427856,-2.1046977043151855,0.638830304145813,0.17312458157539368,0.7217521071434021,0.24903762340545654,0.644782304763794,0.8860203623771667,-0.024763822555541992,0.08735042810440063,0.28661680221557617,-0.02219080924987793,-0.05585896968841553,-0.03171896934509277,0.15263104438781738,0.3818291127681732,1.2656888961791992,0.08839982748031616,0.19067278504371643,0.9147324562072754,2.3760204315185547,2.6486432552337646,2.7870945930480957,2.6264727115631104,2.37898325920105,2.6573946475982666,2.2118613719940186,2.4097347259521484,2.5336272716522217,2.393444061279297,2.2154335975646973,2.430077314376831
5,-4.346551895141602,0.6361566781997681,0.17284248769283295,0.19235952198505402,0.2514626383781433,0.6377567648887634,0.3385377526283264,-0.003892838954925537,0.10072022676467896,0.9237498044967651,-0.007389545440673828,-0.0060076117515563965,0.8175476789474487,0.09107986092567444,0.3152604103088379,0.9590916037559509,0.08726232498884201,0.09694316983222961,0.9104923009872437,-3.379365921020508,0.6368892192840576,0.18298116326332092,0.37653231620788574,0.24858586490154266,0.6370118260383606,0.8359912037849426,-0.012366950511932373,-0.027744531631469727,0.7772216796875,-0.02283334732055664,-0.009451568126678467,0.06491494178771973,0.10895363986492157,0.33251333236694336,0.7040545344352722,0.03803864121437073,0.08634257316589355,0.8712083101272583,2.708587169647217,3.2100205421447754,3.3901991844177246,3.1688995361328125,2.710538625717163,3.182128667831421,2.5433943271636963,2.922069549560547,3.0804476737976074,2.8911654949188232,2.546182632446289,2.9158191680908203
6,-5.103501796722412,0.6356456279754639,0.17244063317775726,0.18079034984111786,0.25123152136802673,0.6367937326431274,0.3280137777328491,-0.0033673644065856934,0.10448843240737915,0.9349617958068848,-0.00620877742767334,-0.0020533204078674316,0.8290104269981384,0.087373748421669,0.32872098684310913,0.9641269445419312,0.08816531300544739,0.0763116329908371,0.9153829216957092,16.533824920654297,0.6406686305999756,0.18452417850494385,3.3844218254089355,0.2473476678133011,0.6892803907394409,3.1992456912994385,-0.03889220952987671,-0.07918381690979004,-13.031964302062988,-0.006357789039611816,-0.3673090934753418,-10.199953079223633,0.08467626571655273,0.4009167551994324,2.1489884853363037,0.06610015034675598,0.47041526436805725,0.6096411347389221,3.0266664028167725,3.885118007659912,4.120335578918457,3.8130784034729004,3.029510021209717,3.7968952655792236,2.87074613571167,3.5389788150787354,3.748044729232788,3.483466386795044,2.8730103969573975,3.4859073162078857
7,-5.79934024810791,0.6355205178260803,0.17145659029483795,0.1736976057291031,0.25102320313453674,0.6369730234146118,0.32153642177581787,-0.001697540283203125,0.1112627387046814,0.9417093992233276,-0.004855513572692871,-0.0015576481819152832,0.8358733654022217,0.08430645614862442,0.33418723940849304,0.9685100317001343,0.08421452343463898,0.06694328039884567,0.9184119701385498,-5.238097190856934,0.639854907989502,0.2012026011943817,0.36923444271087646,0.24689269065856934,0.6390644311904907,0.47493892908096313,-0.026920974254608154,-0.321172833442688,0.7861217260360718,-0.002753734588623047,-0.019733309745788574,0.6339428424835205,0.042541924864053726,0.33576488494873047,0.7639389038085938,0.03847231715917587,0.11009442806243896,0.8372811675071716,3.3117051124572754,4.694828510284424,4.9969892501831055,4.5733442306518555,3.314382553100586,4.503660678863525,3.173652410507202,4.279879570007324,4.547280788421631,4.184495449066162,3.176363229751587,4.1467108726501465
8,-6.449122905731201,0.6354488134384155,0.1713707596063614,0.16761809587478638,0.25142398476600647,0.636775016784668,0.31403589248657227,-0.0017925500869750977,0.11457705497741699,0.948331892490387,-0.005766153335571289,-0.0012573003768920898,0.8435304164886475,0.0827927440404892,0.34103572368621826,0.9731593132019043,0.07654500752687454,0.07123330235481262,0.9218471050262451,-1.8483102321624756,0.635903000831604,0.22751593589782715,0.676361620426178,0.2470998466014862,0.6363183259963989,1.036540150642395,-0.0105133056640625,-0.6362946033477783,0.2277325987815857,-0.005811572074890137,-0.0043048858642578125,-0.5442761182785034,0.07621170580387115,0.3637695014476776,1.2891300916671753,0.04021722450852394,0.0579925999045372,0.47884005308151245,3.5465846061706543,5.662654876708984,6.051514148712158,5.462996959686279,3.5487380027770996,5.3103437423706055,3.433947801589966,5.166970729827881,5.512462615966797,5.008659362792969,3.437161445617676,4.902788162231445
9,-7.061224460601807,0.635449230670929,0.17091844975948334,0.1655658781528473,0.251228928565979,0.6367887258529663,0.3014523386955261,-0.0011347532272338867,0.11934530735015869,0.9501756429672241,-0.004647016525268555,-0.000746309757232666,0.8562430143356323,0.07380978763103485,0.3464744985103607,0.9746537208557129,0.06226566433906555,0.06540890038013458,0.9267014265060425,-0.8478032946586609,0.6418439745903015,0.1806851178407669,0.35963496565818787,0.24947619438171387,0.6366289854049683,1.440073013305664,-0.03762614727020264,-0.008624672889709473,0.756115198135376,-0.027706503868103027,-0.017032325267791748,-1.755509376525879,0.18778352439403534,0.35176175832748413,1.1193991899490356,0.036476440727710724,0.12289939075708389,0.33380213379859924,3.7232909202575684,6.813704013824463,7.300384521484375,6.493348121643066,3.725205898284912,6.2461090087890625,3.6397593021392822,6.225207805633545,6.6654181480407715,5.9691243171691895,3.642321825027466,5.780601501464844
