epoch,subset,n,mae_mchirp,mae_q,mae_merger_time,mae_snr,r2_mchirp,r2_q,r2_merger_time,r2_snr,std_ratio_mchirp,std_ratio_q,std_ratio_merger_time,std_ratio_snr
15,q_low_mchirp_high,426,1.25324,0.167706,0.0132909,0.827083,0.118162,-9.28197,0.917561,0.785959,1.31547,1.00603,1.02114,0.904252
15,q_high_mchirp_low,544,1.29283,0.311905,0.0171863,0.910646,0.786055,-23.3691,0.831685,0.741387,0.887319,1.03189,0.919056,0.902938
15,q_high_mchirp_high,1123,1.77456,0.152623,0.0126673,0.881075,0.755952,-7.38453,0.921562,0.772228,1.03387,1.56222,1.01597,0.863301
20,full,5000,1.24408,0.153934,0.014613,0.871324,0.942513,0.228104,0.888417,0.771839,0.987707,0.530659,0.977459,0.895167
20,snr_low,1667,1.73136,0.154471,0.0165075,0.990401,0.88554,0.21627,0.846841,-1.61779,0.951133,0.443994,0.947015,1.43855
20,snr_mid,1666,1.10859,0.152813,0.0134629,0.915078,0.963664,0.236926,0.908437,-1.07412,0.989146,0.553483,0.993355,1.66568
20,snr_high,1667,0.892219,0.154517,0.013868,0.70852,0.976055,0.228901,0.909271,-0.331577,1.02072,0.583819,0.991333,1.21735
20,mchirp_low,2500,1.06319,0.180321,0.0157148,0.88337,0.814743,0.0638993,0.866438,0.762168,0.975903,0.276958,0.956114,0.89272
20,mchirp_high,2500,1.42498,0.127546,0.0135113,0.859279,0.807411,0.163861,0.910448,0.781375,1.03924,0.578764,0.998434,0.897526
20,merger_early,2500,1.23537,0.155511,0.0139031,0.892845,0.943398,0.229551,0.595087,0.756914,0.990521,0.513913,0.971722,0.900024
20,merger_late,2500,1.2528,0.152357,0.015323,0.849804,0.941629,0.22648,0.522632,0.786371,0.984804,0.547352,1.10612,0.890419
20,q_low,1667,1.04906,0.181412,0.0141915,0.858137,0.870769,-4.02685,0.898679,0.778017,1.05193,0.755003,0.976084,0.892661
20,q_mid,1666,1.21573,0.0935132,0.0148444,0.882729,0.936784,-1.87613,0.883695,0.766434,1.02554,1.51068,0.979237,0.900573
20,q_high,1667,1.46744,0.18684,0.0148033,0.873114,0.943555,-11.1863,0.882549,0.770846,0.986959,1.9094,0.976677,0.892631
20,q_low_mchirp_low,1241,0.995763,0.17829,0.0144185,0.873131,0.738768,-4.02917,0.894363,0.773553,1.07197,0.581169,0.966156,0.885951
20,q_low_mchirp_high,426,1.20434,0.190508,0.0135302,0.814459,0.123673,-11.8682,0.911434,0.791094,1.39265,1.01945,1.00491,0.912021
20,q_high_mchirp_low,544,1.17757,0.297835,0.0175756,0.88396,0.840981,-21.374,0.823346,0.755928,0.853615,1.03834,0.928561,0.879928
20,q_high_mchirp_high,1123,1.60786,0.133072,0.0134604,0.86786,0.785827,-5.78536,0.909847,0.77777,1.05633,1.60346,0.997815,0.898104
25,full,5000,1.3587,0.152284,0.0135749,0.848106,0.939629,0.239308,0.90438,0.783443,0.988382,0.54803,0.986191,0.926988
25,snr_low,1667,1.70322,0.154088,0.0155035,0.884669,0.891824,0.216632,0.861736,-1.11246,0.960384,0.467717,0.96609,1.37074
25,snr_mid,1666,1.24104,0.151012,0.0128589,0.922422,0.958923,0.252071,0.920118,-1.11326,0.990493,0.570603,0.993831,1.73611
25,snr_high,1667,1.13177,0.151751,0.0123619,0.737271,0.966123,0.246882,0.930633,-0.480754,1.01293,0.594794,0.998469,1.34735
25,mchirp_low,2500,1.234,0.178571,0.0143318,0.867053,0.784625,0.0801972,0.886445,0.77013,0.982466,0.306374,0.970214,0.943599
25,mchirp_high,2500,1.48341,0.125998,0.0128181,0.829158,0.809432,0.17142,0.922358,0.796578,1.03649,0.607231,1.00205,0.909985
25,merger_early,2500,1.35505,0.153656,0.0134005,0.855018,0.941829,0.244155,0.617739,0.775252,0.990053,0.530758,1.0057,0.932108
25,merger_late,2500,1.36235,0.150912,0.0137494,0.841194,0.937442,0.234136,0.623897,0.791408,0.986437,0.565484,1.09152,0.921712
25,q_low,1667,1.03332,0.176509,0.0132056,0.832826,0.880823,-3.80305,0.912687,0.791102,1.04653,0.776332,0.988852,0.933333
25,q_mid,1666,1.38527,0.0953752,0.0138808,0.856978,0.931072,-1.96474,0.898788,0.77662,1.01961,1.54513,0.985842,0.929516
25,q_high,1667,1.65753,0.184934,0.0136386,0.85452,0.938404,-11.1609,0.901402,0.782409,0.992518,1.96263,0.982739,0.918206
25,q_low_mchirp_low,1241,1.00679,0.174119,0.0132875,0.838775,0.741175,-3.83217,0.909474,0.788266,1.08109,0.62078,0.981096,0.933882
25,q_low_mchirp_high,426,1.11061,0.183472,0.0129669,0.815494,0.311091,-11.0991,0.922161,0.799409,1.30041,1.0661,1.01028,0.930763
25,q_high_mchirp_low,544,1.47872,0.293365,0.0158791,0.88795,0.804857,-21.0126,0.852116,0.759635,0.860591,1.14387,0.939123,0.937429
25,q_high_mchirp_high,1123,1.74415,0.132408,0.0125532,0.838326,0.773501,-5.93867,0.924124,0.792983,1.06815,1.68772,1.00317,0.909141
30,full,5000,1.41547,0.151699,0.0132451,0.89255,0.925035,0.245757,0.908733,0.761429,1.04971,0.548516,1.00728,0.929732
30,snr_low,1667,2.07614,0.153627,0.0153121,0.751906,0.84929,0.221268,0.865198,-0.551825,1.05254,0.470996,0.985427,1.39265
30,snr_mid,1666,1.23476,0.150224,0.0125421,0.943554,0.951254,0.259673,0.92469,-1.26916,1.05067,0.575383,1.01441,1.76344
30,snr_high,1667,0.935414,0.151245,0.0118808,0.982221,0.971648,0.253986,0.93565,-1.44891,1.04417,0.591107,1.02068,1.31372
30,mchirp_low,2500,1.19096,0.178378,0.0143482,0.88539,0.724996,0.084687,0.88559,0.759305,1.12491,0.324628,1.00235,0.948213
30,mchirp_high,2500,1.63999,0.12502,0.0121421,0.89971,0.767613,0.184029,0.93194,0.763508,1.0992,0.617292,1.01084,0.910273
30,merger_early,2500,1.39137,0.153482,0.0134096,0.904144,0.929902,0.247035,0.631798,0.751475,1.05466,0.535286,1.05736,0.940263
30,merger_late,2500,1.43958,0.149916,0.0130807,0.880956,0.920206,0.244311,0.644139,0.771111,1.04473,0.562018,1.06296,0.919389
30,q_low,1667,1.59557,0.176993,0.0130449,0.850162,0.735844,-3.79563,0.914918,0.780043,1.11615,0.749541,1.0112,0.933692
30,q_mid,1666,1.25376,0.0946933,0.0134132,0.886957,0.923099,-1.91875,0.904333,0.766453,1.07939,1.52938,1.00784,0.934436
30,q_high,1667,1.39699,0.183376,0.0132774,0.940527,0.945468,-11.0157,0.906729,0.737126,1.06046,1.9876,1.00245,0.921096
30,q_low_mchirp_low,1241,1.52167,0.176186,0.0131105,0.847541,0.443997,-3.906,0.910907,0.778928,1.21798,0.621317,1.00953,0.933556
30,q_low_mchirp_high,426,1.81086,0.179344,0.012854,0.857795,-0.644658,-10.4878,0.926786,0.783312,1.35972,0.998527,1.01689,0.933456
30,q_high_mchirp_low,544,0.82594,0.287998,0.0163388,0.950556,0.872075,-20.5254,0.844287,0.719502,1.00197,1.26949,0.974215,0.951062
30,q_high_mchirp_high,1123,1.67362,0.132696,0.0117944,0.935669,0.784497,-5.97531,0.935659,0.745306,1.13456,1.72281,1.00994,0.906319
35,full,5000,1.01401,0.150649,0.0127824,0.823526,0.958512,0.235888,0.915269,0.793123,0.981076,0.549931,0.990226,0.958559
35,snr_low,1667,1.44976,0.151531,0.0146018,0.773994,0.912187,0.223511,0.874028,-0.677899,0.965693,0.490957,0.972086,1.38679
35,snr_mid,1666,0.881316,0.150169,0.0120884,0.921891,0.976593,0.242072,0.931702,-1.12092,0.983086,0.574902,0.995172,1.78537
35,snr_high,1667,0.710863,0.150248,0.0116565,0.774752,0.984852,0.239859,0.939443,-0.643296,0.993905,0.5793,1.00327,1.36619
35,mchirp_low,2500,0.903057,0.175923,0.0136252,0.835296,0.849522,0.0794219,0.896707,0.783177,1.00769,0.306169,0.977283,0.964096
35,mchirp_high,2500,1.12496,0.125376,0.0119395,0.811756,0.870426,0.162024,0.933879,0.802933,1.01037,0.620237,1.00297,0.952927
35,merger_early,2500,1.00262,0.151965,0.0128292,0.838256,0.960538,0.241884,0.660957,0.780407,0.984143,0.534763,1.04737,0.96847
35,merger_late,2500,1.02539,0.149334,0.0127355,0.808796,0.956501,0.229517,0.66702,0.805504,0.977805,0.56532,1.05391,0.948832
35,q_low,1667,0.952139,0.150354,0.012521,0.803933,0.882336,-2.62091,0.922805,0.802948,1.04245,0.725264,0.990994,0.960992
35,q_mid,1666,0.932414,0.0963576,0.0131203,0.825435,0.959443,-2.08426,0.908495,0.791298,1.01334,1.52702,0.989324,0.964996
35,q_high,1667,1.15742,0.205204,0.012706,0.841212,0.961871,-13.4418,0.914278,0.784788,0.985046,2.00567,0.98982,0.949851
35,q_low_mchirp_low,1241,0.934865,0.14959,0.0124453,0.808024,0.745098,-2.71158,0.921479,0.801109,1.10001,0.579167,0.984306,0.954631
35,q_low_mchirp_high,426,1.00246,0.152582,0.0127416,0.792016,0.315588,-7.62025,0.926649,0.808335,1.2475,0.971493,1.01075,0.979258
35,q_high_mchirp_low,544,0.900334,0.317473,0.0152884,0.868725,0.894452,-24.4652,0.859936,0.762453,0.891122,1.2058,0.95242,0.958558
35,q_high_mchirp_high,1123,1.28196,0.150819,0.0114551,0.827884,0.854697,-7.60013,0.939435,0.795158,1.03863,1.74053,1.00519,0.945792
40,full,5000,1.0508,0.150757,0.0127737,0.863126,0.956705,0.226863,0.915359,0.777151,1.00563,0.559327,1.00013,0.919152
40,snr_low,1667,1.511,0.151763,0.0146171,0.739321,0.909769,0.216107,0.87351,-0.509786,0.974685,0.496576,0.987108,1.35712
40,snr_mid,1666,0.909517,0.150288,0.0122072,0.911603,0.974756,0.231526,0.930374,-1.10007,1.01259,0.583779,1.00349,1.72719
40,snr_high,1667,0.731789,0.15022,0.0114965,0.938484,0.983676,0.230725,0.941566,-1.24853,1.02805,0.592476,1.00975,1.2701
40,mchirp_low,2500,0.905369,0.175134,0.0136431,0.858387,0.847374,0.0751001,0.895781,0.775816,0.993512,0.310076,0.99356,0.927525
40,mchirp_high,2500,1.19622,0.126381,0.0119043,0.867865,0.862308,0.141065,0.93499,0.778451,1.08024,0.634508,1.00666,0.910476
40,merger_early,2500,1.01828,0.152031,0.0129323,0.870481,0.959763,0.233256,0.644315,0.770208,1.00431,0.541171,1.0683,0.929915
40,merger_late,2500,1.08331,0.149483,0.0126151,0.855771,0.953672,0.220075,0.683264,0.783898,1.00681,0.577701,1.05193,0.908577
40,q_low,1667,1.01287,0.142506,0.0125307,0.825571,0.877318,-2.3045,0.922181,0.793589,1.03198,0.723203,1.00265,0.921754
40,q_mid,1666,0.973052,0.099054,0.013195,0.856378,0.955957,-2.26195,0.90807,0.780416,1.03526,1.55412,0.999745,0.922564
40,q_high,1667,1.16641,0.210681,0.0125957,0.907424,0.961248,-14.1573,0.915614,0.756874,1.01714,2.04342,0.997732,0.913388
40,q_low_mchirp_low,1241,0.978361,0.141663,0.0124949,0.824233,0.738311,-2.38426,0.920108,0.792901,1.06327,0.576913,0.998337,0.917175
40,q_low_mchirp_high,426,1.11342,0.144959,0.0126351,0.82947,0.259231,-6.88873,0.92826,0.795601,1.30154,0.940374,1.01565,0.934507
40,q_high_mchirp_low,544,0.855196,0.3242,0.0153022,0.923517,0.897247,-25.5202,0.859497,0.741541,0.895009,1.22356,0.970814,0.92621
40,q_high_mchirp_high,1123,1.31717,0.155691,0.0112847,0.899629,0.850814,-8.13612,0.941611,0.763991,1.11387,1.78649,1.00929,0.907365
45,full,5000,1.01319,0.151881,0.0126143,0.825092,0.958549,0.252166,0.917245,0.793008,1.01946,0.556965,0.995963,0.946659
45,snr_low,1667,1.45913,0.153568,0.014294,0.826188,0.912329,0.224153,0.877604,-0.899162,1.00486,0.504402,0.980946,1.40726
45,snr_mid,1666,0.870686,0.150107,0.0121136,0.930932,0.976758,0.268775,0.931627,-1.13906,1.02471,0.582175,0.999557,1.78321
45,snr_high,1667,0.709687,0.151966,0.011435,0.718221,0.984651,0.261205,0.941905,-0.411661,1.02819,0.580405,1.00742,1.27372
45,mchirp_low,2500,0.878976,0.17855,0.0134093,0.837097,0.850656,0.0945064,0.898818,0.782399,1.05792,0.324808,0.984199,0.956232
45,mchirp_high,2500,1.14741,0.125212,0.0118193,0.813088,0.869981,0.187518,0.93572,0.803472,1.06117,0.607259,1.00768,0.936383
45,merger_early,2500,0.983652,0.154233,0.0126834,0.834399,0.961728,0.251179,0.656612,0.782773,1.02241,0.539502,1.06394,0.956406
45,merger_late,2500,1.04274,0.149528,0.0125452,0.815786,0.955396,0.253086,0.686233,0.802968,1.01648,0.574577,1.05554,0.937075
45,q_low,1667,1.00998,0.189691,0.0123376,0.809843,0.87079,-4.3524,0.924087,0.801684,1.07614,0.76324,0.996219,0.949353
45,q_mid,1666,0.935457,0.0959244,0.0130575,0.826655,0.956583,-1.99564,0.910566,0.790001,1.0524,1.55383,0.996654,0.952629
45,q_high,1667,1.0941,0.169993,0.012448,0.838781,0.966437,-9.64016,0.916868,0.787048,1.02782,1.99589,0.994598,0.938083
45,q_low_mchirp_low,1241,0.961503,0.186273,0.0122938,0.815795,0.724112,-4.33879,0.921667,0.798303,1.13848,0.607685,0.989796,0.944578
45,q_low_mchirp_high,426,1.15121,0.199649,0.0124653,0.792503,0.221646,-12.8188,0.931207,0.811587,1.28212,0.953443,1.01525,0.962562
45,q_high_mchirp_low,544,0.79853,0.274157,0.0148981,0.847093,0.918175,-18.758,0.862896,0.772109,0.950328,1.28259,0.959124,0.953867
45,q_high_mchirp_high,1123,1.23728,0.119535,0.0112611,0.834755,0.868396,-4.80587,0.941862,0.793982,1.09577,1.69178,1.0102,0.930399
50,full,5000,0.994957,0.149732,0.0126212,0.827058,0.959001,0.246758,0.918002,0.791808,1.00028,0.555237,0.99686,0.948121
50,snr_low,1667,1.45297,0.151331,0.0142914,0.835571,0.91112,0.229038,0.880253,-0.935365,0.998678,0.493423,0.980095,1.38766
50,snr_mid,1666,0.856109,0.148707,0.0120568,0.939498,0.977517,0.256399,0.932243,-1.1792,1.0044,0.580522,1.00054,1.79001
50,snr_high,1667,0.675712,0.149156,0.0115149,0.706174,0.98641,0.252578,0.94093,-0.367066,0.997535,0.586386,1.00984,1.29059
50,mchirp_low,2500,0.873502,0.174854,0.0134863,0.846005,0.853083,0.0933507,0.899753,0.778318,1.05477,0.331018,0.983278,0.962509
50,mchirp_high,2500,1.11641,0.124609,0.011756,0.808111,0.870948,0.172536,0.936298,0.805118,1.02734,0.625313,1.00996,0.933081
50,merger_early,2500,0.978605,0.151209,0.0128527,0.836841,0.96197,0.252906,0.658909,0.781855,1.00436,0.537516,1.07364,0.957058
50,merger_late,2500,1.01131,0.148254,0.0123897,0.817275,0.956055,0.240229,0.689888,0.801492,0.996228,0.573153,1.03453,0.939361
50,q_low,1667,0.971701,0.154025,0.0123932,0.813221,0.877084,-2.77679,0.923854,0.799808,1.06598,0.744883,0.995508,0.950337
50,q_mid,1666,0.912728,0.0953429,0.0130795,0.833032,0.957427,-2.01874,0.911111,0.787721,1.03488,1.52885,0.997843,0.955476
50,q_high,1667,1.10039,0.199794,0.0123911,0.834924,0.965423,-12.8565,0.918849,0.787637,1.00657,2.0173,0.996918,0.938704
50,q_low_mchirp_low,1241,0.943497,0.153325,0.0123879,0.824246,0.735721,-2.8799,0.921698,0.794694,1.12918,0.620472,0.989075,0.948014
50,q_low_mchirp_high,426,1.05386,0.156065,0.0124086,0.781106,0.271743,-7.92906,0.930183,0.814787,1.27538,0.944361,1.01502,0.956455
50,q_high_mchirp_low,544,0.800083,0.307637,0.014916,0.84867,0.917009,-23.3041,0.86709,0.770759,0.9547,1.30268,0.959158,0.962914
50,q_high_mchirp_high,1123,1.24586,0.147553,0.011168,0.828266,0.863985,-7.32022,0.942812,0.795472,1.06061,1.76296,1.01202,0.927064
55,full,5000,1.02023,0.150994,0.0127134,0.871693,0.95785,0.257112,0.916334,0.770588,1.01768,0.560901,0.992026,0.946514
55,snr_low,1667,1.47139,0.152955,0.0142899,0.958096,0.911727,0.227544,0.879681,-1.46136,1.00395,0.510637,0.977243,1.39442
55,snr_mid,1666,0.884414,0.1496,0.0120929,0.985663,0.975776,0.270326,0.930828,-1.3848,1.02238,0.584056,0.993933,1.78258
55,snr_high,1667,0.704794,0.150425,0.0117569,0.671388,0.984154,0.271064,0.937921,-0.201879,1.02615,0.584758,1.00491,1.2809
