epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_sky_position,mae_coa_phase,r2_mchirp,r2_merger_time,r2_snr,r2_sky_position,r2_coa_phase,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_sky_position,std_ratio_coa_phase
15,snr_high,1667,1.30235,0.0489364,1.34232,1.27145,1.53229,0.947401,-0.00249704,-2.74975,0.450653,0.0570342,1.0689,0.0158827,0.602514,0.459629,1.53148
15,mchirp_low,2500,2.35181,0.0492924,2.97283,1.28211,1.56875,-0.11351,-0.000538367,-1.13176,0.407263,-0.00529671,0.892116,0.00786429,0.476679,0.382832,1.33857
15,mchirp_high,2500,2.00417,0.0493315,3.06324,1.29805,1.58294,0.630183,-0.00172255,-1.20429,0.435765,-0.0152332,1.1663,0.0141106,0.461068,0.439957,1.51553
15,merger_early,2500,2.19764,0.0473326,3.02682,1.30604,1.57705,0.802694,-2.8241,-1.20383,0.418355,0.000655495,0.930906,0.0258668,0.474404,0.41402,1.43306
15,merger_late,2500,2.15834,0.0512913,3.00925,1.27412,1.57464,0.811603,-3.10313,-1.1336,0.424621,-0.0210166,0.939897,0.0250398,0.464959,0.42348,1.44479
15,q_low,1667,1.85302,0.0494614,3.05252,1.29921,1.56087,0.57381,-0.0014759,-1.1946,0.407812,0.0225165,0.94775,0.00831019,0.469024,0.402345,1.37334
15,q_mid,1666,2.19856,0.0494536,3.03015,1.27281,1.5915,0.781529,-0.00332004,-1.16539,0.432648,-0.0398192,0.965468,0.0120398,0.468354,0.423762,1.46024
15,q_high,1667,2.4824,0.049021,2.97145,1.29821,1.57518,0.812953,0.00071032,-1.14648,0.423875,-0.0140108,0.93278,0.0143636,0.4718,0.428475,1.47832
15,q_low_mchirp_low,1241,1.9628,0.0494657,3.03916,1.29946,1.5629,-0.119871,-0.00243254,-1.18144,0.404819,0.00688506,0.998379,0.00779488,0.468456,0.384035,1.34364
15,q_low_mchirp_high,426,1.53322,0.0494486,3.09144,1.29849,1.55495,-0.170636,-0.000215641,-1.23314,0.416179,0.0650952,1.53144,0.00936138,0.470262,0.44329,1.44187
15,q_high_mchirp_low,544,2.97207,0.0483869,2.79869,1.27499,1.54776,-0.328336,-0.00358708,-1.01102,0.408553,0.0261494,0.838061,0.00773597,0.485913,0.373784,1.27408
15,q_high_mchirp_high,1123,2.2452,0.0493282,3.05513,1.30946,1.58847,0.558062,-0.00181751,-1.20946,0.431383,-0.0338044,1.19283,0.0143933,0.461137,0.440852,1.54177
20,full,5000,1.36929,0.0493065,0.927499,1.34087,1.57321,0.912982,-0.000385985,0.734386,0.313672,-0.00796542,0.974358,0.0148433,0.973072,0.698697,0.761671
20,snr_low,1667,2.16738,0.0491637,0.971078,1.44316,1.56762,0.793809,-0.000778796,-1.60933,0.168199,-0.0623663,0.925629,0.0111927,1.57263,0.540114,0.855121
20,snr_mid,1666,1.13833,0.0498227,1.02677,1.33527,1.58399,0.95884,-7.21706e-05,-1.68596,0.335331,0.00763074,0.980754,0.0146212,1.91093,0.703823,0.664149
20,snr_high,1667,0.802035,0.0489333,0.784709,1.24418,1.56804,0.981452,-0.0013924,-0.702855,0.436833,0.0264275,1.00853,0.0179162,1.45756,0.756669,0.7321
20,mchirp_low,2500,1.20699,0.0492959,0.940417,1.31298,1.56271,0.76154,0.000276774,0.725205,0.308738,-0.00352792,0.970244,0.0134458,0.990769,0.631344,0.797752
20,mchirp_high,2500,1.5316,0.049317,0.91458,1.36877,1.58371,0.684933,-0.0013439,0.743434,0.318622,-0.0128647,1.04152,0.016127,0.95525,0.727607,0.718693
20,merger_early,2500,1.38221,0.0479028,0.954185,1.35299,1.59167,0.909825,-2.89426,0.719359,0.317116,-0.0145907,0.975571,0.0299497,0.976435,0.692233,0.741593
20,merger_late,2500,1.35638,0.0507101,0.900813,1.32875,1.55476,0.916096,-3.03298,0.749014,0.310081,-0.00133071,0.973128,0.0291757,0.969746,0.705326,0.781587
20,q_low,1667,1.08352,0.0494548,0.910115,1.3544,1.56753,0.855373,0.00012286,0.747813,0.282388,0.0183115,1.06164,0.0126718,0.967215,0.697214,0.780848
20,q_mid,1666,1.36415,0.0494412,0.927428,1.32406,1.56858,0.896438,-0.0029376,0.733651,0.32482,-0.0209616,1.01534,0.0140335,0.980363,0.712398,0.755345
20,q_high,1667,1.66021,0.0490235,0.944953,1.34414,1.58352,0.907434,0.000501281,0.721213,0.333775,-0.0222061,0.968201,0.0161981,0.972031,0.684493,0.744894
20,q_low_mchirp_low,1241,1.01414,0.0494657,0.91647,1.34303,1.54305,0.735296,-0.00055331,0.744195,0.295267,0.0333526,1.10203,0.0124561,0.968215,0.651191,0.798427
20,q_low_mchirp_high,426,1.28561,0.0494231,0.8916,1.38753,1.63885,-0.164741,0.000546275,0.758411,0.240811,-0.0246123,1.44955,0.0111254,0.963981,0.791737,0.713307
20,q_high_mchirp_low,544,1.48326,0.0484432,0.985834,1.28716,1.57183,0.747706,-0.00581738,0.692588,0.334601,-0.0170689,0.829547,0.0142936,1.00395,0.579536,0.800256
20,q_high_mchirp_high,1123,1.74593,0.0493046,0.92515,1.37174,1.58919,0.645933,-0.00107726,0.734504,0.333369,-0.0249421,1.05766,0.0170047,0.956768,0.697599,0.714487
25,full,5000,1.49525,0.049306,1.12505,1.53758,1.56819,0.895817,0.000585476,0.623361,-0.0514997,-0.00322132,1.01506,0.0213954,0.925554,1.20014,0.202377
25,snr_low,1667,2.37254,0.0491525,0.797736,1.68047,1.53751,0.747629,-0.000105227,-0.718841,-0.26639,-0.0254168,0.957733,0.0165425,1.33361,1.04609,0.25181
25,snr_mid,1666,1.19698,0.0498307,1.20848,1.54277,1.58419,0.957056,-0.000422919,-2.58768,-0.057,0.00239709,1.02076,0.0187345,1.80557,1.25505,0.186251
25,snr_high,1667,0.916036,0.0489352,1.36899,1.3895,1.58289,0.976486,0.00120957,-3.57528,0.167614,0.0114455,1.05363,0.0191618,1.58441,1.21351,0.160725
25,mchirp_low,2500,1.21764,0.0493239,1.11311,1.62328,1.56853,0.766334,0.00132486,0.625896,-0.130253,-0.00730492,0.967925,0.0213833,0.935828,1.14562,0.189524
25,mchirp_high,2500,1.77285,0.0492881,1.13699,1.45188,1.56785,0.593698,-0.000449074,0.620827,0.0283595,0.000329724,1.1778,0.0205275,0.915302,1.20775,0.204037
25,merger_early,2500,1.50732,0.0501722,1.14152,1.54311,1.57206,0.890768,-3.17704,0.610088,-0.0381246,0.00390231,1.01669,0.0432897,0.931916,1.18645,0.199319
25,merger_late,2500,1.48317,0.0484399,1.10858,1.53204,1.56432,0.900801,-2.76125,0.636267,-0.0654193,-0.0105737,1.01345,0.0419232,0.919298,1.21416,0.205442
25,q_low,1667,1.11229,0.0495263,1.0963,1.59827,1.58907,0.838716,0.0013642,0.644579,-0.127399,-0.0133001,1.04385,0.0177639,0.916229,1.21884,0.198453
25,q_mid,1666,1.54812,0.0493352,1.11741,1.51583,1.5469,0.874975,0.000540721,0.63396,-0.030774,0.0102366,1.05195,0.0206268,0.931268,1.20208,0.199343
25,q_high,1667,1.82536,0.0490567,1.16144,1.49862,1.5686,0.887021,-0.00131793,0.590563,0.00356684,-0.00665425,1.02528,0.0238041,0.929597,1.17545,0.202298
