epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_ra,mae_declination,mae_coa_phase,r2_mchirp,r2_merger_time,r2_snr,r2_ra,r2_declination,r2_coa_phase,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_ra,std_ratio_declination,std_ratio_coa_phase
10,q_high_mchirp_low,544,2.62176,0.0229663,3.0328,1.57785,0.621288,1.57377,0.411698,0.709603,-1.28863,0.0128721,-0.19189,-0.00522472,0.803907,0.783497,0.449245,0.0310657,0.406815,0.127888
10,q_high_mchirp_high,1123,5.29782,0.0175247,3.15374,1.57018,0.584926,1.55839,-1.13659,0.843864,-1.32923,0.00308226,-0.0752397,0.00662717,1.3796,0.863582,0.460481,0.0276185,0.431834,0.119693
15,full,5000,2.32394,0.0303782,2.64191,1.56051,0.545003,1.56149,0.796281,0.51921,-0.611273,0.00145048,0.0695371,0.00512751,0.978755,0.981473,0.865325,0.334849,0.450226,0.262453
15,snr_low,1667,3.50445,0.0412304,1.78406,1.55931,0.56203,1.50457,0.576029,0.188384,-5.67568,0.0114917,-0.0082829,0.00930024,0.758788,0.875737,1.13249,0.319638,0.357802,0.255836
15,snr_mid,1666,1.96922,0.0287524,2.86327,1.5771,0.530669,1.58867,0.878003,0.592182,-14.18,-0.0248866,0.0819716,-0.00256302,0.986729,1.00823,1.59014,0.323147,0.459698,0.265453
15,snr_high,1667,1.49793,0.0211507,3.27853,1.54512,0.542303,1.59126,0.926012,0.772721,-19.4063,0.0173204,0.130392,0.00871273,1.12476,1.02531,1.95168,0.360074,0.51364,0.261738
15,mchirp_low,2500,1.65813,0.0323965,2.68909,1.57521,0.546847,1.55452,0.605091,0.446126,-0.677483,0.0020725,0.0492104,0.00786001,0.982071,0.946233,0.869905,0.334898,0.428792,0.260261
15,mchirp_high,2500,2.98974,0.0283599,2.59473,1.5458,0.54316,1.56846,0.170734,0.592439,-0.545991,0.000644385,0.088975,0.0019251,1.21979,1.0156,0.859989,0.334726,0.470347,0.264666
15,merger_early,2500,2.37967,0.0359789,2.62555,1.56807,0.541498,1.58155,0.785903,-1.75987,-0.622846,0.00521398,0.0857397,-0.00434954,0.984971,1.55026,0.870891,0.334452,0.443081,0.260992
15,merger_late,2500,2.2682,0.0247775,2.65826,1.55294,0.548508,1.54143,0.806528,-0.108111,-0.600163,-0.0028306,0.0520466,0.0146649,0.971414,0.829009,0.859907,0.335165,0.454162,0.263612
15,q_low,1667,1.58454,0.0307243,2.5959,1.56856,0.534923,1.58448,0.744038,0.511405,-0.548679,0.0138165,0.0958112,0.00135791,1.04549,0.973151,0.873084,0.315996,0.447681,0.264611
15,q_mid,1666,2.34352,0.0303656,2.59677,1.55045,0.547547,1.5373,0.776493,0.512981,-0.5436,-0.0192752,0.0416389,0.0169149,1.03049,0.979961,0.867582,0.351106,0.456849,0.255191
15,q_high,1667,3.04375,0.0300446,2.73303,1.56251,0.552542,1.56268,0.752135,0.532877,-0.74581,0.00848673,0.0698969,-0.00307608,0.98023,0.991222,0.855341,0.337516,0.446389,0.267344
15,q_low_mchirp_low,1241,1.42079,0.0310425,2.60575,1.58818,0.532509,1.55837,0.560161,0.493739,-0.556013,0.0175573,0.0714879,0.0119462,1.11652,0.95326,0.871037,0.320878,0.442879,0.265695
15,q_low_mchirp_high,426,2.06158,0.0297973,2.56718,1.51138,0.541956,1.66057,-1.25194,0.563492,-0.527196,-0.00373696,0.158348,-0.0291713,1.75759,1.02903,0.878963,0.299141,0.460789,0.260965
15,q_high_mchirp_low,544,1.96906,0.0336141,2.91993,1.57799,0.570999,1.59475,0.60055,0.390785,-1.03476,-0.00644681,0.0253814,-0.0224515,0.849891,0.948796,0.847188,0.351388,0.401779,0.256183
15,q_high_mchirp_high,1123,3.56435,0.0283155,2.64249,1.55501,0.543601,1.54715,-0.0403581,0.597551,-0.61162,0.0157147,0.091535,0.00613211,1.26801,1.0119,0.856618,0.330567,0.466463,0.27258
20,full,5000,2.27736,0.0226808,1.20018,1.55863,0.56571,1.55448,0.811842,0.719963,0.567255,0.0015399,-0.0247429,0.0082429,0.792249,0.909073,0.879391,0.470339,0.470238,0.92264
20,snr_low,1667,3.42907,0.0281636,1.62385,1.56898,0.595099,1.55712,0.628458,0.567119,-5.32601,-0.00133658,-0.148444,-0.0538789,0.648351,0.836667,1.63126,0.4637,0.4243,0.951701
20,snr_mid,1666,2.06773,0.021506,1.24046,1.55329,0.543402,1.56529,0.858471,0.758565,-2.66817,-0.00364175,0.00381925,0.0207205,0.797438,0.926087,1.80653,0.481429,0.483849,0.920817
20,snr_high,1667,1.33516,0.0183721,0.736264,1.55363,0.558615,1.54105,0.942566,0.832092,-0.465272,0.0095423,0.0642938,0.052802,0.907117,0.954092,1.34164,0.465581,0.49522,0.89687
20,mchirp_low,2500,2.21894,0.0257579,1.17196,1.58747,0.566295,1.5556,0.203976,0.644234,0.583857,-0.00881027,-0.0423648,-0.000277146,0.919997,0.875666,0.887419,0.456179,0.461668,0.941837
20,mchirp_high,2500,2.33578,0.0196037,1.2284,1.5298,0.565125,1.55337,0.476067,0.795906,0.550818,0.0120707,-0.0080016,0.016198,0.894238,0.938449,0.869897,0.483573,0.478445,0.903073
20,merger_early,2500,2.22443,0.0176748,1.22655,1.56796,0.557419,1.55422,0.817038,0.368553,0.538038,9.77679e-05,0.0100205,0.0146034,0.794778,0.912778,0.889632,0.467072,0.459705,0.941241
20,merger_late,2500,2.33029,0.0276867,1.17381,1.54931,0.574001,1.55474,0.806671,-0.557609,0.595706,0.00256078,-0.0611765,0.00166811,0.78902,1.28694,0.869292,0.473575,0.475036,0.902276
20,q_low,1667,1.93193,0.0229196,1.20284,1.58263,0.55396,1.56012,0.622575,0.721312,0.568638,0.0102334,0.000924409,0.0154456,0.904046,0.902853,0.880727,0.452402,0.465696,0.928904
