epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_ra,mae_declination,mae_coa_phase,r2_mchirp,r2_merger_time,r2_snr,r2_ra,r2_declination,r2_coa_phase,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_ra,std_ratio_declination,std_ratio_coa_phase
10,q_high_mchirp_low,544,2.53708,0.0237789,2.54652,1.58677,0.565897,1.61023,0.42436,0.676787,-0.730481,-0.00870133,0.0248788,-0.0433326,0.648658,0.804977,0.526266,0.304286,0.338815,0.802442
10,q_high_mchirp_high,1123,7.2713,0.0169955,2.26071,1.5753,0.556433,1.59171,-1.87106,0.848286,-0.37049,-0.00789648,0.068596,-0.0413486,0.921752,0.88893,0.499086,0.291436,0.373142,0.751097
15,full,5000,2.8444,0.0237908,2.51593,1.56224,0.606992,1.56835,0.709663,0.699452,-0.530468,0.00236992,-0.186798,-0.00355695,0.789315,0.832694,0.667596,0.557931,0.353156,0.911639
15,snr_low,1667,3.97789,0.0288852,3.62001,1.5696,0.612846,1.58737,0.452424,0.543992,-23.1935,0.00510019,-0.226836,-0.0778062,0.763478,0.796721,1.52628,0.613472,0.282737,0.954659
15,snr_mid,1666,2.39752,0.0225999,2.67767,1.55935,0.609105,1.55121,0.813599,0.744966,-11.9597,-0.00187765,-0.230315,0.03172,0.787493,0.84689,1.28386,0.548341,0.35723,0.869117
15,snr_high,1667,2.15753,0.0198867,1.25022,1.55778,0.599024,1.56647,0.852135,0.807172,-2.41634,0.00379851,-0.110631,0.0296509,0.794074,0.848101,0.855187,0.5049,0.404834,0.865333
15,mchirp_low,2500,1.54,0.0258244,2.57751,1.55376,0.605029,1.57777,0.631945,0.645421,-0.609255,0.0246943,-0.198139,-0.0156012,0.938441,0.816209,0.668566,0.560706,0.347923,0.925871
15,mchirp_high,2500,4.14881,0.0217573,2.45436,1.57073,0.608954,1.55893,-0.291136,0.753605,-0.452752,-0.0208598,-0.17629,0.00788627,0.879071,0.848798,0.66592,0.553636,0.356324,0.873511
15,merger_early,2500,2.95498,0.0322795,2.53157,1.56672,0.629454,1.58716,0.686579,-0.988479,-0.571365,0.00641032,-0.254755,-0.0148133,0.788033,1.18096,0.673068,0.576011,0.352289,0.92939
15,merger_late,2500,2.73383,0.0153022,2.5003,1.55777,0.584529,1.54954,0.73248,0.553329,-0.490745,-0.00219277,-0.119165,0.00778976,0.789598,0.81291,0.662251,0.538877,0.348853,0.893192
15,q_low,1667,1.68989,0.0248784,2.58941,1.57076,0.598556,1.56061,0.673268,0.679107,-0.605925,0.0151536,-0.156804,0.0295036,0.932635,0.830636,0.664792,0.54033,0.362618,0.905986
15,q_mid,1666,2.74366,0.0235901,2.5354,1.5453,0.603586,1.55963,0.709855,0.70199,-0.537915,-0.016924,-0.200329,-0.0139786,0.845112,0.823597,0.665071,0.565764,0.35521,0.885195
15,q_high,1667,4.0996,0.0229039,2.423,1.57066,0.618831,1.58481,0.620229,0.717329,-0.447864,0.00761419,-0.204062,-0.0272664,0.772359,0.84225,0.672932,0.56724,0.341389,0.940993
15,q_low_mchirp_low,1241,1.4434,0.0255448,2.61457,1.56199,0.588102,1.55289,0.488747,0.664187,-0.636588,0.0462053,-0.150744,0.0245026,1.05394,0.821841,0.663451,0.534766,0.36627,0.920009
15,q_low_mchirp_high,426,2.40794,0.022937,2.51612,1.59633,0.629009,1.58308,-2.20861,0.723246,-0.516102,-0.090074,-0.175942,0.0424576,1.50808,0.85474,0.667478,0.559282,0.352919,0.841583
15,q_high_mchirp_low,544,1.65007,0.0265089,2.44877,1.53973,0.639859,1.60633,0.692295,0.602183,-0.524888,0.0314007,-0.292079,-0.0387039,0.824634,0.810652,0.66108,0.592362,0.316544,0.957609
15,q_high_mchirp_high,1123,5.2862,0.0211575,2.41052,1.58565,0.608644,1.57438,-0.695694,0.770174,-0.412119,-0.00397314,-0.161228,-0.0219301,0.898828,0.857797,0.678163,0.553353,0.350295,0.907794
20,full,5000,1.71399,0.0147165,0.945775,1.55255,0.540833,1.57671,0.886215,0.878907,0.728705,0.00888647,0.0833619,-0.00925605,0.936997,0.948258,0.931189,1.01124,0.441186,1.0739
20,snr_low,1667,2.48826,0.0178511,0.834325,1.55321,0.549415,1.61495,0.766894,0.808513,-0.894276,0.0113832,0.0349081,-0.108597,0.851675,0.909229,1.38478,1.002,0.350912,1.13218
20,snr_mid,1666,1.54451,0.0136022,1.0418,1.53619,0.539388,1.56904,0.925477,0.902858,-1.69099,0.0202429,0.062575,0.0254789,0.947163,0.963607,1.88518,1.02769,0.44921,1.04936
20,snr_high,1667,1.10909,0.0126956,0.961253,1.56824,0.533696,1.54614,0.961811,0.924326,-1.5459,-0.00485645,0.146934,0.0475207,1.00025,0.970368,1.50697,1.00379,0.504372,1.04086
20,mchirp_low,2500,1.49048,0.0163072,0.97444,1.54463,0.536158,1.58331,0.641635,0.846698,0.712106,0.0310812,0.0871146,-0.0226779,1.00719,0.933511,0.935412,1.00431,0.432826,1.07198
20,mchirp_high,2500,1.93749,0.0131258,0.91711,1.56047,0.545508,1.57011,0.61414,0.911206,0.745082,-0.0142082,0.0792242,0.00355007,1.01157,0.962542,0.926859,1.0184,0.449307,1.0753
20,merger_early,2500,1.72454,0.0144738,0.957187,1.55597,0.546954,1.57966,0.882609,0.512604,0.718352,0.0159002,0.063616,-0.00582053,0.942391,1.0463,0.933603,1.00442,0.436799,1.07783
20,merger_late,2500,1.70343,0.0149592,0.934363,1.54913,0.534712,1.57377,0.889771,0.526782,0.738772,0.00129836,0.10237,-0.0128569,0.930673,1.08948,0.928833,1.01834,0.436217,1.06813
20,q_low,1667,1.61422,0.0145478,0.923131,1.54164,0.530149,1.58245,0.742622,0.883468,0.741587,0.042721,0.113485,0.000759737,1.05368,0.952817,0.932427,0.995668,0.450816,1.05921
20,q_mid,1666,1.53824,0.0148287,0.931634,1.54995,0.54016,1.55387,0.889356,0.874512,0.740581,-0.0240978,0.0684397,-0.0003895,0.983685,0.945006,0.926234,1.04046,0.448341,1.06986
20,q_high,1667,1.9894,0.0147731,0.982552,1.56606,0.55219,1.59381,0.879693,0.87852,0.703179,0.00587743,0.0674903,-0.0286186,0.927357,0.94617,0.935294,0.998502,0.424292,1.09273
