epoch,circular_loss_combo_A,circular_loss_combo_B,kappa_sky_position,loss,mae_inclination,mae_mchirp,mae_merger_time,mae_snr,r2_inclination,r2_mchirp,r2_merger_time,r2_snr,std_ratio_inclination,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,val_circular_loss_combo_A,val_circular_loss_combo_B,val_kappa_sky_position,val_loss,val_mae_inclination,val_mae_mchirp,val_mae_merger_time,val_mae_snr,val_r2_inclination,val_r2_mchirp,val_r2_merger_time,val_r2_snr,val_std_ratio_inclination,val_std_ratio_mchirp,val_std_ratio_merger_time,val_std_ratio_snr,val_weight_combo_A,val_weight_combo_B,val_weight_inclination,val_weight_mchirp,val_weight_merger_time,val_weight_sky_position,val_weight_snr,weight_combo_A,weight_combo_B,weight_inclination,weight_mchirp,weight_merger_time,weight_sky_position,weight_snr
0,1.0112240314483643,1.0041972398757935,0.15635840594768524,5.748216152191162,0.8067566752433777,1.30608332157135,0.29520079493522644,0.9938499331474304,-0.9781134128570557,-4.593382358551025,-0.5336610078811646,-0.5451024770736694,0.978362500667572,2.1406867504119873,0.727114200592041,0.8411582708358765,1.002806305885315,1.0119197368621826,0.09999995678663254,4.671788215637207,0.749069333076477,0.8202997446060181,0.29904547333717346,0.7923237085342407,-0.6918237805366516,0.015558838844299316,-0.627130389213562,0.10122138261795044,0.8317153453826904,0.2212747484445572,0.15281818807125092,0.2779593765735626,1.1772955656051636,1.175045132637024,1.2176930904388428,1.0189510583877563,1.2182550430297852,0.8496450185775757,1.1596424579620361,1.0936448574066162,1.0924177169799805,1.106364369392395,0.9985837936401367,1.1061216592788696,0.9234036207199097,1.0607473850250244
1,1.0112361907958984,1.0027462244033813,0.10000019520521164,4.2800188064575195,0.7427607178688049,0.820759654045105,0.26381349563598633,0.7310948967933655,-0.6259561777114868,-0.0341261625289917,-0.17304468154907227,0.17802846431732178,0.7854737043380737,0.6016433835029602,0.47030386328697205,0.79206383228302,1.002806305885315,1.0119197368621826,0.09999995678663254,3.7201709747314453,0.6615483164787292,0.8156000375747681,0.2404671162366867,0.6225619912147522,-0.1691274642944336,-0.005236268043518066,0.02687549591064453,0.41434937715530396,0.381878525018692,0.41763243079185486,0.24190957844257355,0.6616056561470032,1.2783381938934326,1.277664303779602,1.4751967191696167,1.098453402519226,1.4828225374221802,0.7302037477493286,1.4361735582351685,1.2335058450698853,1.2361054420471191,1.3421066999435425,1.055660605430603,1.3470321893692017,0.7867040038108826,1.2922923564910889
2,1.0112361907958984,1.0027462244033813,0.10000019520521164,3.4925835132598877,0.7033831477165222,0.768805742263794,0.2347051501274109,0.6437031030654907,-0.39132869243621826,0.08873826265335083,0.06437546014785767,0.35801440477371216,0.6151280999183655,0.6321415305137634,0.46018186211586,0.8093132972717285,1.002806305885315,1.0119197368621826,0.09999995678663254,3.5211358070373535,0.6696221828460693,0.7464534044265747,0.18740902841091156,0.9334789514541626,-0.20129168033599854,0.15863317251205444,0.37876468896865845,-0.2072455883026123,0.4141130745410919,0.5563485622406006,0.49834543466567993,0.8301160931587219,1.3128851652145386,1.3203622102737427,1.7709013223648071,1.2113316059112549,1.8051002025604248,0.6412215828895569,1.7612354755401611,1.299300193786621,1.3000911474227905,1.6224124431610107,1.1522878408432007,1.6392706632614136,0.6833242177963257,1.5946623086929321
3,1.0112358331680298,1.0027457475662231,0.10000019520521164,2.830456256866455,0.6895344853401184,0.7171867489814758,0.18522070348262787,0.5926509499549866,-0.32331544160842896,0.19679570198059082,0.37163257598876953,0.4533016085624695,0.5661807060241699,0.6708075404167175,0.6572247743606567,0.8249942660331726,1.002806305885315,1.0119197368621826,0.09999995678663254,2.4440817832946777,0.6527226567268372,0.5691416263580322,0.1361890733242035,0.666362464427948,-0.09306949377059937,0.48653751611709595,0.6179741621017456,0.3314935564994812,0.293891578912735,0.6964089274406433,0.7370720505714417,0.8541573286056519,1.3216438293457031,1.3348159790039062,2.080325126647949,1.3589590787887573,2.2011210918426514,0.5746179819107056,2.1326041221618652,1.317854642868042,1.32654869556427,1.9262410402297974,1.2820334434509277,1.9971624612808228,0.6061593890190125,1.9436599016189575
4,1.0112360715866089,1.0027459859848022,0.10000019520521164,2.150531768798828,0.6770113110542297,0.6112209558486938,0.14996030926704407,0.5519033670425415,-0.24250704050064087,0.3974645137786865,0.5644879341125488,0.5216982364654541,0.489218533039093,0.7424139976501465,0.796532154083252,0.8448308706283569,1.002806305885315,1.0119197368621826,0.09999995678663254,1.6302188634872437,0.6612145304679871,0.5200822949409485,0.1153191328048706,0.4673229157924652,-0.1588619351387024,0.5376764535903931,0.7213652729988098,0.657921552658081,0.35217371582984924,0.7089847326278687,0.8464164733886719,0.8340185880661011,1.3244349956512451,1.3285056352615356,2.403235912322998,1.562984585762024,2.685819149017334,0.5245534777641296,2.5599803924560547,1.3203065395355225,1.3305158615112305,2.2431581020355225,1.4563313722610474,2.4367146492004395,0.5482695698738098,2.3374600410461426
5,1.0112360715866089,1.002746343612671,0.10000019520521164,1.4872792959213257,0.6621986627578735,0.5072084069252014,0.13689342141151428,0.5145240426063538,-0.1649080514907837,0.5689447522163391,0.6293308734893799,0.5847058892250061,0.4189987778663635,0.82087242603302,0.8771898746490479,0.8608003258705139,1.002806305885315,1.0119197368621826,0.09999995678663254,0.905437171459198,0.6451107859611511,0.3823505640029907,0.10426326096057892,0.4381523132324219,-0.0573311448097229,0.7437722086906433,0.7671647667884827,0.6908243894577026,0.2343447059392929,0.8306066989898682,0.9273695349693298,0.8722296357154846,1.3183366060256958,1.3368712663650513,2.7344954013824463,1.8413969278335571,3.2735424041748047,0.48691827058792114,3.0506670475006104,1.3249435424804688,1.328895926475525,2.573702573776245,1.6974800825119019,2.9714648723602295,0.5047494769096375,2.7982981204986572
6,1.0112361907958984,1.0027464628219604,0.10000019520521164,0.9284414052963257,0.6630996465682983,0.4581248164176941,0.12125945836305618,0.4795588552951813,-0.1661853790283203,0.6466790437698364,0.7076213359832764,0.6375579833984375,0.4197678864002228,0.8750249743461609,0.8890444040298462,0.8591283559799194,1.002806305885315,1.0119197368621826,0.09999995678663254,0.6642311811447144,0.6600243449211121,0.5396409034729004,0.0960036963224411,0.4369905889034271,-0.13558286428451538,0.6020817756652832,0.8035856485366821,0.6945703029632568,0.289900004863739,0.8667446374893188,0.9789252281188965,0.8515514135360718,1.3246393203735352,1.3274996280670166,3.011047124862671,2.1843490600585938,3.9891810417175293,0.45882734656333923,3.611494541168213,1.3187288045883179,1.3383392095565796,2.8740711212158203,2.0078792572021484,3.6214516162872314,0.47211000323295593,3.3283233642578125
7,1.0112361907958984,1.0027461051940918,0.10000019520521164,0.41294628381729126,0.6575119495391846,0.410199910402298,0.11499544233083725,0.46430015563964844,-0.13782262802124023,0.7120387554168701,0.7367235422134399,0.6615397930145264,0.38687244057655334,0.8965360522270203,0.9070128798484802,0.8719725012779236,1.002806305885315,1.0119197368621826,0.09999995678663254,0.27713197469711304,0.6513105630874634,0.4635004997253418,0.09271471202373505,0.47512078285217285,-0.10549646615982056,0.6769042015075684,0.8123857975006104,0.6431787014007568,0.2818571925163269,0.9917619228363037,0.9512913823127747,0.9168068766593933,1.3197582960128784,1.3342636823654175,3.240751266479492,2.6091761589050293,4.855712413787842,0.43814462423324585,4.183624267578125,1.3270374536514282,1.326079249382019,3.1366448402404785,2.391385555267334,4.411073207855225,0.4478932321071625,3.9117214679718018
8,1.0112357139587402,1.002746343612671,0.10000019520521164,-0.10105114430189133,0.6534353494644165,0.36037230491638184,0.11673685163259506,0.44182437658309937,-0.11157041788101196,0.7717489004135132,0.7280517816543579,0.6912543773651123,0.3444069027900696,0.9104560017585754,0.937089741230011,0.8728771209716797,1.002806305885315,1.0119197368621826,0.09999995678663254,-0.3420264720916748,0.6863600611686707,0.30238473415374756,0.12174250930547714,0.39911168813705444,-0.31319868564605713,0.8339333534240723,0.7082722187042236,0.7389575242996216,0.530076801776886,0.9559466242790222,0.976696252822876,0.9030813574790955,1.3264800310134888,1.3322713375091553,3.4274208545684814,3.13875412940979,5.896531105041504,0.4232054650783539,4.811641693115234,1.3173288106918335,1.3318934440612793,3.344114065170288,2.8648393154144287,5.362855911254883,0.43021833896636963,4.501852989196777
9,1.0112361907958984,1.0027459859848022,0.10000019520521164,-0.5106920003890991,0.6549858450889587,0.339996874332428,0.1056855097413063,0.43301624059677124,-0.12724167108535767,0.7955764532089233,0.7756010293960571,0.7035530805587769,0.37319040298461914,0.9241500496864319,0.9289109110832214,0.8767056465148926,1.002806305885315,1.0119197368621826,0.09999995678663254,-1.0015095472335815,0.6409479379653931,0.28472161293029785,0.08524762094020844,0.39589163661003113,-0.028189361095428467,0.860129714012146,0.8429852724075317,0.746201753616333,0.15072955191135406,0.9391478896141052,0.9854496121406555,0.8683151602745056,1.3200026750564575,1.3342159986495972,3.5256893634796143,3.7579360008239746,7.1620893478393555,0.41271519660949707,5.424194812774658,1.3250455856323242,1.3283944129943848,3.4672224521636963,3.4453866481781006,6.512076377868652,0.4176059663295746,5.125419616699219
