epoch,circular_loss_combo_A,circular_loss_combo_B,kappa_sky_position,loss,mae_inclination,mae_mchirp,mae_merger_time,mae_snr,r2_inclination,r2_mchirp,r2_merger_time,r2_snr,std_ratio_coa_phase,std_ratio_inclination,std_ratio_mchirp,std_ratio_merger_time,std_ratio_polarization_angle,std_ratio_snr,val_circular_loss_combo_A,val_circular_loss_combo_B,val_kappa_sky_position,val_loss,val_mae_inclination,val_mae_mchirp,val_mae_merger_time,val_mae_snr,val_r2_inclination,val_r2_mchirp,val_r2_merger_time,val_r2_snr,val_std_ratio_coa_phase,val_std_ratio_inclination,val_std_ratio_mchirp,val_std_ratio_merger_time,val_std_ratio_polarization_angle,val_std_ratio_snr,val_weight_combo_A,val_weight_combo_B,val_weight_inclination,val_weight_mchirp,val_weight_merger_time,val_weight_sky_position,val_weight_snr,weight_combo_A,weight_combo_B,weight_inclination,weight_mchirp,weight_merger_time,weight_sky_position,weight_snr
0,1.0037425756454468,0.9996920228004456,0.15618513524532318,6.030637264251709,0.9338396787643433,1.2993351221084595,0.292594850063324,1.0212198495864868,-1.8266805410385132,-4.579122543334961,-0.5038567781448364,-0.6317905187606812,3.488863468170166,1.3442145586013794,2.1339290142059326,0.7113191485404968,3.572267532348633,0.8470797538757324,0.998512864112854,1.0062934160232544,0.09999995678663254,4.6318864822387695,0.6610654592514038,0.8491030931472778,0.27487003803253174,0.8366669416427612,-0.1471691131591797,-0.03816688060760498,-0.3360692262649536,0.02231907844543457,1.949326992034912,0.35358771681785583,0.1889410763978958,0.17263206839561462,1.4924088716506958,0.21467839181423187,1.1808445453643799,1.1765797138214111,1.1842539310455322,1.0192791223526,1.2181310653686523,0.8496222496032715,1.1501044034957886,1.0951309204101562,1.0922343730926514,1.0735914707183838,0.9988974928855896,1.1060619354248047,0.9233908653259277,1.0575087070465088
1,1.0032566785812378,0.9988316297531128,0.10000019520521164,4.481914520263672,0.7592424750328064,0.8431755900382996,0.26639699935913086,0.7814309000968933,-0.6872518658638,-0.08675432205200195,-0.19614064693450928,0.084952712059021,3.537468671798706,0.8208599090576172,0.5487494468688965,0.4556809961795807,2.958946704864502,0.6795631647109985,0.9877676963806152,0.9910792708396912,0.09999995678663254,3.8118228912353516,0.6764606237411499,0.8216689229011536,0.24986548721790314,0.6438784599304199,-0.26825159788131714,-0.02646470069885254,-0.048388004302978516,0.37290722131729126,2.032438278198242,0.45011669397354126,0.43530216813087463,0.2003440409898758,2.2445950508117676,0.5974783301353455,1.289615511894226,1.284260630607605,1.447590947151184,1.0958164930343628,1.482120394706726,0.730178713798523,1.4157859086990356,1.2393229007720947,1.2371934652328491,1.312337875366211,1.0547398328781128,1.3466328382492065,0.7866792678833008,1.2776625156402588
2,1.0055307149887085,1.0029891729354858,0.10000019520521164,3.7824299335479736,0.7125692367553711,0.7977880239486694,0.25749409198760986,0.7177330255508423,-0.43141061067581177,0.02070486545562744,-0.1032036542892456,0.21720170974731445,3.3285443782806396,0.6450416445732117,0.5920597314834595,0.3949868679046631,3.384864330291748,0.7604882717132568,0.9968980550765991,1.0040806531906128,0.09999995678663254,3.2140631675720215,0.7032173275947571,0.7755371928215027,0.24789854884147644,0.594292163848877,-0.4093881845474243,0.10917669534683228,-0.04606008529663086,0.4524350166320801,1.1120331287384033,0.3794129192829132,0.46028387546539307,0.18560928106307983,1.5519437789916992,0.6861945390701294,1.3216207027435303,1.3172290325164795,1.7455952167510986,1.2035067081451416,1.8008549213409424,0.6411952376365662,1.7101026773452759,1.3079936504364014,1.3059706687927246,1.5965577363967896,1.147454857826233,1.637319564819336,0.6832984089851379,1.5622681379318237
3,1.003482460975647,1.004555344581604,0.10000019520521164,3.0921552181243896,0.6942837238311768,0.7652838826179504,0.2449856996536255,0.6292467713356018,-0.34232181310653687,0.10020768642425537,-7.62939453125e-05,0.39130115509033203,2.971804618835449,0.5863504409790039,0.5828574299812317,0.39704468846321106,3.1493821144104004,0.7620480060577393,1.0045557022094727,0.9989914894104004,0.09999995678663254,2.937596321105957,0.6489191651344299,0.7578932046890259,0.21185162663459778,0.7629691362380981,-0.07289367914199829,0.13867992162704468,0.22461169958114624,0.1586472988128662,2.8089911937713623,0.2676636278629303,0.5098199248313904,0.30144140124320984,1.4122707843780518,0.819607138633728,1.3275830745697021,1.3255841732025146,2.0596768856048584,1.339603304862976,2.186272382736206,0.5745958685874939,2.0802254676818848,1.3282268047332764,1.320688247680664,1.9003500938415527,1.2692499160766602,1.9882704019546509,0.6061352491378784,1.890951156616211
4,1.0091660022735596,1.000477910041809,0.10000019520521164,2.5104618072509766,0.6789398789405823,0.7315636277198792,0.21500465273857117,0.5914616584777832,-0.25546741485595703,0.17280715703964233,0.2092331051826477,0.45460593700408936,2.8023595809936523,0.4990682303905487,0.63088059425354,0.4818626046180725,3.0093255043029785,0.797697126865387,0.9952473640441895,0.9956958293914795,0.09999995678663254,2.247466802597046,0.6511757969856262,0.7447232007980347,0.16629309952259064,0.637519359588623,-0.07680189609527588,0.16717475652694702,0.5113919973373413,0.36895084381103516,2.121554136276245,0.27426835894584656,0.585600733757019,0.5261048078536987,1.3584758043289185,0.7488566040992737,1.3260506391525269,1.3255528211593628,2.3828656673431396,1.5031659603118896,2.657318115234375,0.5245360136032104,2.48883318901062,1.329190969467163,1.3270785808563232,2.224012613296509,1.4197372198104858,2.4149627685546875,0.5482487678527832,2.279845952987671
5,1.0075277090072632,0.9949195981025696,0.10000019520521164,1.920570731163025,0.6645397543907166,0.662346363067627,0.18368560075759888,0.5633209943771362,-0.17562639713287354,0.30690401792526245,0.3836785554885864,0.5043790936470032,2.42568039894104,0.42509928345680237,0.6573859453201294,0.6358060240745544,3.0525200366973877,0.8179718852043152,1.0016649961471558,1.0106329917907715,0.09999995678663254,1.5672922134399414,0.6645570993423462,0.5675579905509949,0.13405421376228333,0.5823909044265747,-0.17752641439437866,0.4959225654602051,0.6458824872970581,0.4800235629081726,1.5107632875442505,0.311895489692688,0.6454756855964661,0.693699061870575,1.1645786762237549,0.8735341429710388,1.3253557682037354,1.339031457901001,2.7156291007995605,1.7164264917373657,3.2332377433776855,0.4869067668914795,2.931648015975952,1.328798532485962,1.3332045078277588,2.555921792984009,1.6036487817764282,2.937079906463623,0.5047346353530884,2.701035261154175
6,0.9951223731040955,1.003709316253662,0.10000019520521164,1.3582504987716675,0.6631704568862915,0.6022863984107971,0.15123985707759857,0.5293657183647156,-0.1608424186706543,0.4117377996444702,0.5609831809997559,0.5604835748672485,2.4846959114074707,0.41096067428588867,0.7591661214828491,0.7469162940979004,2.148855209350586,0.8309869170188904,1.0087612867355347,0.9900006651878357,0.09999995678663254,0.7449749112129211,0.6397980451583862,0.4800560474395752,0.12073981761932373,0.4679146409034729,-0.027763545513153076,0.606173574924469,0.6975390315055847,0.6523932218551636,1.1994884014129639,0.17190085351467133,0.7423335313796997,0.766543984413147,0.6811620593070984,0.7641046643257141,1.3456660509109497,1.3226460218429565,3.002237319946289,1.9828369617462158,3.940764904022217,0.4588216245174408,3.4162158966064453,1.335471272468567,1.3337500095367432,2.863340139389038,1.8415390253067017,3.577099561691284,0.47210192680358887,3.183847188949585
7,0.996616780757904,1.0067970752716064,0.10000019520521164,0.7664580941200256,0.658879816532135,0.5053054094314575,0.13314923644065857,0.4896407127380371,-0.13738274574279785,0.5687820911407471,0.6510868072509766,0.6221122741699219,2.065073251724243,0.3787079155445099,0.7978520393371582,0.8253281712532043,2.556598663330078,0.8407216668128967,0.994865894317627,0.9936248064041138,0.09999995678663254,0.40387803316116333,0.6409286260604858,0.5328347086906433,0.10405868291854858,0.45924702286720276,-0.02453327178955078,0.5657428503036499,0.764792799949646,0.6620203852653503,1.3339380025863647,0.16327376663684845,0.9005329012870789,0.8683445453643799,0.5585504174232483,0.8863247632980347,1.3478200435638428,1.3239812850952148,3.2341060638427734,2.3458244800567627,4.802703380584717,0.43814006447792053,3.979658603668213,1.3424606323242188,1.3256051540374756,3.1249539852142334,2.159296989440918,4.359762191772461,0.4478873312473297,3.701378583908081
8,1.0038493871688843,1.0001065731048584,0.10000019520521164,0.2831675112247467,0.6551289558410645,0.46322953701019287,0.12635451555252075,0.4665619134902954,-0.11926645040512085,0.6347839832305908,0.6821714639663696,0.6557908058166504,2.441912889480591,0.35177743434906006,0.8471383452415466,0.8805422782897949,2.337754964828491,0.8530526757240295,0.9953916072845459,0.9933505058288574,0.09999995678663254,0.014499965123832226,0.6784539818763733,0.42334896326065063,0.10923105478286743,0.41595736145973206,-0.2624768614768982,0.7167906761169434,0.7517901062965393,0.7204735279083252,3.7222702503204346,0.46780654788017273,0.8579791188240051,0.9177999496459961,0.6862073540687561,0.8992598652839661,1.3411295413970947,1.327591061592102,3.4210593700408936,2.7857131958007812,5.843764305114746,0.42320066690444946,4.585693836212158,1.3373045921325684,1.3311779499053955,3.3330321311950684,2.556950092315674,5.309197902679443,0.43021559715270996,4.278736114501953
9,0.9944143891334534,0.9913153648376465,0.10000019520521164,-0.22634726762771606,0.6510761976242065,0.4058258533477783,0.11858227849006653,0.4560522735118866,-0.10211426019668579,0.7125292420387268,0.7189637422561646,0.6733615398406982,2.213881731033325,0.3369830250740051,0.8712387681007385,0.9182230830192566,1.9917956590652466,0.8589072823524475,0.9876985549926758,0.9913536310195923,0.09999995678663254,-0.7529580593109131,0.639916181564331,0.30804646015167236,0.09695009142160416,0.43630194664001465,-0.019328415393829346,0.826938271522522,0.8004783391952515,0.6972063779830933,0.43887224793434143,0.1278698593378067,0.8997989296913147,0.9690275192260742,0.7091917395591736,0.8163549900054932,1.3521500825881958,1.342578649520874,3.5547573566436768,3.3367226123809814,7.1022210121154785,0.41271036863327026,5.167660236358643,1.3494917154312134,1.3324370384216309,3.4815239906311035,3.055341958999634,6.4561333656311035,0.4176022410392761,4.88322639465332
