epoch,circular_loss_combo_A,circular_loss_combo_B,kappa_sky_position,loss,mae_inclination,mae_mchirp,mae_merger_time,mae_snr,r2_inclination,r2_mchirp,r2_merger_time,r2_snr,std_ratio_inclination,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,val_circular_loss_combo_A,val_circular_loss_combo_B,val_kappa_sky_position,val_loss,val_mae_inclination,val_mae_mchirp,val_mae_merger_time,val_mae_snr,val_r2_inclination,val_r2_mchirp,val_r2_merger_time,val_r2_snr,val_std_ratio_inclination,val_std_ratio_mchirp,val_std_ratio_merger_time,val_std_ratio_snr,val_weight_combo_A,val_weight_combo_B,val_weight_inclination,val_weight_mchirp,val_weight_merger_time,val_weight_sky_position,val_weight_snr,weight_combo_A,weight_combo_B,weight_inclination,weight_mchirp,weight_merger_time,weight_sky_position,weight_snr
0,0.9939796924591064,1.0075691938400269,0.15667307376861572,5.870459079742432,0.924781322479248,1.2983883619308472,0.29650798439979553,1.0215811729431152,-1.779357671737671,-4.575768947601318,-0.5376561880111694,-0.6323662996292114,1.325677514076233,2.1327006816864014,0.7262123227119446,0.857696533203125,1.00251305103302,1.0116498470306396,0.09999995678663254,4.6249799728393555,0.6681827902793884,0.8562612533569336,0.3141658902168274,0.8031682968139648,-0.1845024824142456,-0.10342252254486084,-0.8040426969528198,0.10118579864501953,0.352223664522171,0.19460147619247437,0.13611650466918945,0.25496840476989746,1.1754024028778076,1.173340082168579,1.1861608028411865,1.019283413887024,1.2184360027313232,0.8497084379196167,1.1493327617645264,1.0923681259155273,1.091139793395996,1.0736926794052124,0.9989754557609558,1.1061702966690063,0.9234406352043152,1.0571620464324951
1,0.9900596141815186,1.0043319463729858,0.10000019520521164,4.317017078399658,0.7540825009346008,0.8399670124053955,0.2628631591796875,0.7545444965362549,-0.6657889485359192,-0.07912838459014893,-0.15887463092803955,0.14042139053344727,0.8094435334205627,0.5599531531333923,0.44590336084365845,0.7197260856628418,0.9988508820533752,1.0116629600524902,0.09999995678663254,3.724158525466919,0.7002198100090027,0.7704030275344849,0.23980548977851868,0.6042593717575073,-0.360318660736084,0.12622207403182983,0.04559510946273804,0.4364417791366577,0.46517208218574524,0.44029441475868225,0.2174612283706665,0.6437766551971436,1.292587161064148,1.2757387161254883,1.4469149112701416,1.096126675605774,1.483241081237793,0.7302718162536621,1.4261122941970825,1.2399543523788452,1.2345021963119507,1.3144557476043701,1.0546579360961914,1.3472973108291626,0.7867721319198608,1.281417965888977
2,0.9914184212684631,1.0039145946502686,0.10000019520521164,3.565537691116333,0.7154315114021301,0.7837439775466919,0.2444201558828354,0.6785914301872253,-0.4511452913284302,0.05715763568878174,-0.00503849983215332,0.2900773286819458,0.6644546389579773,0.5870411396026611,0.4279979169368744,0.8071243762969971,0.9991334676742554,1.0117443799972534,0.09999995678663254,3.178851366043091,0.661401629447937,0.765178918838501,0.21073541045188904,0.6629122495651245,-0.15524977445602417,0.12113326787948608,0.23527789115905762,0.3341427445411682,0.3704809248447418,0.4765370786190033,0.3019912540912628,0.7497790455818176,1.3377315998077393,1.3188121318817139,1.7385908365249634,1.2064905166625977,1.8040459156036377,0.6412854790687561,1.738426923751831,1.3187780380249023,1.2988594770431519,1.5926018953323364,1.1488583087921143,1.6392841339111328,0.6833903193473816,1.579412817955017
3,0.9915564060211182,1.0029462575912476,0.10000019520521164,2.9007997512817383,0.6966380476951599,0.7524136900901794,0.20827682316303253,0.6039990782737732,-0.3552544116973877,0.12595683336257935,0.23909991979599,0.4320313334465027,0.599411129951477,0.606508731842041,0.5391822457313538,0.7976323962211609,0.9995522499084473,1.0115721225738525,0.09999995678663254,2.824681282043457,0.6787554025650024,0.7441398501396179,0.146174818277359,0.7361597418785095,-0.2565963864326477,0.1769726276397705,0.5972586870193481,0.2024044394493103,0.409591406583786,0.5969165563583374,0.6061669588088989,0.8422380685806274,1.3435660600662231,1.334689974784851,2.0473198890686035,1.3455458879470825,2.196388006210327,0.5746763944625854,2.1124625205993652,1.3469340801239014,1.3259104490280151,1.891634464263916,1.2729369401931763,1.9943525791168213,0.6062208414077759,1.9226831197738647
4,0.989061176776886,1.003838300704956,0.10000019520521164,2.2424001693725586,0.6808133721351624,0.6816550493240356,0.16422684490680695,0.5534776449203491,-0.26362907886505127,0.2709307074546814,0.49109864234924316,0.5202799439430237,0.5097110271453857,0.6516797542572021,0.7135815620422363,0.8183100819587708,1.0004957914352417,1.0113284587860107,0.09999995678663254,1.6806949377059937,0.6470213532447815,0.5595740675926208,0.12514719367027283,0.4798648953437805,-0.07384192943572998,0.5053451061248779,0.6833437085151672,0.6331932544708252,0.24723376333713531,0.6781405806541443,0.7478122711181641,0.8410833477973938,1.3505631685256958,1.3270161151885986,2.3684792518615723,1.5264588594436646,2.6788504123687744,0.5246047973632812,2.5505547523498535,1.3526955842971802,1.329513669013977,2.2123935222625732,1.432979702949524,2.430806875228882,0.5483243465423584,2.326465129852295
5,0.9901664853096008,1.003689169883728,0.10000019520521164,1.591313362121582,0.6646245718002319,0.57747882604599,0.1480630338191986,0.5192478895187378,-0.17724990844726562,0.4615817070007324,0.5702110528945923,0.5756271481513977,0.4293386936187744,0.7665489315986633,0.8150908350944519,0.8486065864562988,0.9989174008369446,1.0114169120788574,0.09999995678663254,1.3990862369537354,0.6641826629638672,0.5777184963226318,0.11204372346401215,0.5340926051139832,-0.17009776830673218,0.5182980298995972,0.7357996702194214,0.5593703389167786,0.42306438088417053,0.8612104058265686,0.8122079968452454,0.8638562560081482,1.3546665906906128,1.3336256742477417,2.7009222507476807,1.777893304824829,3.264061450958252,0.4869624972343445,3.045081853866577,1.3492618799209595,1.3289813995361328,2.5417563915252686,1.6465376615524292,2.9634857177734375,0.5047965049743652,2.7974226474761963
6,0.9900996088981628,1.0034371614456177,0.10000019520521164,0.9824422597885132,0.6651433110237122,0.4904663562774658,0.13334381580352783,0.47791624069213867,-0.1746644377708435,0.6024384498596191,0.6490652561187744,0.63897305727005,0.4272720217704773,0.8456770181655884,0.8666178584098816,0.8550384044647217,0.9989719986915588,1.0109894275665283,0.09999995678663254,0.7186001539230347,0.6506820917129517,0.44152364134788513,0.09870123863220215,0.5052357912063599,-0.09371066093444824,0.701033353805542,0.7950507998466492,0.597703754901886,0.2675958275794983,0.8437975645065308,0.9248124957084656,0.8680578470230103,1.351582407951355,1.3268479108810425,2.9804744720458984,2.1080448627471924,3.9758708477020264,0.45886164903640747,3.6237645149230957,1.3559514284133911,1.3372204303741455,2.8440091609954834,1.9356231689453125,3.6103222370147705,0.4721505045890808,3.3352184295654297
7,0.9898114800453186,1.0033985376358032,0.10000019520521164,0.4615330994129181,0.6592274904251099,0.4412343502044678,0.12131655216217041,0.4629143178462982,-0.1399415135383606,0.6736583709716797,0.7040278911590576,0.6631771326065063,0.381835401058197,0.8832737803459167,0.903086245059967,0.86700040102005,0.9987756609916687,1.0102753639221191,0.09999995678663254,0.2900238037109375,0.643317461013794,0.5180963277816772,0.09365767985582352,0.45746737718582153,-0.03716385364532471,0.6139315366744995,0.8081242442131042,0.6644026041030884,0.1670195311307907,0.9539908766746521,0.9598067998886108,0.8841826319694519,1.3553084135055542,1.3342934846878052,3.2156124114990234,2.5152945518493652,4.839946746826172,0.43816763162612915,4.213515281677246,1.3511866331100464,1.3254106044769287,3.1109020709991455,2.306440591812134,4.396058559417725,0.44792085886001587,3.9297854900360107
8,0.9894689917564392,1.003488302230835,0.10000019520521164,-0.023084688931703568,0.6556699872016907,0.4019491970539093,0.11730651557445526,0.4410637319087982,-0.12149584293365479,0.7238788604736328,0.7257667779922485,0.6886564493179321,0.3575936257839203,0.9041673541069031,0.9203334450721741,0.8797802329063416,0.9984827041625977,1.010313630104065,0.09999995678663254,-0.19310767948627472,0.6940625905990601,0.3770619332790375,0.11676627397537231,0.4063819348812103,-0.3475249409675598,0.777908205986023,0.7257803082466125,0.7344866394996643,0.5605021715164185,0.9690128564834595,0.9769687652587891,0.8572675585746765,1.3498914241790771,1.334686279296875,3.4063804149627686,3.0093607902526855,5.883968830108643,0.4232160449028015,4.844788551330566,1.357620120048523,1.3301074504852295,3.316851854324341,2.7541587352752686,5.348494052886963,0.4302372932434082,4.531257629394531
9,0.9895263314247131,1.0034663677215576,0.10000019520521164,-0.49041515588760376,0.6522524952888489,0.3573877513408661,0.10878302156925201,0.43098998069763184,-0.11235219240188599,0.7747921943664551,0.762675404548645,0.7051564455032349,0.3548852503299713,0.9127097725868225,0.9317806363105774,0.8780829310417175,0.9992982149124146,1.0096129179000854,0.09999995678663254,-0.96404629945755,0.6391987800598145,0.26456448435783386,0.08437292277812958,0.4096854627132416,-0.0180894136428833,0.8679543137550354,0.8465532660484314,0.7335803508758545,0.1306808739900589,0.9430398941040039,0.9998420476913452,0.8267807364463806,1.3511507511138916,1.3349789381027222,3.5291285514831543,3.6111538410186768,7.149106025695801,0.4127122759819031,5.481387615203857,1.357157826423645,1.329463005065918,3.4658620357513428,3.3079495429992676,6.500185489654541,0.4176139831542969,5.167760848999023
