epoch,kappa_sky_position,loss,mae_coa_phase,mae_mchirp,mae_merger_time,mae_snr,r2_coa_phase,r2_mchirp,r2_merger_time,r2_snr,std_ratio_coa_phase,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,val_kappa_sky_position,val_loss,val_mae_coa_phase,val_mae_mchirp,val_mae_merger_time,val_mae_snr,val_r2_coa_phase,val_r2_mchirp,val_r2_merger_time,val_r2_snr,val_std_ratio_coa_phase,val_std_ratio_mchirp,val_std_ratio_merger_time,val_std_ratio_snr,val_weight_coa_phase,val_weight_mchirp,val_weight_merger_time,val_weight_sky_position,val_weight_snr,weight_coa_phase,weight_mchirp,weight_merger_time,weight_sky_position,weight_snr
0,0.1590714305639267,2.8462443351745605,0.6424998641014099,0.5850043892860413,0.20434418320655823,0.5400004982948303,-0.03492176532745361,0.4126296639442444,0.27197903394699097,0.5312326550483704,0.17879760265350342,0.6093838810920715,0.3592141270637512,0.7645595073699951,0.1271304190158844,3.575056552886963,0.7420788407325745,0.6154128909111023,0.17705830931663513,1.5179712772369385,-0.6505935788154602,0.44284147024154663,0.4005165696144104,-1.691277265548706,0.19348900020122528,0.5343570709228516,0.5453044176101685,0.7259968519210815,1.2139127254486084,1.2385064363479614,1.2182130813598633,0.8341733813285828,1.2317392826080322,1.1046199798583984,1.1116735935211182,1.1057829856872559,0.9121073484420776,1.1110059022903442
1,0.4118365943431854,1.6511282920837402,0.6359501481056213,0.35979199409484863,0.11092135310173035,0.39853861927986145,-0.011644721031188965,0.7609928250312805,0.7520887851715088,0.7468581199645996,0.15297375619411469,0.8553295135498047,0.7773407101631165,0.8700559139251709,2.0649666786193848,6.3609137535095215,0.7337671518325806,1.3963645696640015,0.26954013109207153,2.712623357772827,-0.6065028309822083,-1.2617619037628174,-0.229081392288208,-6.865018844604492,0.6578874588012695,0.639388382434845,0.46057263016700745,0.6276975870132446,1.4619677066802979,1.5351951122283936,1.4856064319610596,0.7160477638244629,1.5124132633209229,1.3360337018966675,1.3838502168655396,1.3483338356018066,0.7715153694152832,1.3692350387573242
2,0.5220263600349426,0.7913329601287842,0.6326090693473816,0.3021554946899414,0.09851731359958649,0.3720346689224243,0.0028315186500549316,0.8288315534591675,0.8005353212356567,0.7796427011489868,0.12905970215797424,0.9013583064079285,0.8727867007255554,0.8868956565856934,0.6298215985298157,1.1835781335830688,0.6589235067367554,0.5062976479530334,0.09628207236528397,0.7365398406982422,-0.16408681869506836,0.6034531593322754,0.8044474124908447,0.20415890216827393,0.3289039433002472,0.7617235779762268,0.8443165421485901,0.6538106203079224,1.7443532943725586,1.8895950317382812,1.8096287250518799,0.6303616166114807,1.8441994190216064,1.6013281345367432,1.7087228298187256,1.643228530883789,0.6707276105880737,1.6750737428665161
3,0.6035127639770508,0.025266233831644058,0.6299728155136108,0.26321879029273987,0.09203803539276123,0.3524229824542999,0.006103515625,0.8707845211029053,0.8271271586418152,0.8017169237136841,0.1603761613368988,0.9247686862945557,0.8991197347640991,0.8999435305595398,0.22822043299674988,0.8666779398918152,0.638955295085907,0.3434201776981354,0.09541569650173187,0.9907231330871582,-0.02714604139328003,0.7741228938102722,0.8044588565826416,-0.2501753568649292,0.15978239476680756,0.8185230493545532,0.8941342234611511,0.8567191958427429,2.056063175201416,2.318909168243408,2.203021287918091,0.5677464604377747,2.239267587661743,1.899207592010498,2.1003308296203613,2.001061201095581,0.5973325371742249,2.037903070449829
4,0.6376030445098877,-0.6650474667549133,0.6242688298225403,0.2548563778400421,0.08822028338909149,0.3321895897388458,0.02374008297920227,0.8852622509002686,0.8421555757522583,0.8236716985702515,0.16326259076595306,0.9396101236343384,0.9081045389175415,0.9128111600875854,0.792486310005188,3.755955219268799,0.7177521586418152,0.4285261631011963,0.10629498958587646,2.0952563285827637,-0.49513697624206543,0.684683620929718,0.7644531726837158,-3.8192033767700195,0.30727681517601013,0.6795164346694946,0.7596908807754517,0.6115915179252625,2.393158197402954,2.8307955265045166,2.6805593967437744,0.5214990377426147,2.710754632949829,2.2245755195617676,2.5695674419403076,2.4353020191192627,0.5433076024055481,2.47251558303833
5,0.677941620349884,-1.3397624492645264,0.6161843538284302,0.2293161302804947,0.08837047964334488,0.3087380826473236,0.04213082790374756,0.908175528049469,0.841502845287323,0.8477365970611572,0.20526862144470215,0.9541603922843933,0.9186028242111206,0.9226101636886597,0.277103066444397,1.1722195148468018,0.7481288909912109,1.0911529064178467,0.13137094676494598,0.4899778366088867,-0.6630868911743164,-0.41466522216796875,0.6679904460906982,0.6293272376060486,0.3498009741306305,0.9010196328163147,0.8653706908226013,0.9460009932518005,2.74611496925354,3.452208995819092,3.2595133781433105,0.487715482711792,3.277700424194336,2.5716989040374756,3.135932683944702,2.962017059326172,0.5036911368370056,2.988952398300171
6,0.7103003859519958,-1.9950735569000244,0.6023749113082886,0.20852451026439667,0.08490312099456787,0.28643056750297546,0.07279279828071594,0.9250153303146362,0.854420006275177,0.8689033389091492,0.26536062359809875,0.9604991674423218,0.9216211438179016,0.9309737682342529,0.2093987911939621,7.207638740539551,0.8093622326850891,1.3297321796417236,0.1049688309431076,1.9074856042861938,-1.0285613536834717,-0.9829715490341187,0.7573622465133667,-3.1460280418395996,0.21122373640537262,0.8560553193092346,0.8121312260627747,0.572419285774231,3.111534595489502,4.207687854766846,3.9625096321105957,0.46328482031822205,3.960066556930542,2.932380437850952,3.823969602584839,3.601734161376953,0.47483402490615845,3.6138594150543213
7,0.6866949200630188,-2.6171634197235107,0.5793073177337646,0.1982516497373581,0.08631531149148941,0.273926317691803,0.12373596429824829,0.9334555864334106,0.8509194254875183,0.8808664679527283,0.33413076400756836,0.9649863839149475,0.9283745884895325,0.9424934387207031,1.1428978443145752,0.6440336108207703,0.9029421806335449,0.5988484621047974,0.23211558163166046,0.6030924916267395,-1.5392565727233887,0.3998293876647949,0.07706135511398315,0.43549275398254395,0.11172826588153839,1.1825814247131348,0.7833089828491211,0.9831831455230713,3.494971513748169,5.112613677978516,4.813156604766846,0.44521158933639526,4.7677459716796875,3.3123881816864014,4.647817134857178,4.376416206359863,0.45421043038368225,4.359980583190918
8,0.7573672533035278,-3.282799482345581,0.5414158701896667,0.18601493537425995,0.0833718404173851,0.2592344284057617,0.21421325206756592,0.9419641494750977,0.8604313135147095,0.8937950134277344,0.40907078981399536,0.9707639813423157,0.9294629693031311,0.9481532573699951,0.277678906917572,0.6820943355560303,0.8709287643432617,0.46967992186546326,0.21895930171012878,0.7771122455596924,-1.327785611152649,0.6634458303451538,0.19625186920166016,0.14038139581680298,1.1476259231567383,0.8820253014564514,0.7683567404747009,0.6995192170143127,3.9476115703582764,6.203094005584717,5.844712257385254,0.433795690536499,5.724869728088379,3.7312967777252197,5.648710250854492,5.315065860748291,0.43910205364227295,5.241067886352539
9,0.8005266785621643,-3.9236738681793213,0.4996597468852997,0.18018677830696106,0.08257150650024414,0.24637055397033691,0.30117303133010864,0.9459502100944519,0.8653872013092041,0.9034133553504944,0.5037179589271545,0.9742364287376404,0.9324874877929688,0.9549064636230469,0.895486056804657,4.60384464263916,0.9415160417556763,1.196820616722107,0.09118983894586563,0.5971353054046631,-1.7551600933074951,-0.857459545135498,0.8226341009140015,0.44850045442581177,1.3272125720977783,1.226754069328308,0.9632951021194458,0.7547951936721802,4.484849452972412,7.497742652893066,7.093563079833984,0.42674189805984497,6.8498430252075195,4.236475467681885,6.836671829223633,6.452989101409912,0.4300099313259125,6.292813777923584
